Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Let's Groove	Earth, Wind & Fire
Oh No	Commodores
Young Turks	Rod Stewart
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Why Do Fools Fall In Love	Diana Ross
Harden My Heart	Quarterflash
Don't Stop Believin'	Journey
Leather And Lace	Stevie Nicks With Don Henley
Trouble	Lindsey Buckingham
Every Little Thing She Does Is Magic	The Police
Yesterday's Songs	Neil Diamond
Comin' In And Out Of Your Life	Barbra Streisand
Turn Your Love Around	George Benson
The Sweetest Thing (I've Ever Known)	Juice Newton
Here I Am (Just When I Thought I Was Over You)	Air Supply
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Cool Night	Paul Davis
Our Lips Are Sealed	Go-Go's
Hooked On Classics	Royal Philharmonic Orchestra
My Girl (Gone, Gone, Gone)	Chilliwack
Centerfold	The J. Geils Band
Heart Like A Wheel	The Steve Miller Band
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Steal The Night	Stevie Woods
I Wouldn't Have Missed It For The World	Ronnie Milsap
Shake It Up	The Cars
Private Eyes	Daryl Hall John Oates
Waiting On A Friend	The Rolling Stones
Start Me Up	The Rolling Stones
She's Got A Way	Billy Joel
Under Pressure	Queen & David Bowie
Come Go With Me	The Beach Boys
The Old Songs	Barry Manilow
Arthur's Theme (Best That You Can Do)	Christopher Cross
Leader Of The Band	Dan Fogelberg
Castles In The Air	Don McLean
More Than Just The Two Of Us	Sneaker
You Could Have Been With Me	Sheena Easton
Take It Easy On Me	Little River Band
No Reply At All	Genesis
Wrack My Brain	Ringo Starr
Working For The Weekend	Loverboy
Poor Man's Son	Survivor
Tryin' To Live My Life Without You	Bob Seger
Never Too Much	Luther Vandross
Love In The First Degree	Alabama
Love Is Alright Tonite	Rick Springfield
If I Were You	Lulu
Key Largo	Bertie Higgins
Let Me Love You Once	Greg Lake
Sweet Dreams	Air Supply
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Living Eyes	Bee Gees
Just Once	Quincy Jones Featuring James Ingram
My Kinda Lover	Billy Squier
I've Done Everything For You	Rick Springfield
The Night Owls	Little River Band
When She Was My Girl	Four Tops
Sausalito Summernight	Diesel
We're In This Love Together	Al Jarreau
Breakin' Away	Al Jarreau
Anyone Can See	Irene Cara
Falling In Love	Balance
Blaze Of Glory	Kenny Rogers
All Our Tomorrows	Eddie Schwartz
For Your Eyes Only	Sheena Easton
Little Darlin'	Sheila
Could It Be Love	Jennifer Warnes
Sea Of Love	Del Shannon
Super Freak (Part I)	Rick James
Endless Love	Diana Ross & Lionel Richie
Wkrp In Cincinnati	Steve Carlisle
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Somewhere Down The Road	Barry Manilow
The Woman In Me	Crystal Gayle
Keeping Our Love Alive	Henry Paul Band
Feel Like A Number	Bob Seger & The Silver Bullet Band
Closer To The Heart	Rush
Controversy	Prince
Those Good Old Dreams	Carpenters
One Hundred Ways	Quincy Jones Featuring James Ingram
Runaway Rita	Leif Garrett
Every Home Should Have One	Patti Austin
I Want You, I Need You	Chris Christian
Love Is Like A Rock	Donnie Iris
A World Without Heroes	KISS
Twilight	Electric Light Orchestra
Hard To Say	Dan Fogelberg
Sharing The Love	Rufus With Chaka Khan
Chariots Of Fire - Titles	Vangelis
Better Things	The Kinks
Step By Step	Eddie Rabbitt
Say Goodbye To Hollywood	Billy Joel
It's My Party	Dave Stewart and Barbara Gaskin
I'm Just Too Shy	Jermaine Jackson
I Heard It Through The Grapevine (Part 1)	Roger
Walking Into Sunshine	Central Line
Talking Out Of Turn	The Moody Blues
