Disco Lady	Johnnie Taylor
Let Your Love Flow	Bellamy Brothers
Right Back Where We Started From	Maxine Nightingale
Boogie Fever	The Sylvers
Sweet Love	Commodores
Only Sixteen	Dr. Hook
Welcome Back	John Sebastian
Show Me The Way	Peter Frampton
Bohemian Rhapsody	Queen
Fooled Around And Fell In Love	Elvin Bishop
Lonely Night (angel Face)	Captain & Tennille
There's A Kind Of Hush (All Over The World)	Carpenters
Dream Weaver	Gary Wright
December, 1963 (Oh, What a Night)	The 4 Seasons
Sweet Thing	Rufus Featuring Chaka Khan
Dream On	Aerosmith
I Do, I Do, I Do, I Do, I Do	ABBA
Shannon	Henry Gross
Tryin' To Get The Feeling Again	Barry Manilow
Livin' For The Weekend	The O'Jays
Money Honey	Bay City Rollers
Strange Magic	Electric Light Orchestra
Sara Smile	Daryl Hall John Oates
Silly Love Songs	Wings
Misty Blue	Dorothy Moore
Rhiannon (Will You Ever Win)	Fleetwood Mac
Lorelei	Styx
Get Up And Boogie (That's Right)	Silver Convention
Love Hangover	Diana Ross
Fopp	Ohio Players
Golden Years	David Bowie
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Union Man	Cate Bros.
Happy Music	The Blackbyrds
Come On Over	Olivia Newton-John
Shout It Out Loud	KISS
Happy Days	Pratt & McClain with Brother Love
Young Blood	Bad Company
Can't Hide Love	Earth, Wind & Fire
More, More, More Pt. 1	Andrea True Connection
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
Hurt/for The Heart	Elvis Presley
When Love Has Gone Away	Richard Cocciante
Love In The Shadows	Neil Sedaka
Love Really Hurts Without You	Billy Ocean
Anytime (i'll Be There)	Paul Anka
Heavy Love	David Ruffin
Fallen Angel	Frankie Valli
Movin'	Brass Construction
Deep Purple	Donny & Marie Osmond
Action	Sweet
He's A Friend	Eddie Kendricks
Falling Apart At The Seams	Marmalade
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Take It To The Limit	Eagles
Love Machine (Part 1)	The Miracles
All By Myself	Eric Carmen
One Piece At A Time	Johnny Cash And The Tennessee Three
Love Hurts	Nazareth
I'm Mandy Fly Me	10cc
Takin' It To The Streets	The Doobie Brothers
Good Hearted Woman	Waylon & Willie
Fool To Cry	The Rolling Stones
I Want You	Marvin Gaye
It's Over	Boz Scaggs
Everyday Without You	Hamilton, Joe Frank & Reynolds
Looking For Space	John Denver
Theme From S.W.A.T.	Rhythm Heritage
Don't Stop It Now	Hot Chocolate
Where Did Our Love Go	The J. Geils Band
Jasper	Jim Stafford
Hey Baby	Ted Nugent
Love Is Alive	Gary Wright
I Thought It Took A Little Time (But Today I Fell In Love)	Diana Ross
Jealousy	Major Harris
Crazy On You	Heart
Only Love Is Real	Carole King
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
You Are Beautiful	The Stylistics
Love Hangover	The 5th Dimension
Forever Lovers	Mac Davis
Love And Understanding (Come Together)	Kool & The Gang
Let's Make A Baby	Billy Paul
Lookin' Out For #1	Bachman-Turner Overdrive
Arms Of Mary	Sutherland Brothers And Quiver
Moonlight Feels Right	Starbuck
Words (are Impossible)	Donny Gerrard
Turn The Beat Around	Vicki Sue Robinson
That's Where The Happy People Go	The Trammps
Thinking Of You	Paul Davis
Mighty High	Mighty Clouds Of Joy
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
Kentucky Moonrunner	Cledus Maggard And The Citizen's Band
Tell The World How I Feel About 'Cha Baby	Harold Melvin And The Blue Notes
The Fonz Song	The Heyettes
Kiss And Say Goodbye	The Manhattans
I Wanna Stay With You	Gallagher And Lyle
It Should Have Been Me	Yvonne Fair
Sixteen Tons	The Don Harrison Band
This Is It	Melba Moore
