Rude	MAGIC!
All About That Bass	Meghan Trainor
Stay With Me	Sam Smith
Break Free	Ariana Grande Featuring Zedd
Fancy	Iggy Azalea Featuring Charli XCX
Am I Wrong	Nico & Vinz
Problem	Ariana Grande Featuring Iggy Azalea
Black Widow	Iggy Azalea Featuring Rita Ora
Chandelier	Sia
Bang Bang	Jessie J, Ariana Grande & Nicki Minaj
Boom Clap	Charli XCX
Maps	Maroon 5
Latch	Disclosure Featuring Sam Smith
Rather Be	Clean Bandit Featuring Jess Glynne
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
All Of Me	John Legend
Shower	Becky G
Don't Tell 'Em	Jeremih Featuring YG
Happy	Pharrell Williams
Burnin' It Down	Jason Aldean
Summer	Calvin Harris
Love Runs Out	OneRepublic
Dark Horse	Katy Perry Featuring Juicy J
Dirt	Florida Georgia Line
American Kids	Kenny Chesney
Really Don't Care	Demi Lovato Featuring Cher Lloyd
2 On	Tinashe Featuring ScHoolboy Q
Drunk On A Plane	Dierks Bentley
Wiggle	Jason Derulo Featuring Snoop Dogg
Habits (Stay High)	Tove Lo
Cool Kids	Echosmith
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Bartender	Lady Antebellum
A Sky Full Of Stars	Coldplay
Turn Down For What	DJ Snake & Lil Jon
Come With Me Now	KONGOS
Counting Stars	OneRepublic
New Flame	Chris Brown Featuring Usher & Rick Ross
Anaconda	Nicki Minaj
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
I Don't Dance	Lee Brice
No Mediocre	T.I. Featuring Iggy Azalea
Classic	MKTO
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Believe Me	Lil Wayne Featuring Drake
Pompeii	Bastille
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Leave The Night On	Sam Hunt
Best Mistake	Ariana Grande Featuring Big Sean
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Don't	Ed Sheeran
Hot Boy	Bobby Shmurda
0 To 100 / The Catch Up	Drake
Amnesia	5 Seconds Of Summer
Hope You Get Lonely Tonight	Cole Swindell
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
This Is How We Do	Katy Perry
We Dem Boyz	Wiz Khalifa
Girls Chase Boys	Ingrid Michaelson
Roller Coaster	Luke Bryan
Pills N Potions	Nicki Minaj
River Bank	Brad Paisley
Where It's At (Yep, Yep)	Dustin Lynch
Riptide	Vance Joy
Hideaway	Kiesza
Ready Set Roll	Chase Rice
Main Chick	Kid Ink Featuring Chris Brown
No Flex Zone	Rae Sremmurd
Yeah	Joe Nichols
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Stolen Dance	Milky Chance
Bo$$	Fifth Harmony
Love Never Felt So Good	Michael Jackson & Justin Timberlake
She Looks So Perfect	5 Seconds Of Summer
We Are Tonight	Billy Currington
Fight Night	Migos
Work	Iggy Azalea
Girl In A Country Song	Maddie & Tae
V. 3005	Childish Gambino
Sunshine & Whiskey	Frankie Ballard
Sing	Ed Sheeran
Come Get It Bae	Pharrell Williams
I Will Never Let You Down	Rita Ora
Shell Shocked	Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik
Trumpets	Jason Derulo
I'm Ready	AJR
Cut Her Off	KCamp Featuring 2 Chainz
Fireball	Pitbull Featuring John Ryan
Day Drinking	Little Big Town
Wasted	Tiesto Featuring Matthew Koma
About The Money	T.I. Featuring Young Thug
Who I Am With You	Chris Young
Cold One	Eric Church
Hookah	Tyga Featuring Young Thug
Good Kisser	Usher
Take Me To Church	Hozier
Dust	Eli Young Band
Foreign	Trey Songz
My Eyes	Blake Shelton Featuring Gwen Sebastian
Later On	The Swon Brothers
