Dizzy	Tommy Roe
Aquarius/Let The Sunshine In (The Flesh Failures)	The 5th Dimension
Time Of The Season	The Zombies
You've Made Me So Very Happy	Blood, Sweat & Tears
Galveston	Glen Campbell
Run Away Child, Running Wild	The Temptations
Only The Strong Survive	Jerry Butler
Traces	Classics IV Featuring Dennis Yost
My Whole World Ended (The Moment You Left Me)	David Ruffin
Proud Mary	Creedence Clearwater Revival
Rock Me	Steppenwolf
Indian Giver	1910 Fruitgum Co.
Twenty-Five Miles	Edwin Starr
It's Your Thing	The Isley Brothers
Hot Smoke & Sasafrass	The Bubble Puppy
Build Me Up Buttercup	The Foundations
This Girl's In Love With You	Dionne Warwick
Hair	The Cowsills
Mr. Sun, Mr. Moon	Paul Revere & The Raiders Featuring Mark Lindsay
The Letter	The Arbors
Do Your Thing	The Watts 103rd Street Rhythm Band
Everyday People	Sly & The Family Stone
Baby, Baby Don't Cry	Smokey Robinson & The Miracles
You Gave Me A Mountain	Frankie Laine
Things I'd Like To Say	New Colony Six
Gimme Gimme Good Lovin'	Crazy Elephant
Mendocino	Sir Douglas Quintet
I'll Try Something New	Supremes & Temptations
Brother Love's Travelling Salvation Show	Neil Diamond
Don't Give In To Him	Gary Puckett And The Union Gap
Try A Little Tenderness	Three Dog Night
The Weight	Aretha Franklin
Time Is Tight	Booker T. & The MG's
Sweet Cherry Wine	Tommy James And The Shondells
I Got A Line On You	Spirit
I Can Hear Music	The Beach Boys
Snatching It Back	Clarence Carter
The Chokin' Kind	Joe Simon
No, Not Much	The Vogues
Sweet Cream Ladies, Forward March	The Box Tops
My Way	Frank Sinatra
Johnny One Time	Brenda Lee
First Of May	Bee Gees
The Way It Used To Be	Engelbert Humperdinck
Blessed Is The Rain	The Brooklyn Bridge Featuring Johnny Maestro
The Pledge Of Allegiance	Red Skelton
Don't Touch Me	Bettye Swann
Memories	Elvis Presley
When He Touches Me (Nothing Else Matters)	Peaches & Herb
Playgirl	Thee Prophets
Hawaii Five-O	The Ventures
Will You Be Staying After Sunday	The Peppermint Rainbow
Is It Something You've Got	Tyrone Davis
Mercy	Ohio Express
I Like What You're Doing (To Me)	Carla Thomas
Apricot Brandy	Rhinoceros
A Lover's Question	Otis Redding
Move In A Little Closer, Baby	Mama Cass
Day After Day (It's Slippin' Away)	Shango
Wishful Sinful	The Doors
I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel	James Brown
Nothing But A Heartache	The Flirtations
It's Only Love	B.J. Thomas
Ice Cream Song	The Dynamics
Didn't You Know (You'd Have To Cry Sometime)	Gladys Knight And The Pips
Tear Drop City	The Monkees
Time Was	Canned Heat
Shotgun	Vanilla Fudge
Mini-Skirt Minnie	Wilson Pickett
In The Still Of The Night	Paul Anka
Tracks Of My Tears	Aretha Franklin
To Know You Is To Love You	Bobby Vinton
Pinball Wizard	The Who
Long Green	The Fireballs
Atlantis	Donovan
Don't Forget About Me	Dusty Springfield
In The Bad, Bad Old Days (Before You Loved Me)	The Foundations
There Never Was A Time	Jeannie C. Riley
Zazueira (Za-zoo-wher-a)	Herb Alpert & The Tijuana Brass
Grazing In The Grass	The Friends Of Distinction
Foolish Fool	Dee Dee Warwick
Kick Out The Jams	MC5
Goodbye Columbus	The Association
Good Times Bad Times	Led Zeppelin
Where Do You Go To (My Lovely)	Peter Sarstedt
Love Is All I Have To Give	The Checkmates, Ltd.
Badge	Cream
More Today Than Yesterday	Spiral Starecase
Give It Away	The Chi-lites
Back In The U.S.S.R.	Chubby Checker
These Eyes	The Guess Who
Born Again	Sam & Dave
Morning Girl	The Neon Philharmonic
Gitarzan	Ray Stevens
When You Dance	Jay & The Americans
A Million To One	Brian Hyland
California Girl (And The Tennessee Square)	Tompall & The Glaser Brothers
Rhythm Of The Rain	Gary Lewis And The Playboys
Idaho	The 4 Seasons
I Love My Baby	Archie Bell & The Drells
