Venus	Frankie Avalon
Charlie Brown	The Coasters
Stagger Lee	Lloyd Price
Donna	Ritchie Valens
Alvin's Harmonica	David Seville And The Chipmunks
I've Had It	The Bell Notes
It's Just A Matter Of Time	Brook Benton
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
I Cried A Tear	LaVern Baker
16 Candles	The Crests
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
Peter Gunn	Ray Anthony and His Orchestra
Tall Paul	Annette With The Afterbeats
The All American Boy	Bill Parsons
Tragedy	Thomas Wayne With the Delons
May You Always	The McGuire Sisters
Lonely Teardrops	Jackie Wilson
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
Never Be Anyone Else But You	Ricky Nelson
She Say (Oom Dooby Doom)	The Diamonds
My Happiness	Connie Francis
Gotta Travel On	Billy Grammer
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
Manhattan Spiritual	Reg Owen & His Orchestra
Smoke Gets In Your Eyes	The Platters
Goodbye Baby	Jack Scott
I Got A Wife	The Mark IV
La Bamba	Ritchie Valens
(All of a Sudden) My Heart Sings	Paul Anka
The Story Of My Love	Conway Twitty
With The Wind And The Rain In Your Hair	Pat Boone
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
Pink Shoe Laces	Dodie Stevens
(I'll Be With You In) Apple Blossom Time	Tab Hunter
Sea Cruise	Frankie Ford
It Doesn't Matter Anymore	Buddy Holly
Please Mr. Sun	Tommy Edwards
Don't Take Your Guns To Town	Johnny Cash
There Must Be A Way	Joni James
A Lover's Question	Clyde McPhatter
Pretty Girls Everywhere	Eugene Church and The Fellows
First Anniversary	Cathy Carr
Raw-Hide	Link Wray And The Wraymen
It's Late	Ricky Nelson
Since I Don't Have You	The Skyliners
The Little Space Girl	Jesse Lee Turner
Nola	Billy Williams
Tomboy	Perry Como
Matilda	Cookie And His Cupcakes
Telling Lies	Fats Domino
Plain Jane	Bobby Darin
Ambrose (Part Five)	Linda Laurie
Wiggle, Wiggle	The Accents
No Other Arms, No Other Lips	The Chordettes
Come Softly To Me	The Fleetwoods
When The Saints Go Marching In	Fats Domino
Nola	The Morgan Brothers
Midnight Oil	Charlie Blackwell
Who Cares	Don Gibson
The Hanging Tree	Marty Robbins
Lovers Never Say Goodbye	The Flamingos
I'm A Man	Fabian
Nobody But You	Dee Clark
If I Didn't Care	Connie Francis
Where Were You (On Our Wedding Day)?	Lloyd Price
Everybody Likes To Cha Cha Cha	Sam Cooke
I'm Never Gonna Tell	Jimmie Rodgers
Blah, Blah, Blah	Nicola Paone
The Shag (Is Totally Cool)	Billy Graves
Bunny Hop	The Applejacks
The Diary	Neil Sedaka
Lucky Ladybug	Billy & Lillie
Are You Lonesome Tonight	Jaye P. Morgan
No Other Arms, No Other Lips	The Four Aces
Teardrops Will Fall	Dicky Doo And The Don'ts
Anthony Boy	Chuck Berry
It's Only The Beginning	The Kalin Twins
Miss You	Jaye P. Morgan
The Morning Side Of The Mountain	Tommy Edwards
Moonlight Serenade	The Rivieras
Guitar Boogie Shuffle	The Virtues
Shirley	John Fred And The Playboys
Evening Rain	Earl Grant
Don't Pity Me	Dion & The Belmonts
Ballad Of A Girl And Boy	Graduates
This Should Go On Forever	Rod Bernard
The Answer To A Maiden's Prayer	June Valli
Try Me	James Brown And The Famous Flames
Trust In Me	Patti Page
I Go Ape	Neil Sedaka
No Regrets	Jimmy Barnes
City Lights	Ivory Joe Hunter
I Kneel At Your Throne	Joe Medlin
Because You're Young	Jimmie Rodgers
Teardrops On Your Letter	Hank Ballard And The Midnighters
I Can't Sit Down	Marie & Rex
Piove (Ciao, Ciao Bambina)	Domenico Modugno
The Girl On Page 44	The Four Lads
Chip Off The Old Block	Eddy Arnold
Oh Why	The Teddy Bears
