Runaway	Del Shannon
Mother-In-Law	Ernie K-Doe
I've Told Every Little Star	Linda Scott
A Hundred Pounds Of Clay	Gene McDaniels
Blue Moon	The Marcels
But I Do	Clarence Henry
Take Good Care Of Her	Adam Wade
One Mint Julep	Ray Charles
You Can Depend On Me	Brenda Lee
On The Rebound	Floyd Cramer
Portrait Of My Love	Steve Lawrence
Baby Blue	The Echoes
Tonight My Love, Tonight	Paul Anka
Apache	Jorgen Ingmann & His Guitar
Daddy's Home	Shep And The Limelites
Breakin' In A Brand New Broken Heart	Connie Francis
Tonight I Fell In Love	The Tokens
Mama Said	The Shirelles
Flaming Star	Elvis Presley With The Jordanaires
Please Love Me Forever	Cathy Jean and The Roommates
Asia Minor	Kokomo
Don't Worry	Marty Robbins
Just For Old Time's Sake	The McGuire Sisters
Running Scared	Roy Orbison
Surrender	Elvis Presley With The Jordanaires
Bumble Boogie	B. Bumble & The Stingers
Dedicated To The One I Love	The Shirelles
(Dance The) Mess Around	Chubby Checker
Funny	Maxine Brown
Pony Time	Chubby Checker
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Frogg	The Brothers Four
Bonanza	Al Caiola And His Orchestra
Travelin' Man	Ricky Nelson
Tenderly	Bert Kaempfert And His Orchestra
Girl Of My Best Friend	Ral Donner
The Continental Walk	Hank Ballard And The Midnighters
Saved	LaVern Baker
Hello Walls	Faron Young
Some Kind Of Wonderful	The Drifters
I'm In The Mood For Love	The Chimes
Trust In Me	Etta James
Good, Good Lovin'	Chubby Checker
Find Another Girl	Jerry Butler
African Waltz	Cannonball Adderley Orchestra
Tragedy	The Fleetwoods
Hide Away	Freddy King
Triangle	Janie Grant
Foolin' Around	Kay Starr
Walk Right Back	The Everly Brothers
Brass Buttons	The String-A-Longs
Please Tell Me Why	Jackie Wilson
That Old Black Magic	Bobby Rydell
Sleepy-Eyed John	Johnny Horton
Lullaby Of Love	Frank Gari
Little Devil	Neil Sedaka
Exodus	Eddie Harris
(It Never Happens) In Real Life	Chuck Jackson
Think Twice	Brook Benton
A Dollar Down	The Limeliters
(Love Theme From) One Eyed Jacks	Ferrante & Teicher
Like, Long Hair	Paul Revere & The Raiders
Peanut Butter	The Marathons
Underwater	The Frogmen
Shu Rah	Fats Domino
Glory Of Love	The Roommates
(Theme from) My Three Sons	Lawrence Welk And His Orchestra
Gee Whiz (Look At His Eyes)	Carla Thomas
What A Surprise	Johnny Maestro The Voice Of The Crests
Be My Boy	Paris Sisters
The Bilbao Song	Andy Williams
The Touchables In Brooklyn	Dickie Goodman
Hello Mary Lou	Ricky Nelson
Theme From Dixie	Duane Eddy
Once Upon A Time	Rochell And The Candles With Johnny Wyatt
Lullaby Of The Leaves	The Ventures
Ain't It, Baby	The Miracles
The Wayward Wind	Gogi Grant
That's The Way With Love	Piero Soffici
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Tossin' And Turnin'	Bobby Lewis
Shy Away	Jerry Fuller
The Charanga	Merv Griffin
Three Hearts In A Tangle	Roy Drusky
Jura (I Swear I Love You)	Les Paul And Mary Ford
Better Tell Him No	The Starlets
I'm A Fool To Care	Joe Barry
Buzz Buzz A-Diddle-It	Freddy Cannon
Little Egypt (Ying-Yang)	The Coasters
Raindrops	Dee Clark
(A Ship Will Come) Ein Schiff Wird Kommen	Lale Anderson
Big Big World	Johnny Burnette
You're Gonna Need Magic	Roy Hamilton
Count Every Star	Donnie and The Dreamers
Moody River	Pat Boone
Halfway To Paradise	Tony Orlando
A Cross Stands Alone	Jimmy Witter
Nobody Cares (about me)	Jeanette (Baby) Washington
Kissin Game	Dion
Rama Lama Ding Dong	The Edsels
