Dreamlover	Mariah Carey
Right Here (Human Nature)/Downtown	SWV
Whoomp! (There It Is)	Tag Team
The River Of Dreams	Billy Joel
If	Janet Jackson
Can't Help Falling In Love (From "Sliver")	UB40
Another Sad Love Song	Toni Braxton
Will You Be There	Michael Jackson
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Runaway Train	Soul Asylum
I Get Around	2Pac
Cryin'	Aerosmith
Just Kickin' It	Xscape
Hey Mr. D.J.	Zhane
Two Steps Behind (From "Last Action Hero")	Def Leppard
Baby I'm Yours	Shai
Sweat (A La La La La Long)	Inner Circle
Lately	Jodeci
Reason To Believe	Rod Stewart
Boom! Shake The Room	Jazzy Jeff & The Fresh Prince
All That She Wants	Ace Of Base
What Is Love	Haddaway
Anniversary	Tony Toni Tone
One Last Cry	Brian McKnight
Soul To Squeeze (From "Coneheads")	Red Hot Chili Peppers
Hey Jealousy	Gin Blossoms
Insane In The Brain	Cypress Hill
Rain	Madonna
Break It Down Again	Tears For Fears
I Don't Wanna Fight (From "What's Love Got To Do With It")	Tina Turner
Hopelessly	Rick Astley
If I Had No Loot	Tony Toni Tone
No Rain	Blind Melon
I'm Gonna Be (500 Miles)	The Proclaimers
When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin
Very Special	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson
Ooh Child	Dino
Check Yo Self	Ice Cube Featuring Das EFX
Let Me Ride	Dr. Dre
Something In Your Eyes	Bell Biv DeVoe
What's Up	4 Non Blondes
Alright	Kris Kross Featuring Supercat
Show Me Love	Robin S.
Ruffneck	MC Lyte
Whoot, There It Is	95 South
Weak	SWV
I'll Never Get Over You (Getting Over Me)	Expose
Everybody Hurts	R.E.M.
Come Baby Come	K7
Dazzey Duks	Duice
Pink Cashmere	Prince
Better Than You	Lisa Keith
Come Inside	Intro
Too Much Information	Duran Duran
Fields Of Gold	Sting
Sunday Morning	Earth, Wind & Fire
Love For Love	Robin S.
Creep	Radiohead
Oh Carolina	Shaggy
Something's Goin' On	U.N.V.
Chief Rocka	Lords Of The Underground
Slam	Onyx
One Woman	Jade
Mega Medley	Zapp & Roger
I'm Free	Jon Secada
Human Wheels	John Mellencamp
I'm In Luv	Joe
Shoop	Salt-N-Pepa
Run To You	Whitney Houston
Indo Smoke (From "Poetic Justice")	Mista Grimm
Girl U For Me/Lose Control	Silk
Chattahoochee	Alan Jackson
Nothing 'Bout Me	Sting
Delicate	Terence Trent D'Arby
Believe	Lenny Kravitz
Breakadawn	De La Soul
Wild World	Mr. Big
Easy Come, Easy Go	George Strait
What's Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O'Neal
Send Me A Lover	Taylor Dayne
Push The Feeling On	Nightcrawlers
Get It Up (From "Poetic Justice")	TLC
Dreams	Gabrielle
What's It To You	Clay Walker
Jimmy Olsen's Blues	Spin Doctors
Can't Get Enough Of Your Love	Taylor Dayne
I'm In A Philly Mood	Daryl Hall
For The Cool In You	Babyface
Flow Joe	Fat Joe
The Grand Tour	Aaron Neville
What Might Have Been	Little Texas
Method Man	Wu-Tang Clan
Higher Ground	UB40
Fields Of Gray	Bruce Hornsby
Lick U Up	H-Town
Jessie	Joshua Kadison
Even A Fool Can See	Peter Cetera
Happy	Legacy Of Sound Featuring Meja
Stay Real	Erick Sermon
Loving Arms	Darden Smith
