Happy Together	The Turtles
Dedicated To The One I Love	The Mamas & The Papas
Penny Lane	The Beatles
There's A Kind Of Hush	Herman's Hermits
Baby I Need Your Lovin'	Johnny Rivers
Sock It To Me-Baby!	Mitch Ryder And The Detroit Wheels
For What It's Worth (Stop, Hey What's That Sound)	Buffalo Springfield
My Cup Runneth Over	Ed Ames
Love Is Here And Now You're Gone	The Supremes
Ruby Tuesday	The Rolling Stones
Strawberry Fields Forever	The Beatles
Then You Can Tell Me Goodbye	The Casinos
I Think We're Alone Now	Tommy James And The Shondells
The 59th Street Bridge Song (Feelin' Groovy)	Harpers Bizarre
The Return Of The Red Baron	The Royal Guardsmen
California Nights	Lesley Gore
I've Been Lonely Too Long	The Young Rascals
Bernadette	Four Tops
This Is My Song	Petula Clark
I Never Loved A Man (The Way I Love You)	Aretha Franklin
Darling Be Home Soon	The Lovin' Spoonful
Ups And Downs	Paul Revere & The Raiders
Niki Hoeky	P.J. Proby
Jimmy Mack	Martha & The Vandellas
Let's Fall In Love	Peaches & Herb
The Hunter Gets Captured By The Game	The Marvelettes
The Love I Saw In You Was Just A Mirage	Smokey Robinson & The Miracles
Western Union	The Five Americans
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Beggin'	The 4 Seasons Featuring the "Sound of Frankie Valli"
Dry Your Eyes	Brenda & The Tabulations
A Little Bit Me, A Little Bit You	The Monkees
Gimme Some Lovin'	The Spencer Davis Group
Kind Of A Drag	The Buckinghams
Pucker Up Buttercup	Jr. Walker & The All Stars
Sit Down, I Think I Love You	The Mojo Men
With This Ring	The Platters
No Milk Today	Herman's Hermits
Lady	Jack Jones
Epistle To Dippy	Donovan
It Takes Two	Marvin Gaye & Kim Weston
The Beat Goes On	Sonny & Cher
Travlin' Man	Stevie Wonder
Morningtown Ride	The Seekers
Sweet Soul Music	Arthur Conley
When Something Is Wrong With My Baby	Sam & Dave
Wade In The Water	Herb Alpert & The Tijuana Brass
One More Mountain To Climb	Ronnie Dove
Daddy's Little Girl	Al Martino
The Loser (With A Broken Heart)	Gary Lewis And The Playboys
Detroit City	Tom Jones
What A Woman In Love Won't Do	Sandy Posey
Show Me	Joe Tex
Tell Me To My Face	Keith
Kansas City	James Brown And The Famous Flames
Laudy Miss Claudy	The Buckinghams
Tiny Bubbles	Don Ho and the Aliis
At The Zoo	Simon & Garfunkel
Don't You Care	The Buckinghams
Summer Wine	Nancy Sinatra with Lee Hazlewood
Love You So Much	New Colony Six
Mercy, Mercy, Mercy	Marlena Shaw
Gonna Give Her All The Love I've Got	Jimmy Ruffin
On A Carousel	The Hollies
The Girl I Knew Somewhere	The Monkees
Sunday For Tea	Peter And Gordon
Soul Time	Shirley Ellis
Girl Don't Care	Gene Chandler
For He's A Jolly Good Fellow	Bobby Vinton
That Acapulco Gold	The Rainy Daze
I'm A Man	The Spencer Davis Group
I'll Try Anything	Dusty Springfield
Because Of You	Chris Montez
Girl I Need You	The Artistics
Oh That's Good, No That's Bad	Sam The Sham and the Pharaohs
Don't Do It	Micky Dolenz
Can't Get Enough Of You, Baby	? (Question Mark) & The Mysterians
The Dark End Of The Street	James Carr
Pipe Dream	Blues Magoos
Music To Watch Girls By	Andy Williams
Walkin' In The Sunshine	Roger Miller
Love Eyes	Nancy Sinatra
Danny Boy	Ray Price
Friday On My Mind	The Easybeats
Cry To Me	Freddie Scott
Close Your Eyes	Peaches & Herb
Lonely Again	Eddy Arnold
The Beginning Of Loneliness	Dionne Warwick
Dead End Street Monologue/Dead End Street	Lou Rawls
Why Not Tonight	Jimmy Hughes
Hold On I'm Coming	Chuck Jackson & Maxine Brown
Walk Tall	2 Of Clubs
It's A Happening Thing	The Peanut Butter Conspiracy
Hip Hug-Her	Booker T. & The MG's
Who Do You Love	The Woolies
I Can't Make It Anymore	Spyder Turner
Mercy, Mercy, Mercy	Larry Williams & Johnny Watson
She Took You For A Ride	Aaron Neville
The Whole World Is A Stage	The Fantastic Four
Nothing Takes The Place Of You	Toussaint McCall
