Abracadabra	The Steve Miller Band
Jack & Diane	John Cougar
Hard To Say I'm Sorry	Chicago
Eye Of The Tiger	Survivor
You Should Hear How She Talks About You	Melissa Manchester
Eye In The Sky	The Alan Parsons Project
Who Can It Be Now?	Men At Work
Somebody's Baby	Jackson Browne
Hurts So Good	John Cougar
Love Is In Control (Finger On The Trigger)	Donna Summer
Take It Away	Paul McCartney
You Can Do Magic	America
Love Will Turn You Around	Kenny Rogers
Blue Eyes	Elton John
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
Think I'm In Love	Eddie Money
Only Time Will Tell	Asia
Let Me Tickle Your Fancy	Jermaine Jackson
Hold On	Santana
Do You Wanna Touch Me (Oh Yeah)	Joan Jett & the Blackhearts
I Ran (So Far Away)	A Flock Of Seagulls
What's Forever For	Michael Murphey
Hot In The City	Billy Idol
Big Fun	Kool & The Gang
Jump To It	Aretha Franklin
Gloria	Laura Branigan
Break It To Me Gently	Juice Newton
Never Been In Love	Randy Meisner
Voyeur	Kim Carnes
Make Believe	Toto
You Dropped A Bomb On Me	The Gap Band
Hold Me	Fleetwood Mac
The One You Love	Glenn Frey
Don't Fight It	Kenny Loggins with Steve Perry
Gypsy	Fleetwood Mac
You Don't Want Me Anymore	Steel Breeze
Holdin' On	Tane Cain
Oh Julie	Barry Manilow
Heart Attack	Olivia Newton-John
Let It Be Me	Willie Nelson
Workin' For A Livin'	Huey Lewis & The News
Even The Nights Are Better	Air Supply
Love Come Down	Evelyn King
You Keep Runnin' Away	38 Special
Should I Stay Or Should I Go	The Clash
Up Where We Belong	Joe Cocker And Jennifer Warnes
Still In The Game	Steve Winwood
Johnny Can't Read	Don Henley
Sweet Time	REO Speedwagon
Athena	The Who
Nobody	Sylvia
Heartlight	Neil Diamond
I Will Always Love You	Dolly Parton
I Get Excited	Rick Springfield
Steppin' Out	Joe Jackson
Mickey	Toni Basil
Machinery	Sheena Easton
Vacation	Go-Go's
Take The L.	The Motels
The Look Of Love (Part One)	ABC
I Need You	Paul Carrack
Southern Cross	Crosby, Stills & Nash
New World Man	Rush
Rock This Town	Stray Cats
Close Enough To Perfect	Alabama
Burning Down One Side	Robert Plant
She Looks A Lot Like You	Clocks
What About Me	Moving Pictures
Young Love	Air Supply
A Penny For Your Thoughts	Tavares
I'm So Excited	The Pointer Sisters
Pressure	Billy Joel
Wasted On The Way	Crosby, Stills & Nash
Love Me Tomorrow	Chicago
Valley Girl	Frank Zappa
Ribbon In The Sky	Stevie Wonder
All Of My Love	Bobby Caldwell
When I'm Holding You Tight	Michael Stanley Band
American Heartbeat	Survivor
I'm The One	Roberta Flack
I Only Want To Be With You	Nicolette Larson
Get Up And Go	Go-Go's
On The Wings Of Love	Jeffrey Osborne
Situation	Yaz
Please Be The One	Karla Bonoff
He Got You	Ronnie Milsap
Night Shift	Quarterflash
Right Away	Kansas
He Could Be The One	Josie Cotton
I'm Never Gonna Say Goodbye	Billy Preston
Your Daddy Don't Know	Toronto
And I Am Telling You I'm Not Going	Jennifer Holliday
American Music	The Pointer Sisters
Keep The Fire Burnin'	REO Speedwagon
Themes From E.T. (The Extra-Terrestrial)	Walter Murphy
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Out Of Work	Gary U.S. Bonds
Tainted Love	Soft Cell
Let It Whip	Dazz Band
Only The Lonely	The Motels
