The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
Memories	Maroon 5
Dance Monkey	Tones And I
Don't Start Now	Dua Lipa
Roxanne	Arizona Zervas
Someone You Loved	Lewis Capaldi
10,000 Hours	Dan + Shay & Justin Bieber
Everything I Wanted	Billie Eilish
Intentions	Justin Bieber Featuring Quavo
Blinding Lights	The Weeknd
Lose You To Love Me	Selena Gomez
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
Hot Girl Bummer	blackbear
Heartless	The Weeknd
The Bones	Maren Morris
Yummy	Justin Bieber
Good As Hell	Lizzo
High Fashion	Roddy Ricch Featuring Mustard
Adore You	Harry Styles
Yikes	Nicki Minaj
Woah	Lil Baby
Falling	Trevor Daniel
My Oh My	Camila Cabello Featuring DaBaby
No Guidance	Chris Brown Featuring Drake
Godzilla	Eminem Featuring Juice WRLD
Bad Guy	Billie Eilish
HIGHEST IN THE ROOM	Travis Scott
You Should Be Sad	Halsey
What A Man Gotta Do	Jonas Brothers
Senorita	Shawn Mendes & Camila Cabello
Kinfolks	Sam Hunt
Trampoline	SHAED
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Sucker	Jonas Brothers
One Man Band	Old Dominion
Only Human	Jonas Brothers
I Don't Care	Ed Sheeran & Justin Bieber
Truth Hurts	Lizzo
Tusa	Karol G & Nicki Minaj
Juicy	Doja Cat & Tyga
Suicidal	YNW Melly & Juice WRLD
Homesick	Kane Brown
Hot	Young Thug Featuring Gunna
Even Though I'm Leaving	Luke Combs
I Hope	Gabby Barrett Featuring Charlie Puth
Sum 2 Prove	Lil Baby
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Bandit	Juice WRLD & YoungBoy Never Broke Again
Heartache Medication	Jon Pardi
Make Me Want To	Jimmie Allen
BEST ON EARTH	Russ & BIA
Heart On Ice	Rod Wave
Slide	H.E.R. Featuring YG
Know Your Worth	Khalid x Disclosure
Say So	Doja Cat Featuring Nicki Minaj
Out West	JACKBOYS Featuring Young Thug
Nobody But You	Blake Shelton Duet With Gwen Stefani
I Do It	Lil Wayne Featuring Big Sean & Lil Baby
Blueberry Faygo	Lil Mosey
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
What She Wants Tonight	Luke Bryan
VIBEZ	DaBaby
I Wish Grandpas Never Died	Riley Green
More Hearts Than Mine	Ingrid Andress
Run	Joji
We Back	Jason Aldean
P*$$y Fairy (OTW)	Jhene Aiko
Before You Go	Lewis Capaldi
B.I.T.C.H.	Megan Thee Stallion
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Rodeo	Lil Nas X & Cardi B Or Nas
Homemade	Jake Owen
Slow Dance In A Parking Lot	Jordan Davis
I Hope You're Happy Now	Carly Pearce & Lee Brice
Ridin' Roads	Dustin Lynch
Make No Sense	YoungBoy Never Broke Again
Loyal	PARTYNEXTDOOR Featuring Drake
Chasin' You	Morgan Wallen
SUGAR	BrockHampton
KEII	Anuel AA
Futsal Shuffle 2020	Lil Uzi Vert
Dive Bar	Garth Brooks & Blake Shelton
homecoming queen?	Kelsea Ballerini
Rare	Selena Gomez
No Idea	Don Toliver
Come Thru	Summer Walker & Usher
Believe	Meek Mill Featuring Justin Timberlake
Vete	Bad Bunny
Catch	Brett Young
Into The Unknown	Idina Menzel & AURORA
Start Wit Me	Roddy Ricch & Gunna
Easy	DaniLeigh Featuring Chris Brown
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
No Judgement	Niall Horan
Jerry Sprunger	Tory Lanez & T-Pain
King Of My City	A Boogie Wit da Hoodie
ORANGE SODA	Baby Keem
