Rock'n Me	Steve Miller
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
The Wreck Of The Edmund Fitzgerald	Gordon Lightfoot
If You Leave Me Now	Chicago
Love So Right	Bee Gees
Muskrat Love	Captain & Tennille
She's Gone	Daryl Hall John Oates
Tonight's The Night (Gonna Be Alright)	Rod Stewart
Magic Man	Heart
Just To Be Close To You	Commodores
Do You Feel Like We Do	Peter Frampton
(Don't Fear) The Reaper	Blue Oyster Cult
Beth/Detroit Rock City	KISS
Nadia's Theme (The Young And The Restless)	Barry DeVorzon And Perry Botikin Jr.
The Rubberband Man	The Spinners
Fernando	ABBA
More Than A Feeling	Boston
You Are The Woman	Firefall
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Play That Funky Music	Wild Cherry
The Best Disco In Town	The Ritchie Family
I Only Want To Be With You	Bay City Rollers
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Nights Are Forever Without You	England Dan & John Ford Coley
That'll Be The Day	Linda Ronstadt
A Dose Of Rock 'N' Roll	Ringo Starr
You Are My Starship	Norman Connors
I Never Cry	Alice Cooper
This One's For You	Barry Manilow
Did You Boogie (With Your Baby)	Flash Cadillac And The Continental Kids
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
Nice 'N' Naasty	The Salsoul Orchestra
Lowdown	Boz Scaggs
You Make Me Feel Like Dancing	Leo Sayer
Stand Tall	Burton Cummings
Love Ballad	L.T.D.
Anything You Want	John Valenti
Love Me	Yvonne Elliman
It's A Long Way There	Little River Band
Give It Up (turn It Loose)	Tyrone Davis
Hello Old Friend	Eric Clapton
The End Is Not In Sight (the Cowboy Tune)	Amazing Rhythm Aces
Still The One	Orleans
Hot Line	The Sylvers
It's Only Love	ZZ Top
Livin' Thing	Electric Light Orchestra
So Sad The Song	Gladys Knight And The Pips
I Can't Live A Dream	The Osmonds
My Sweet Summer Suite	Love Unlimited Orchestra
After The Lovin'	Engelbert Humperdinck
Devil Woman	Cliff Richard
A Little Bit More	Dr. Hook
Jeans On	David Dundas
Getaway	Earth, Wind & Fire
I'd Really Love To See You Tonight	England Dan & John Ford Coley
With Your Love	Jefferson Starship
Mr. Melody	Natalie Cole
Get The Funk Out Ma Face	The Brothers Johnson
You Should Be Dancing	Bee Gees
Whenever I'm Away From You	John Travolta
Let's Be Young Tonight	Jermaine Jackson
Shake Your Rump To The Funk	The Bar-Kays
Daylight	Vicki Sue Robinson
Groovy People	Lou Rawls
Do What You Want, Be What You Are	Daryl Hall John Oates
Don't Go Breaking My Heart	Elton John & Kiki Dee
Breezin'	George Benson
Dazz	Brick
I Kinda Miss You	The Manhattans
Don't Take Away The Music	Tavares
You Ought To Be Havin' Fun	Tower Of Power
Keep Me Cryin'	Al Green
Lets Get It Together	El Coco
If I Only Could	The Rowans
Living It Down	Freddy Fender
Every Face Tells A Story	Olivia Newton-John
Cowboy Song	Thin Lizzy
I Don't Wanna Lose Your Love	The Emotions
Car Wash	Rose Royce
Catfish	Four Tops
Let Me Down Easy	American Flyer
Down To Love Town	The Originals
(one More Year Of) Daddy's Little Girl	Ray Sawyer
Baby Boy	Mary Kay Place As Loretta Haggers
Wham Bam (Shang-A-Lang)	Silver
Help Wanted	The Hudson Brothers
Someday (I Didn't Want To Have to be the One)	Henry Gross
Don't Fight The Hands (That Need You)	Hamilton, Joe Frank & Dennison
I Like Dreamin'	Kenny Nolan
Things	Anne Murray
The Raven	The Alan Parsons Project
Full Time Thing (Between Dusk And Dawn)	Whirlwind
Slow Dancing	Funky Kings
Peter Gunn	Deodato
Open Sesame - Part 1	Kool & The Gang
Cathedrals	D.C. LaRue
Makes You Blind	The Glitter Band
Whispering/Cherchez La Femme/Se Si Bon	Dr. Buzzard's Original Savannah Band
Say You Love Me	Fleetwood Mac
Message In Our Music	The O'Jays
