Call Me	Blondie
Another Brick In The Wall (Part II)	Pink Floyd
Ride Like The Wind	Christopher Cross
With You I'm Born Again	Billy Preston & Syreeta
Special Lady	Ray, Goodman & Brown
Lost In Love	Air Supply
Fire Lake	Bob Seger
I Can't Tell You Why	Eagles
Working My Way Back To You/Forgive Me, Girl	The Spinners
Off The Wall	Michael Jackson
Too Hot	Kool & The Gang
You May Be Right	Billy Joel
Sexy Eyes	Dr. Hook
Hold On To My Love	Jimmy Ruffin
Crazy Little Thing Called Love	Queen
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Pilot Of The Airwaves	Charlie Dore
How Do I Make You	Linda Ronstadt
And The Beat Goes On	The Whispers
I Pledge My Love	Peaches & Herb
Him	Rupert Holmes
Think About Me	Fleetwood Mac
Hurt So Bad	Linda Ronstadt
Biggest Part Of Me	Ambrosia
Cars	Gary Numan
Any Way You Want It	Journey
Set Me Free	Utopia
Stomp!	The Brothers Johnson
Brass In Pocket (I'm Special)	Pretenders
Breakdown Dead Ahead	Boz Scaggs
The Second Time Around	Shalamar
I Can't Help It	Andy Gibb & Olivia Newton-John
Fire In The Morning	Melissa Manchester
Carrie	Cliff Richard
Do Right	Paul Davis
Only A Lonely Heart Sees	Felix Cavaliere
Funkytown	Lipps, Inc.
Three Times In Love	Tommy James
Desire	Andy Gibb
Heart Hotels	Dan Fogelberg
Longer	Dan Fogelberg
On The Radio	Donna Summer
Give It All You Got	Chuck Mangione
Let Me Be	Korona
The Seduction (Love Theme)	James Last Band
Wondering Where The Lions Are	Bruce Cockburn
Let Me Be The Clock	Smokey Robinson
Train In Vain (Stand By Me)	The Clash
The Rose	Bette Midler
It's Hard To Be Humble	Mac Davis
Keep The Fire	Kenny Loggins
Let's Get Serious	Jermaine Jackson
Stay In Time	Off Broadway USA
Refugee	Tom Petty And The Heartbreakers
Even It Up	Heart
Starting Over Again	Dolly Parton
She's Out Of My Life	Michael Jackson
Gee Whiz	Bernadette Peters
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Autograph	John Denver
Lucky Me	Anne Murray
Headed For A Fall	Firefall
When The Feeling Comes Around	Jennifer Warnes
Borrowed Time	Styx
After You	Dionne Warwick
We Were Meant To Be Lovers	Photoglo
White Hot	Red Rider
The Good Lord Loves You	Neil Diamond
We Live For Love	Pat Benatar
I Don't Want To Walk Without You	Barry Manilow
Can't Put A Price On Love	The Knack
Solitaire	Peter McIan
Love Stinks	The J. Geils Band
Somewhere In America	Survivor
Steal Away	Robbie Dupree
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
Lady	The Whispers
You've Got What I Need	Shooting Star
It's A Night For Beautiful Girls	The Fools
Don't Push It Don't Force It	Leon Haywood
Years	Wayne Newton
Catching The Sun	Spyro Gyra
Goin' On	The Beach Boys
Twilight Zone/Twilight Tone	The Manhattan Transfer
Say Goodbye To Little Jo	Steve Forbert
Two Places At The Same Time	Ray Parker Jr. & Raydio
Rock Lobster	The B-52s
Don't Cry For Me Argentina	Festival
Coming Down From Love	Bobby Caldwell
New Romance (It's A Mystery)	Spider
You Are My Heaven	Roberta Flack With Donny Hathaway
Yes, I'm Ready	Teri DeSario With K.C.
Do That To Me One More Time	Captain & Tennille
I Was Looking For Someone To Love	Leif Garrett
Come Back	The J. Geils Band
A Certain Girl	Warren Zevon
Today Is The Day	Bar-Kays
Seasons	Grace Slick
Heartbreaker	Pat Benatar
Love On A Shoestring	Captain & Tennille
