The Loco-Motion	Grand Funk
The Streak	Ray Stevens
Dancing Machine	Jackson 5
The Entertainer	Marvin Hamlisch/"The Sting"
Bennie And The Jets	Elton John
The Show Must Go On	Three Dog Night
Tubular Bells	Mike Oldfield
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
(i've Been) Searchin' So Long	Chicago
Midnight At The Oasis	Maria Muldaur
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
Hooked On A Feeling	Blue Swede
You Make Me Feel Brand New	The Stylistics
Band On The Run	Paul McCartney And Wings
I Won't Last A Day Without You	Carpenters
Come And Get Your Love	Redbone
Oh My My	Ringo Starr
Just Don't Want To Be Lonely	The Main Ingredient
Help Me	Joni Mitchell
Oh Very Young	Cat Stevens
Don't You Worry 'Bout A Thing	Stevie Wonder
I'll Have To Say I Love You In A Song	Jim Croce
For The Love Of Money	The O'Jays
Lookin' For A Love	Bobby Womack
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
The Payback - Part I	James Brown
Sunshine On My Shoulders	John Denver
Keep On Singing	Helen Reddy
My Girl Bill	Jim Stafford
I'm In Love	Aretha Franklin
Mighty Mighty	Earth, Wind & Fire
Seasons In The Sun	Terry Jacks
The Lord's Prayer	Sister Janet Mead
Let's Get Married	Al Green
Let It Ride	Bachman-Turner Overdrive
Sundown	Gordon Lightfoot
Mockingbird	Carly Simon & James Taylor
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
If You Love Me (let Me Know)	Olivia Newton-John
Standing At The End Of The Line	Lobo
A Very Special Love Song	Charlie Rich
Touch A Hand, Make A Friend	The Staple Singers
I'm A Train	Albert Hammond
Hollywood Swinging	Kool & The Gang
Chameleon	Herbie Hancock
Rock Around The Clock	Bill Haley And His Comets
Piano Man	Billy Joel
Jet	Paul McCartney And Wings
One Hell Of A Woman	Mac Davis
Keep It In The Family	Leon Haywood
You Won't See Me	Anne Murray
Daybreak	Nilsson
Heavenly	The Temptations
Be Thankful For What You Got	William DeVaughn
Outside Woman	Bloodstone
Tell Me A Lie	Sami Jo
Star Baby	The Guess Who
Thanks For Saving My Life	Billy Paul
Dance With The Devil	Cozy Powell
The Same Love That Made Me Laugh	Bill Withers
Another Park, Another Sunday	The Doobie Brothers
No Charge	Melba Montgomery
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
Werewolf	Five Man Electrical Band
I Am What I Am	Lois Fletcher
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Silver Threads And Golden Needles	Linda Ronstadt
La Grange	ZZ Top
Who Is He And What Is He To You	Creative Source
I Don't See Me In Your Eyes Anymore	Charlie Rich
(I'm A) YoYo Man	Rick Cunha
One Chain Don't Make No Prison	Four Tops
If I Were A Carpenter...	Leon Russell
Son Of Sagittarius	Eddie Kendricks
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Can You Handle It?	Graham Central Station
Under The Influence Of Love	Love Unlimited
A Dream Goes On Forever	Todd Rundgren
Time Will Tell	Tower Of Power
Haven't Got Time For The Pain	Carly Simon
Teenage Love Affair	Rick Derringer
The Air That I Breathe	The Hollies
Bad, Bad Leroy Brown	Frank Sinatra
Rikki Don't Lose That Number	Steely Dan
Already Gone	Eagles
Help Yourself	The Undisputed Truth
Rhapsody In White	Love Unlimited Orchestra
This Heart	Gene Redding
Teen Angel	Wednesday
Something	Johnny Rodriguez
Wonderful	Isaac Hayes
Sleepin'	Diana Ross
Daybreaker	Electric Light Orchestra
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Wildflower	The New Birth
(everybody Wanna Get Rich) Rite Away	Dr. John
Scratch	The Crusaders
After Midnight	Maggie Bell
Radar Love	Golden Earring
Billy - Don't Be A Hero	Paper Lace
