Ringo	Lorne Greene
Mr. Lonely	Bobby Vinton
Leader Of The Pack	The Shangri-Las
She's Not There	The Zombies
Baby Love	The Supremes
Time Is On My Side	The Rolling Stones
You Really Got Me	The Kinks
Come See About Me	The Supremes
Mountain Of Love	Johnny Rivers
I'm Gonna Be Strong	Gene Pitney
Come A Little Bit Closer	Jay & The Americans
Ask Me	Elvis Presley With The Jordanaires
Dance, Dance, Dance	The Beach Boys
Right Or Wrong	Ronnie Dove
I'm Into Something Good	Herman's Hermits
Last Kiss	J. Frank Wilson and The Cavaliers
Goin' Out Of My Head	Little Anthony And The Imperials
Everything's Alright	The Newbeats
Sha La La	Manfred Mann
Big Man In Town	The 4 Seasons Featuring the "Sound of Frankie Valli"
The Jerk	The Larks
I Feel Fine	The Beatles
Walking In The Rain	The Ronettes
Saturday Night At The Movies	The Drifters
Sidewalk Surfin'	Jan & Dean
Reach Out For Me	Dionne Warwick
Ain't That Loving You Baby	Elvis Presley
Have I The Right?	The Honeycombs
Is It True	Brenda Lee
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
Any Way You Want It	The Dave Clark Five
Gone, Gone, Gone	The Everly Brothers
Oh No Not My Baby	Maxine Brown
Oh, Pretty Woman	Roy Orbison And The Candy Men
The Door Is Still Open To My Heart	Dean Martin
She Understands Me	Johnny Tillotson
The Wedding	Julie Rogers
Too Many Fish In The Sea	The Marvelettes
Slaughter On Tenth Avenue	The Ventures
Who Can I Turn To (When Nobody Needs Me)	Tony Bennett
We Could	Al Martino
Shaggy Dog	Mickey Lee Lane
Amen	The Impressions
Willow Weep For Me	Chad & Jeremy
Ain't It The Truth	Mary Wells
She's A Woman	The Beatles
Don't Ever Leave Me	Connie Francis
Run, Run, Run	The Gestures
How Sweet It Is To Be Loved By You	Marvin Gaye
As Tears Go By	Marianne Faithfull
Without The One You Love (Life's Not Worth While)	Four Tops
Thou Shalt Not Steal	Dick and DeeDee
Dear Heart	Andy Williams
One More Time	The Ray Charles Singers
Keep Searchin' (We'll Follow The Sun)	Del Shannon
S-W-I-M	Bobby Freeman
Dear Heart	Jack Jones
It Ain't Me, Babe	Johnny Cash
Since I Don't Have You	Chuck Jackson
Needle In A Haystack	The Velvelettes
Love Potion Number Nine	The Searchers
Walk Away	Matt Monro
Wild One	Martha & The Vandellas
Opportunity	The Jewels
Listen Lonely Girl	Johnny Mathis
Four Strong Winds	Bobby Bare
Almost There	Andy Williams
The Price	Solomon Burke
The 81	Candy & The Kisses
Roses Are Red My Love	The "You Know Who" Group!
Do-Wacka-Do	Roger Miller
If You Want This Love	Sonny Knight
(There's) Always Something There To Remind Me	Sandie Shaw
I'm Gonna Love You Too	The Hullaballoos
California Bound	Ronny And The Daytonas
Don't Forget I Still Love You	Bobbi Martin
It's All Over	Walter Jackson
What Now	Gene Chandler
Smile	Betty Everett & Jerry Butler
Leader Of The Laundromat	The Detergents
Hawaii Tattoo	The Waikikis
Do Anything You Wanna (Part I)	Harold Betters
Getting Mighty Crowded	Betty Everett
A Woman's Love	Carla Thomas
Hey Little One	J. Frank Wilson and The Cavaliers
Scratchy	Travis Wammack
Party Girl	Tommy Roe
Sometimes I Wonder	Major Lance
Boom Boom	The Animals
Lovin' Place	Gale Garnett
A Happy Guy	Rick Nelson
Here She Comes	The Tymes
I Won't Forget You	Jim Reeves
You're The Only World I Know	Sonny James
Talk To Me Baby	Barry Mann
Endless Sleep	Hank Williams Jr.
Pretend You Don't See Her	Bobby Vee
Fiddler On The Roof	The Village Stompers
Rome Will Never Leave You	Richard Chamberlain
I Don't Want To Walk Without You	Phyllis McGuire
