The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
Dance Monkey	Tones And I
Don't Start Now	Dua Lipa
Roxanne	Arizona Zervas
Memories	Maroon 5
Someone You Loved	Lewis Capaldi
Intentions	Justin Bieber Featuring Quavo
Blinding Lights	The Weeknd
Yummy	Justin Bieber
Everything I Wanted	Billie Eilish
10,000 Hours	Dan + Shay & Justin Bieber
Heartless	The Weeknd
Hot Girl Bummer	blackbear
No Time To Die	Billie Eilish
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
The Bones	Maren Morris
Adore You	Harry Styles
Lose You To Love Me	Selena Gomez
Good As Hell	Lizzo
Numbers	A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track
Forever	Justin Bieber Featuring Post Malone & Clever
My Oh My	Camila Cabello Featuring DaBaby
High Fashion	Roddy Ricch Featuring Mustard
Falling	Trevor Daniel
Woah	Lil Baby
You Should Be Sad	Halsey
Bad Guy	Billie Eilish
No Guidance	Chris Brown Featuring Drake
Senorita	Shawn Mendes & Camila Cabello
What A Man Gotta Do	Jonas Brothers
Kinfolks	Sam Hunt
HIGHEST IN THE ROOM	Travis Scott
Godzilla	Eminem Featuring Juice WRLD
Trampoline	SHAED
One Man Band	Old Dominion
I Don't Care	Ed Sheeran & Justin Bieber
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Sucker	Jonas Brothers
Only Human	Jonas Brothers
Homesick	Kane Brown
I Hope	Gabby Barrett Featuring Charlie Puth
Truth Hurts	Lizzo
To Die For	Sam Smith
Tusa	Karol G & Nicki Minaj
g n f (Give No Fxk)	Migos, Young Thug & Travis Scott
Dior	Pop Smoke
Sum 2 Prove	Lil Baby
Say So	Doja Cat Featuring Nicki Minaj
Juicy	Doja Cat & Tyga
Make Me Want To	Jimmie Allen
Blueberry Faygo	Lil Mosey
Slide	H.E.R. Featuring YG
Suicidal	YNW Melly & Juice WRLD
BEST ON EARTH	Russ & BIA
Me And My Guitar	A Boogie Wit da Hoodie
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
Heart On Ice	Rod Wave
Bandit	Juice WRLD & YoungBoy Never Broke Again
Nobody But You	Blake Shelton Duet With Gwen Stefani
What She Wants Tonight	Luke Bryan
I Hope You're Happy Now	Carly Pearce & Lee Brice
Might Not Give Up	A Boogie Wit da Hoodie Featuring Young Thug
I Wish Grandpas Never Died	Riley Green
Out West	JACKBOYS Featuring Young Thug
We Back	Jason Aldean
More Hearts Than Mine	Ingrid Andress
Chasin' You	Morgan Wallen
Slow Dance In A Parking Lot	Jordan Davis
Thug Love	A Boogie Wit da Hoodie
Homemade	Jake Owen
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
Before You Go	Lewis Capaldi
After Hours	The Weeknd
Know Your Worth	Khalid x Disclosure
Ignorantes	Bad Bunny & Sech
Stain	A Boogie Wit da Hoodie Featuring DaBaby
Yikes	Nicki Minaj
Make No Sense	YoungBoy Never Broke Again
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Ridin' Roads	Dustin Lynch
Come Around Me	Justin Bieber
Catch	Brett Young
B.I.T.C.H.	Megan Thee Stallion
homecoming queen?	Kelsea Ballerini
Rare	Selena Gomez
King Of My City	A Boogie Wit da Hoodie
Dive Bar	Garth Brooks & Blake Shelton
SUGAR	BrockHampton
Come Thru	Summer Walker & Usher
Cinderella Story	A Boogie Wit da Hoodie
Vete	Bad Bunny
Into The Unknown	Idina Menzel & AURORA
Habitual	Justin Bieber
P*$$y Fairy (OTW)	Jhene Aiko
All Around Me	Justin Bieber
