Honey	Bobby Goldsboro
Young Girl	The Union Gap Featuring Gary Puckett
(Sittin' On) The Dock Of The Bay	Otis Redding
Cry Like A Baby	The Box Tops
(Sweet Sweet Baby) Since You've Been Gone	Aretha Franklin
Lady Madonna	The Beatles
The Ballad Of Bonnie And Clyde	Georgie Fame
La - La - Means I Love You	The Delfonics
Valleri	The Monkees
Mighty Quinn (Quinn The Eskimo)	Manfred Mann
I Got The Feelin'	James Brown And The Famous Flames
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Scarborough Fair (/Canticle)	Simon & Garfunkel
Dance To The Music	Sly & The Family Stone
Simon Says	1910 Fruitgum Co.
If You Can Want	Smokey Robinson & The Miracles
Playboy	Gene And Debbe
Cowboys To Girls	The Intruders
Summertime Blues	Blue Cheer
Kiss Me Goodbye	Petula Clark
Ain't No Way	Aretha Franklin
(Theme From) Valley Of The Dolls	Dionne Warwick
Cab Driver	The Mills Brothers
Sweet Inspiration	The Sweet Inspirations
Love Is All Around	The Troggs
The Unicorn	The Irish Rovers
I Thank You	Sam & Dave
Jennifer Juniper	Donovan
Forever Came Today	Diana Ross & The Supremes
Take Time To Know Her	Percy Sledge
Funky Street	Arthur Conley
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
Just Dropped In (To See What Condition My Condition Was In)	The First Edition
Delilah	Tom Jones
Security	Etta James
Take Good Care Of My Baby	Bobby Vinton
Tighten Up	Archie Bell & The Drells
Soul Serenade	Willie Mitchell
Little Green Apples	Roger Miller
Ame Caline (Soul Coaxing)	Raymond Lefevre and His Orchestra
Will You Love Me Tomorrow	The 4 Seasons Featuring the "Sound of Frankie Valli"
U.S. Male	Elvis Presley With The Jordanaires
The Son Of Hickory Holler's Tramp	O.C. Smith
The Impossible Dream	The Hesitations
Tapioca Tundra	The Monkees
I Will Always Think About You	The New Colony Six
Jennifer Eccles	The Hollies
The End Of Our Road	Gladys Knight And The Pips
Rice Is Nice	The Lemon Pipers
I Wish It Would Rain	The Temptations
A Question Of Temperature	The Balloon Farm
L. David Sloane	Michele Lee
Call Me Lightning	The Who
Suddenly You Love Me	The Tremeloes
In Need Of A Friend	The Cowsills
A Beautiful Morning	The Rascals
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
The Unknown Soldier	The Doors
Sunshine Of Your Love	Cream
Sherry Don't Go	The Lettermen
Me, The Peaceful Heart	Lulu
Look To Your Soul	Johnny Rivers
You've Still Got A Place In My Heart	Dean Martin
Goodbye Baby (I Don't Want To See You Cry)	Tommy Boyce & Bobby Hart
Foggy Mountain Breakdown	Flatt & Scruggs
She's Lookin' Good	Wilson Pickett
You've Got To Be Loved	The Montanas
That's A Lie	Ray Charles
Gentle On My Mind	Patti Page
Back On My Feet Again	The Foundations
Jumbo	Bee Gees
Mony Mony	Tommy James And The Shondells
Red Red Wine	Neil Diamond
Sit With The Guru	Strawberry Alarm Clock
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
100 Years	Nancy Sinatra
Stay Away	Elvis Presley With The Jordanaires
Tin Soldier	Small Faces
Love Is Blue (L'Amour Est Bleu)	Claudine Longet
I Wanna Live	Glen Campbell
I Got A Sure Thing	Ollie & The Nightingales
Wear It On Our Face	The Dells
At The Top Of The Stairs	The Formations
Do You Know The Way To San José	Dionne Warwick
Up On The Roof	The Cryan' Shames
Cinderella Rockefella	Esther & Abi Ofarim
I Can't Believe I'm Losing You	Frank Sinatra
(You Keep Me) Hangin' On	Joe Simon
Funky Walk Part I (East)	Dyke And The Blazers
Loving You Has Made Me Bananas	Guy Marks
Show Time	Detroit Emeralds
Your Heart Is Free Just Like The Wind	Vikki Carr
Master Jack	Four Jacks And A Jill
If You Don't Want My Love	Robert John
I Love You	People
Anything	Eric Burdon & The Animals
Baby You're So Right For Me	Brenda & The Tabulations
Goin' Away	The Fireballs
Baby Make Your Own Sweet Music	Jay And The Techniques
Chain Of Fools (Part 1)	Jimmy Smith
