Gypsys, Tramps & Thieves	Cher
Theme From Shaft	Isaac Hayes
Imagine	John Lennon/Plastic Ono Band
Maggie May/Reason To Believe	Rod Stewart
I've Found Someone Of My Own	The Free Movement
Yo-Yo	The Osmonds
Peace Train	Cat Stevens
Have You Seen Her	The Chi-lites
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
Superstar/Bless The Beasts And Children	Carpenters
Baby I'm - A Want You	Bread
Never My Love	The 5th Dimension
Got To Be There	Michael Jackson
Do You Know What I Mean	Lee Michaels
Desiderata	Les Crane
Everybody's Everything	Santana
Tired Of Being Alone	Al Green
Easy Loving	Freddie Hart
The Night They Drove Old Dixie Down	Joan Baez
Only You Know And I Know	Delaney & Bonnie
Family Affair	Sly & The Family Stone
Rock Steady	Aretha Franklin
Go Away Little Girl	Donny Osmond
One Fine Morning	Lighthouse
Questions 67 And 68/I'm A Man	Chicago
Absolutely Right	Five Man Electrical Band
Two Divided By Love	The Grass Roots
You've Got To Crawl (Before You Walk)	The 8th Day
One Tin Soldier, The Legend of Billy Jack	Coven
Sweet City Woman	Stampeders
A Natural Man	Lou Rawls
Thin Line Between Love & Hate	The Persuaders
All I Ever Need Is You	Sonny & Cher
If You Really Love Me	Stevie Wonder
Trapped By A Thing Called Love	Denise LaSalle
Long Ago And Far Away	James Taylor
Respect Yourself	The Staple Singers
Scorpio	Dennis Coffey & The Detroit Guitar Band
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Cherish	David Cassidy
Wild Night	Van Morrison
I'd Love To Change The World	Ten Years After
Theme From "Summer Of '42"	Peter Nero
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
She's All I Got	Freddie North
Charity Ball	Fanny
It's A Cryin' Shame	Gayle McCormick
Birds Of A Feather	The Raiders
Love	The Lettermen
Till	Tom Jones
Where Did Our Love Go	Donnie Elbert
Your Move (I've Seen All Good People)	Yes
Bless You	Martha Reeves & The Vandellas
It's Impossible	The New Birth
Don't Wanna Live Inside Myself	Bee Gees
Women's Love Rights	Laura Lee
You Brought The Joy	Freda Payne
It's Only Love	Elvis Presley
You Are Everything	The Stylistics
It's For You	Springwell
I'm A Greedy Man - Part I	James Brown
Jennifer	Bobby Sherman
Do I Love You	Paul Anka
Mammy Blue	Pop-Tops
Rub It In	Layng Martine
Brand New Key	Melanie
Superstar (Remember How You Got Where You Are)	The Temptations
My Part/Make It Funky (Part 3)	James Brown
Grandma's Hands	Bill Withers
I Like What You Give	Nolan
You've Lost That Lovin' Feelin'	Roberta Flack & Donny Hathaway
Life Is A Carnival	The Band
Gimme Some Lovin'-Pt. 1	Traffic, Etc.
You Think You're Hot Stuff	Jean Knight
An American Trilogy	Mickey Newbury
Stones/Crunchy Granola Suite	Neil Diamond
An Old Fashioned Love Song	Three Dog Night
I'm Still Waiting	Diana Ross
Lisa, Listen To Me	Blood, Sweat & Tears
Dolly Dagger	Jimi Hendrix
I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
Friends With You	John Denver
Walk Right Up To The Sun	The Delfonics
For Ladies Only	Steppenwolf
Long Ago Tomorrow	B.J. Thomas
Mother	Barbra Streisand
Ain't Nobody Home	B.B. King
White Lies, Blue Eyes	Bullet
Behind Blue Eyes	The Who
Sunshine	Jonathan Edwards
Tell Mama	Savoy Brown
Long Promised Road	The Beach Boys
Help Me Make It Through The Night	O.C. Smith
I Bet He Don't Love You (Like I Love You)	The Intruders
If It's Alright With You	Rose Colored Glass
Fool Me	Joe South
Show Me How	The Emotions
Get Down	Curtis Mayfield
Let It Be	Joan Baez
Hallelujah	Sweathog
