Daydream Believer	The Monkees
I Heard It Through The Grapevine	Gladys Knight And The Pips
Hello Goodbye	The Beatles
I Second That Emotion	Smokey Robinson & The Miracles
Woman, Woman	The Union Gap Featuring Gary Puckett
The Rain, The Park & Other Things	The Cowsills
Boogaloo Down Broadway	The Fantastic Johnny C
Incense And Peppermints	Strawberry Alarm Clock
You Better Sit Down Kids	Cher
I Say A Little Prayer	Dionne Warwick
Judy In Disguise (With Glasses)	John Fred And The Playboys
In And Out Of Love	Diana Ross & The Supremes
Bend Me, Shape Me	The American Breed
She's My Girl	The Turtles
Skinny Legs And All	Joe Tex
Honey Chile	Martha Reeves & The Vandellas
Chain Of Fools	Aretha Franklin
Summer Rain	Johnny Rivers
Keep The Ball Rollin'	Jay And The Techniques
(The Lights Went Out In) Massachusetts	Bee Gees
To Sir With Love	Lulu
Next Plane To London	The Rose Garden
If I Could Build My Whole World Around You	Marvin Gaye & Tammi Terrell
Neon Rainbow	The Box Tops
I Can See For Miles	The Who
Different Drum	Stone Poneys Featuring Linda Ronstadt
Please Love Me Forever	Bobby Vinton
Wear Your Love Like Heaven	Donovan
And Get Away	The Esquires
By The Time I Get To Phoenix	Glen Campbell
It's Wonderful	The Young Rascals
Since You Showed Me How To Be Happy	Jackie Wilson
Green Tambourine	The Lemon Pipers
Susan	The Buckinghams
Baby You Got It	Brenton Wood
Come See About Me	Jr. Walker & The All Stars
Beautiful People	Bobby Vee And The Strangers
Beautiful People	Kenny O'Dell
Too Much Of Nothing	Peter, Paul & Mary
Lazy Day	Spanky And Our Gang
The Other Man's Grass Is Always Greener	Petula Clark
Peace Of Mind	Paul Revere & The Raiders Featuring Mark Lindsay
Beg, Borrow And Steal	Ohio Express
Windy	Wes Montgomery
Chattanooga Choo Choo	Harpers Bizarre
In The Misty Moonlight	Dean Martin
Cover Me	Percy Sledge
Love Me Two Times	The Doors
What's It Gonna Be	Dusty Springfield
Tell Mama	Etta James
Who Will Answer?	Ed Ames
Love Power	The Sandpebbles
Itchycoo Park	Small Faces
Yesterday	Ray Charles
I Can't Stand Myself (When You Touch Me)	James Brown And The Famous Flames
I Am The Walrus	The Beatles
I'm In Love	Wilson Pickett
Best Of Both Worlds	Lulu
Goin' Out Of My Head/Can't Take My Eyes Off You	The Lettermen
Dear Eloise	The Hollies
Watch Her Ride	Jefferson Airplane
Dancing Bear	The Mamas & The Papas
My Baby Must Be A Magician	The Marvelettes
Monterey	Eric Burdon & The Animals
Storybook Children	Billy Vera & Judy Clay
O-O, I Love You	The Dells
Ooh Baby	Deon Jackson
I'll Be Sweeter Tomorrow (Than I Was Today)	The O'Jays
Am I That Easy To Forget	Engelbert Humperdinck
Everybody Knows	The Dave Clark Five
Sockin' 1-2-3-4	John Roberts
Hooray For The Salvation Army Band	Bill Cosby
Piece Of My Heart	Erma Franklin
Two Little Kids	Peaches & Herb
Up-Up And Away	Hugh Masekela
Good Combination	Sonny & Cher
Nobody But Me	The Human Beinz
Back Up Train	Al Greene & The Soul Mate's
Explosion (In Your Soul)	Soul Survivors
Foxey Lady	Jimi Hendrix
Baby, Now That I've Found You	The Foundations
Darlin'	The Beach Boys
Skip A Rope	Henson Cargill
The Lesson	Vikki Carr
Spooky	Classics IV
A Voice In The Choir	Al Martino
I Wonder What She's Doing Tonite	Tommy Boyce & Bobby Hart
In Another Land	Bill Wyman
Dancin' Out Of My Heart	Ronnie Dove
Mr. Bus Driver	Bruce Channel
Here Comes Heaven	Eddy Arnold
Something's Missing	5 Stairsteps and Cubie
Cross My Heart	Billy Stewart
Mockingbird	Aretha Franklin
Somebody's Sleeping In My Bed	Johnnie Taylor
Shout	Lulu And The Luvers
I Call It Love	The Manhattans
Oh, How It Hurts	Barbara Mason
Up Tight, Good Man	Laura Lee
A Little Rain Must Fall	The Epic Splendor
