Waterfalls	TLC
Don't Take It Personal (Just One Of Dem Days)	Monica
One More Chance/Stay With Me	The Notorious B.I.G.
Kiss From A Rose	Seal
Boombastic/In The Summertime	Shaggy
I Can Love You Like That	All-4-One
Water Runs Dry	Boyz II Men
Run-Around	Blues Traveler
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Someone To Love	Jon B. Featuring Babyface
Total Eclipse Of The Heart	Nicki French
He's Mine	MoKenStef
Have You Ever Really Loved A Woman?	Bryan Adams
Freek'n You	Jodeci
This Ain't A Love Song	Bon Jovi
Let Her Cry	Hootie & The Blowfish
Every Little Thing I Do	Soul For Real
Shy Guy (From "Bad Boys")	Diana King
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Feel Me Flow	Naughty By Nature
Come And Get Your Love	Real McCoy
Scream/Childhood	Michael Jackson & Janet Jackson
Misery	Soul Asylum
Freak Like Me	Adina Howard
I Wish	Skee-Lo
December	Collective Soul
I Got 5 On It	Luniz
I Believe	Blessid Union Of Souls
Player's Anthem	Junior M.A.F.I.A.
Only Wanna Be With You	Hootie & The Blowfish
I Know	Dionne Farris
Feels So Good	Xscape
Good	Better Than Ezra
This Is How We Do It	Montell Jordan
You Used To Love Me	Faith Evans
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige
Brown Sugar	D'Angelo
Can't Cry Anymore	Sheryl Crow
Best Friend	Brandy
Sugar Hill	AZ
As I Lay Me Down	Sophie B. Hawkins
In The House Of Stone And Light	Martin Page
So Many Tears	2Pac
Somebody's Crying	Chris Isaak
'Til You Do Me Right	After 7
Glaciers Of Ice/Criminology	Chef Raekwon
Hold My Hand	Hootie & The Blowfish
Human Nature	Madonna
Sprinkle Me	E-40 (Featuring Suga T)
Carnival	Natalie Merchant
Roll To Me	Del Amitri
Made In England	Elton John
My Love Is For Real	Paula Abdul
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Can't You See (From "New Jersey Drive")	Total Featuring The Notorious B.I.G.
Crazy Love (From "Jason's Lyric")	Brian McKnight
I Wanna B With U	Fun Factory
I Like	Kut Klose
Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock
I Love You/You Bring Me Joy	Mary J. Blige
I Wanna Love Like That	Tony Thompson
I Can't Tell You Why	Brownstone
Leave Virginia Alone	Rod Stewart
So In Love With You	U.N.V.
Shimmy Shimmy Ya	Ol' Dirty Bastard
Big Yellow Taxi	Amy Grant
My Up And Down	Adina Howard
Baby Baby	Corona
Take Your Time (Do It Right)	Max-A-Million
Foe Life	Mack 10
When You Say Nothing At All	Alison Krauss + Union Station
I Saw You Dancing	Yaki-Da
Froggy Style	Nuttin' Nyce
Can't Stop Lovin' You	Van Halen
Survival Of The Fittest	Mobb Deep
Sick Of Myself	Matthew Sweet
Stutter	Elastica
Hey Man Nice Shot	Filter
Remember Me This Way (From "Casper")	Jordan Hill
Pull Up To The Bumper	Patra
You Have The Right To Remain Silent	Perfect Stranger
Ask Of You (From "Higher Learning")	Raphael Saadiq
Mind Blowin'	Smooth
Give It 2 You	Da Brat
Died In Your Arms	Intonation Featuring Joee
The I.N.C. Ride	Masta Ace Incorporated
Let Me Be The One	Blessid Union Of Souls
Tonight Is The Night	Le Click
Warm Summer Daze	Vybe
Connection	Elastica
We Must Be In Love	Pure Soul
How Deep Is Your Love	Portrait
Wonderful	Adam Ant
Grapevyne	Brownstone
I Like It (I Wanna Be Where You Are)	Grand Puba
Vow	Garbage
Listen Me Tic (Woyoi)	Ini Kamoze
I Kissed A Girl	Jill Sobule
Strange Currencies	R.E.M.
