Medley	Stars On 45
Bette Davis Eyes	Kim Carnes
Sukiyaki	A Taste Of Honey
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
All Those Years Ago	George Harrison
Being With You	Smokey Robinson
The One That You Love	Air Supply
America	Neil Diamond
You Make My Dreams	Daryl Hall John Oates
Jessie's Girl	Rick Springfield
This Little Girl	Gary U.S. Bonds
I Love You	Climax Blues Band
Living Inside Myself	Gino Vannelli
Take It On The Run	REO Speedwagon
What Are We Doin' In Love	Dottie West with Kenny Rogers
Sweetheart	Franke & The Knockouts
Is It You	Lee Ritenour
Hearts	Marty Balin
The Waiting	Tom Petty And The Heartbreakers
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
Nobody Wins	Elton John
I Don't Need You	Kenny Rogers
Elvira	The Oak Ridge Boys
Winning	Santana
Modern Girl	Sheena Easton
Gemini Dream	The Moody Blues
Boy From New York City	The Manhattan Transfer
Still Right Here In My Heart	Pure Prairie League
Fool In Love With You	Jim Photoglo
Time	The Alan Parsons Project
Seven Year Ache	Rosanne Cash
Say What	Jesse Winchester
Queen Of Hearts	Juice Newton
Sweet Baby	Stanley Clarke/George Duke
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Stronger Than Before	Carole Bayer Sager
Too Much Time On My Hands	Styx
Angel Of The Morning	Juice Newton
How 'bout Us	Champaign
The Stroke	Billy Squier
Watching The Wheels	John Lennon
A Life Of Illusion	Joe Walsh
Jones Vs. Jones	Kool & The Gang
Slow Hand	The Pointer Sisters
Lovin' The Night Away	The Dillman Band
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
Double Dutch Bus	Frankie Smith
Promises	Barbra Streisand
I Can Take Care Of Myself	Billy & The Beaters
Since I Don't Have You	Don McLean
Don't Let Him Go	REO Speedwagon
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
What Cha' Gonna Do For Me	Chaka Khan
Brooklyn Girls	Robbie Dupree
It's Now Or Never	John Schneider
Rock And Roll Dreams Come Through	Jim Steinman
Shaddap You Face	Joe Dolce
Give It To Me Baby	Rick James
Sign Of The Gypsy Queen	April Wine
Yearning For Your Love	The Gap Band
In The Air Tonight	Phil Collins
It Didn't Take Long	Spider
Fantasy Girl	38 Special
Give A Little Bit More	Cliff Richard
Morning Train (Nine To Five)	Sheena Easton
Arc Of A Diver	Steve Winwood
Feels So Right	Alabama
I Missed Again	Phil Collins
Almost Saturday Night	Dave Edmunds
Tom Sawyer	Rush
She Did It	Michael Damian
Hard Times	James Taylor
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Say You'll Be Mine	Christopher Cross
What She Does To Me (The Diana Song)	The Producers
Touch Me When We're Dancing	Carpenters
Some Days Are Diamonds (Some Days Are Stone)	John Denver
Another Ticket	Eric Clapton
You Are Forever	Smokey Robinson
Paradise	Change
The Kid Is Hot Tonite	Loverboy
Some Changes Are For Good	Dionne Warwick
Suzi	Randy VanWarmer
Lady (You Bring Me Up)	Commodores
Love On A Two Way Street	Stacy Lattisaw
Don't Want To Wait Anymore	The Tubes
Kiss On My List	Daryl Hall John Oates
Find Your Way Back	Jefferson Starship
Fly Away	Blackfoot
You Better You Bet	The Who
Ain't Even Done With The Night	John Cougar
I Can't Stand It	Eric Clapton And His Band
Love You Like I Never Loved Before	John O'Banion
Hold On Loosely	38 Special
Rich Man	Terri Gibbs
Blessed Are The Believers	Anne Murray
Just So Lonely	Get Wet
You're So Easy To Love	Tommy James
Mercy, Mercy, Mercy	Phoebe Snow
Rain In May	Max Werner
