Light My Fire	The Doors
I Was Made To Love Her	Stevie Wonder
All You Need Is Love	The Beatles
Windy	The Association
A Whiter Shade Of Pale	Procol Harum
Can't Take My Eyes Off You	Frankie Valli
Mercy, Mercy, Mercy	The Buckinghams
White Rabbit	Jefferson Airplane
Pleasant Valley Sunday	The Monkees
Little Bit O' Soul	The Music Explosion
A Girl Like You	The Young Rascals
I Take It Back	Sandy Posey
Silence Is Golden	The Tremeloes
Jackson	Nancy Sinatra & Lee Hazlewood
My Mammy	The Happenings
Carrie-Anne	The Hollies
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Soul Finger	Bar-Kays
Up -- Up And Away	The 5th Dimension
For Your Love	Peaches & Herb
Make Me Yours	Bettye Swann
Baby I Love You	Aretha Franklin
More Love	Smokey Robinson & The Miracles
Thank The Lord For The Night Time	Neil Diamond
I Like The Way	Tommy James And The Shondells
In The Chapel In The Moonlight	Dean Martin
To Love Somebody	Bee Gees
Hypnotized	Linda Jones
Come On Down To My Boat	Every Mothers' Son
Let The Good Times Roll & Feel So Good	Bunny Sigler
There Goes My Everything	Engelbert Humperdinck
The Happening	Herb Alpert & The Tijuana Brass
Your Unchanging Love	Marvin Gaye
Words	The Monkees
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
Society's Child (Baby I've Been Thinking)	Janis Ian
(I Wanna) Testify	The Parliaments
Here We Go Again	Ray Charles
Out & About	Tommy Boyce & Bobby Hart
Don't Let The Rain Fall Down On Me	The Critters
Baby You're A Rich Man	The Beatles
Don't Sleep In The Subway	Petula Clark
I Take What I Want	James & Bobby Purify
You Only Live Twice	Nancy Sinatra
Show Business	Lou Rawls
The River Is Wide	The Forum
Cold Sweat - Part 1	James Brown And The Famous Flames
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
You Were On My Mind	Crispian St. Peters
The Sweetest Thing This Side Of Heaven	Chris Bartley
Pictures Of Lily	The Who
You're My Everything	The Temptations
Fakin' It	Simon & Garfunkel
Shoot Your Shot	Jr. Walker & The All Stars
Come Back When You Grow Up	Bobby Vee And The Strangers
Everybody Needs Love	Gladys Knight And The Pips
Washed Ashore (On A Lonely Island In The Sea)	The Platters
Bluebird	Buffalo Springfield
Lonely Drifter	Pieces Of Eight
Glory Of Love	Otis Redding
Heroes And Villains	The Beach Boys
Gentle On My Mind	Glen Campbell
Joy	Mitch Ryder
The Windows Of The World	Dionne Warwick
Cry Softly Lonely One	Roy Orbison
Brown Eyed Girl	Van Morrison
Blue's Theme	Davie Allan And The Arrows
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
It's A Happening World	The Tokens
Don't You Miss Me A Little Bit Baby	Jimmy Ruffin
Ode To Billie Joe	Bobbie Gentry
A Thousand Shadows	The Seeds
San Franciscan Nights	Eric Burdon & The Animals
You Keep Me Hangin' On	The Vanilla Fudge
You Know What I Mean	The Turtles
Slim Jenkin's Place	Booker T. & The MG's
I'll Turn To Stone	Four Tops
The World We Knew (Over And Over)	Frank Sinatra
Happy	The Sunshine Company
Ha Ha Said The Clown	The Yardbirds
Funky Broadway Part I	Dyke And The Blazers
I Want To Love You For What You Are	Ronnie Dove
A Woman's Hands	Joe Tex
Groovy Summertime	The Love Generation
Nearer To You	Betty Harris
Groovin'	Booker T. & The MG's
Happy	The Blades Of Grass
More And More	Andy Williams
My Elusive Dreams	David Houston & Tammy Wynette
Pearl Time	Andre Williams
Lonesome Road	The Wonder Who?
Funky Broadway	Wilson Pickett
Darling Be Home Soon	Bobby Darin
The Look Of Love	Dusty Springfield
Not So Sweet Martha Lorraine	Country Joe & The Fish
Along Comes Mary	Baja Marimba Band
I'll Never Find Another You	Sonny James
Run, Run, Run	The Third Rail
It Could Be We're In Love	The Cryan' Shames
Good Day Sunshine	Claudine Longet
