Maggie May/Reason To Believe	Rod Stewart
Gypsys, Tramps & Thieves	Cher
Yo-Yo	The Osmonds
Superstar/Bless The Beasts And Children	Carpenters
Theme From Shaft	Isaac Hayes
Imagine	John Lennon/Plastic Ono Band
Do You Know What I Mean	Lee Michaels
The Night They Drove Old Dixie Down	Joan Baez
Peace Train	Cat Stevens
I've Found Someone Of My Own	The Free Movement
Go Away Little Girl	Donny Osmond
Tired Of Being Alone	Al Green
Trapped By A Thing Called Love	Denise LaSalle
If You Really Love Me	Stevie Wonder
Thin Line Between Love & Hate	The Persuaders
Sweet City Woman	Stampeders
Never My Love	The 5th Dimension
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Inner City Blues (Make Me Wanna Holler)	Marvin Gaye
Easy Loving	Freddie Hart
Have You Seen Her	The Chi-lites
Ain't No Sunshine	Bill Withers
Birds Of A Feather	The Raiders
Only You Know And I Know	Delaney & Bonnie
Stagger Lee	Tommy Roe
One Fine Morning	Lighthouse
So Far Away/Smackwater Jack	Carole King
Everybody's Everything	Santana
Desiderata	Les Crane
You've Got To Crawl (Before You Walk)	The 8th Day
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Long Ago And Far Away	James Taylor
Wedding Song (There Is Love)	Paul Stookey
A Natural Man	Lou Rawls
Questions 67 And 68/I'm A Man	Chicago
Women's Love Rights	Laura Lee
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Two Divided By Love	The Grass Roots
One Tin Soldier, The Legend of Billy Jack	Coven
Absolutely Right	Five Man Electrical Band
What Are You Doing Sunday	Dawn Featuring Tony Orlando
Charity Ball	Fanny
Baby I'm - A Want You	Bread
Rain Dance	The Guess Who
I'm Comin' Home	Tommy James
The Love We Had (Stays On My Mind)	The Dells
She's All I Got	Freddie North
I'd Love To Change The World	Ten Years After
Spill The Wine	The Isley Brothers
It's A Cryin' Shame	Gayle McCormick
Love	The Lettermen
It's Only Love	Elvis Presley
You Brought The Joy	Freda Payne
It's Impossible	The New Birth
Wild Night	Van Morrison
Bless You	Martha Reeves & The Vandellas
You Think You're Hot Stuff	Jean Knight
All I Ever Need Is You	Sonny & Cher
MacArthur Park (Part II)	Four Tops
The Year That Clayton Delaney Died	Tom T. Hall
It's For You	Springwell
That's The Way A Woman Is	Messengers
Respect Yourself	The Staple Singers
Don't Wanna Live Inside Myself	Bee Gees
Jennifer	Bobby Sherman
Your Move (I've Seen All Good People)	Yes
Do I Love You	Paul Anka
Where Did Our Love Go	Donnie Elbert
Rock Steady	Aretha Franklin
Rub It In	Layng Martine
Till	Tom Jones
Some Of Shelly's Blues	Nitty Gritty Dirt Band
Life Is A Carnival	The Band
I Like What You Give	Nolan
You've Lost That Lovin' Feelin'	Roberta Flack & Donny Hathaway
Theme From "Summer Of '42"	Peter Nero
Scorpio	Dennis Coffey & The Detroit Guitar Band
Mammy Blue	Pop-Tops
Freedom Comes, Freedom Goes	The Fortunes
Touch	The Supremes
Mother	Barbra Streisand
You Send Me	Ponderosa Twins + One
Gimme Some Lovin'-Pt. 1	Traffic, Etc.
I Don't Need No Doctor	Humble Pie
Dolly Dagger	Jimi Hendrix
Grandma's Hands	Bill Withers
Brand New Key	Melanie
I Say A Little Prayer/By The Time I Get To Phoenix	Glen Campbell/Anne Murray
Got To Be There	Michael Jackson
Lisa, Listen To Me	Blood, Sweat & Tears
Baby, I'm Yours	Jody Miller
My Part/Make It Funky (Part 3)	James Brown
Long Promised Road	The Beach Boys
Midnight Man	James Gang
Banks Of The Ohio	Olivia Newton-John
If It's Alright With You	Rose Colored Glass
Everything's Alright	Yvonne Elliman
Are You Old Enough	Mark Lindsay
I Bet He Don't Love You (Like I Love You)	The Intruders
Walk Right Up To The Sun	The Delfonics
