Papa Don't Preach	Madonna
Glory Of Love (Theme From "The Karate Kid Part II")	Peter Cetera
Mad About You	Belinda Carlisle
Higher Love	Steve Winwood
We Don't Have To Take Our Clothes Off	Jermaine Stewart
Venus	Bananarama
Dancing On The Ceiling	Lionel Richie
Rumors	Timex Social Club
Take My Breath Away (Love Theme From "Top Gun")	Berlin
The Edge Of Heaven	Wham!
Love Touch (Theme From "Legal Eagles")	Rod Stewart
Sweet Freedom (Theme From "Running Scared")	Michael McDonald
Sledgehammer	Peter Gabriel
You Should Be Mine (The Woo Woo Song)	Jeffrey Osborne
Friends And Lovers	Carl Anderson & Gloria Loring
Danger Zone	Kenny Loggins
Suzanne	Journey
Baby Love	Regina
All The Love In The World	The Outfield
Words Get In The Way	Miami Sound Machine
Invisible Touch	Genesis
One Step Closer To You	Gavin Christopher
Yankee Rose	David Lee Roth
Stuck With You	Huey Lewis & The News
That Was Then, This Is Now	The Monkees
Nasty	Janet Jackson
Man Size Love (From "Running Scared")	Klymaxx
Rumbleseat	John Mellencamp
Opportunities (Let's Make Lots Of Money)	Pet Shop Boys
Walk This Way	Run-D.M.C.
Don't Forget Me (When I'm Gone)	Glass Tiger
Taken In	Mike + The Mechanics
Love Zone	Billy Ocean
The Captain Of Her Heart	Double
Hanging On A Heart Attack	Device
Digging Your Scene	The Blow Monkeys
Modern Woman (From "Ruthless People")	Billy Joel
Take It Easy	Andy Taylor
Dreamtime	Daryl Hall
Two Of Hearts	Stacey Q
Walk Like A Man (From "A Fine Mess")	Mary Jane Girls
Oh, People	Patti LaBelle
Velcro Fly	ZZ Top
Heaven In Your Eyes	Loverboy
Holding Back The Years	Simply Red
When I Think Of You	Janet Jackson
Press	Paul McCartney
Point Of No Return	Nu Shooz
All Cried Out	Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou
Somebody Like You	Thirty Eight Special
Your Wildest Dreams	The Moody Blues
A Kind Of Magic	Queen
Money$ Too Tight (To Mention)	Simply Red
Throwing It All Away	Genesis
There'll Be Sad Songs (To Make You Cry)	Billy Ocean
Love Walks In	Van Halen
Missionary Man	Eurythmics
Love Of A Lifetime	Chaka Khan
If Looks Could Kill	Heart
Who's Johnny ("Short Circuit" Theme)	El DeBarge
A Matter Of Trust	Billy Joel
What Does It Take	Honeymoon Suite
Anotherloverholenyohead	Prince And The Revolution
Ruthless People	Mick Jagger
Twist And Shout	The Beatles
Private Number	The Jets
Love Always	El DeBarge
Nothing In Common	Thompson Twins
No One Is To Blame	Howard Jones
So Far So Good (From "About Last Night")	Sheena Easton
Ain't Nothin' Goin' On But The Rent	Gwen Guthrie
Wrap It Up	The Fabulous Thunderbirds
You Can Call Me Al	Paul Simon
Sweet Love	Anita Baker
Every Little Kiss	Bruce Hornsby & The Range
When The Heart Rules The Mind	GTR
Secret Separation	The Fixx
On My Own	Patti LaBelle & Michael McDonald
I Didn't Mean To Turn You On	Robert Palmer
No Promises	Icehouse
Spirit In The Sky	Doctor And The Medics
Tuff Enuff	The Fabulous Thunderbirds
With You All The Way	New Edition
Hyperactive	Robert Palmer
It's You	Bob Seger
The Other Side Of Life	The Moody Blues
Crush On You	The Jets
Lonely Is The Night	Air Supply
Before I Go	Starship
Am I Forgiven	Isle Of Man
Like A Rock	Bob Seger
Take Me Home Tonight	Eddie Money
Paranoimia	Art Of Noise With Max Headroom
Hot Water	Level 42
Like No Other Night	Thirty Eight Special
Playing With The Boys	Kenny Loggins
Dreams	Van Halen
Walk Away Renee	Southside Johnny & The Jukes
Victory Line	Limited Warranty
Something About You	Level 42
