The Monster	Eminem Featuring Rihanna
Timber	Pitbull Featuring Ke$ha
Counting Stars	OneRepublic
Say Something	A Great Big World & Christina Aguilera
Royals	Lorde
Demons	Imagine Dragons
Wake Me Up!	Avicii
Wrecking Ball	Miley Cyrus
Let Her Go	Passenger
Story Of My Life	One Direction
Hold On, We're Going Home	Drake Featuring Majid Jordan
Roar	Katy Perry
Burn	Ellie Goulding
Sweater Weather	The Neighbourhood
White Walls	Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
Do What U Want	Lady Gaga Featuring R. Kelly
Unconditionally	Katy Perry
23	Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
Stay The Night	Zedd Featuring Hayley Williams
Applause	Lady Gaga
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Dark Horse	Katy Perry Featuring Juicy J
Team	Lorde
Pompeii	Bastille
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
Marry Me	Jason Derulo
All I Want For Christmas Is You	Mariah Carey
Holy Grail	Jay Z Featuring Justin Timberlake
Stay	Florida Georgia Line
Radioactive	Imagine Dragons
Love More	Chris Brown Featuring Nicki Minaj
It Won't Stop	Sevyn Streeter Featuring Chris Brown
Brave	Sara Bareilles
Rap God	Eminem
Best Day Of My Life	American Authors
Carolina	Parmalee
Drink A Beer	Luke Bryan
Sail	AWOLNATION
Show Me	Kid Ink Featuring Chris Brown
All Me	Drake Featuring 2 Chainz & Big Sean
Confident	Justin Bieber Featuring Chance The Rapper
Drunk Last Night	Eli Young Band
Whatever She's Got	David Nail
Gas Pedal	Sage The Gemini Featuring IamSu!
Safe And Sound	Capital Cities
Wasting All These Tears	Cassadee Pope
Sweet Annie	Zac Brown Band
Chillin' It	Cole Swindell
Summertime Sadness	Lana Del Rey & Cedric Gervais
Slow Down	Selena Gomez
Little Drummer Boy	Pentatonix
All Of Me	John Legend
That's My Kind Of Night	Luke Bryan
Let It Go	Idina Menzel
Saturday	Rebecca Black & Dave Days
Animals	Martin Garrix
We Were Us	Keith Urban And Miranda Lambert
Let It Go	Demi Lovato
Don't Let Me Be Lonely	The Band Perry
When She Says Baby	Jason Aldean
TKO	Justin Timberlake
Friday Night	Eric Paslay
I Luv This Sh*t	August Alsina Featuring Trinidad James
Bridge Over Troubled Water	Tessanne Chin
Radio	Darius Rucker
Hey Brother	Avicii
Sunny And 75	Joe Nichols
HeadBand	B.o.B Featuring 2 Chainz
Replay	Zendaya
The Language	Drake
Up All Night	Jon Pardi
Love Me Again	John Newman
Compass	Lady Antebellum
Mine Would Be You	Blake Shelton
Cannonball	Lea Michele
Bound 2	Kanye West
Perfume	Britney Spears
Berzerk	Eminem
Everybody's Got Somebody But Me	Hunter Hayes Featuring Jason Mraz
Underneath The Tree	Kelly Clarkson
Honest	Future
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Alone Together	Fall Out Boy
All That Matters	Justin Bieber
The Man	Aloe Blacc
See You Tonight	Scotty McCreery
Angel	Jacquie Lee
Helluva Life	Frankie Ballard
My Story	R. Kelly Featuring 2 Chainz
Bounce It	Juicy J Featuring Wale & Trey Songz
Do I Wanna Know?	Arctic Monkeys
The Fox	Ylvis
What Now	Rihanna
Best Song Ever	One Direction
Old School Love	Lupe Fiasco Featuring Ed Sheeran
Survival	Eminem
The Heart Of Dixie	Danielle Bradbery
Pound Cake / Paris Morton Music 2	Drake Featuring JAY-Z
V. 3005	Childish Gambino
Right There	Ariana Grande Featuring Big Sean
