God's Plan	Drake
Meant To Be	Bebe Rexha & Florida Georgia Line
Psycho	Post Malone Featuring Ty Dolla $ign
Call Out My Name	The Weeknd
Look Alive	BlocBoy JB Featuring Drake
The Middle	Zedd, Maren Morris & Grey
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Freaky Friday	Lil Dicky Featuring Chris Brown
Walk It Talk It	Migos Featuring Drake
Havana	Camila Cabello Featuring Young Thug
Mine	Bazzi
Plug Walk	Rich The Kid
Never Be The Same	Camila Cabello
Pray For Me	The Weeknd & Kendrick Lamar
Be Careful	Cardi B
Stir Fry	Migos
Sad!	XXXTENTACION
All The Stars	Kendrick Lamar & SZA
Ric Flair Drip	Offset & Metro Boomin
Rockstar	Post Malone Featuring 21 Savage
New Rules	Dua Lipa
Whatever It Takes	Imagine Dragons
Let You Down	NF
Friends	Marshmello & Anne-Marie
Try Me	The Weeknd
Wasted Times	The Weeknd
Heaven	Kane Brown
Thunder	Imagine Dragons
Wait	Maroon 5
In My Blood	Shawn Mendes
Him & I	G-Eazy & Halsey
Lights Down Low	MAX Featuring gnash
Powerglide	Rae Sremmurd & Juicy J
I Was Never There	The Weeknd Featuring Gesaffelstein
You Make It Easy	Jason Aldean
Say Something	Justin Timberlake Featuring Chris Stapleton
Feel It Still	Portugal. The Man
I Fall Apart	Post Malone
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
New Freezer	Rich The Kid Featuring Kendrick Lamar
Bad At Love	Halsey
Hurt You	The Weeknd Featuring Gesaffelstein
Marry Me	Thomas Rhett
Medicine	Queen Naija
Delicate	Taylor Swift
X	Nicky Jam x J Balvin
Lemon	N*E*R*D & Rihanna
Most People Are Good	Luke Bryan
Singles You Up	Jordan Davis
Bartier Cardi	Cardi B Featuring 21 Savage
Privilege	The Weeknd
Japan	Famous Dex
Outside Today	YoungBoy Never Broke Again
No Excuses	Meghan Trainor
Love Lies	Khalid & Normani
IDGAF	Dua Lipa
Changes	XXXTENTACION
Dura	Daddy Yankee
Billy	6ix9ine
Zombie	Bad Wolves
Tell Me You Love Me	Demi Lovato
El Farsante	Ozuna & Romeo Santos
Broken Halos	Chris Stapleton
The Long Way	Brett Eldredge
Tequila	Dan + Shay
One Number Away	Luke Combs
Hardaway	Derez De'Shon
Everyday	Logic & Marshmello
Top Off	DJ Khaled Featuring JAY Z, Future & B
Moonlight	XXXTENTACION
Sit Next To Me	Foster The People
I Like Me Better	Lauv
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
All On Me	Devin Dawson
Five More Minutes	Scotty McCreery
Red Roses	Lil Skies Featuring Landon Cube
Boo'd Up	Ella Mai
She's With Me	High Valley
When We	Tank
I Lived It	Blake Shelton
Broken Clocks	SZA
Up Down	Morgan Wallen Featuring Florida Georgia Line
No Roots	Alice Merton
Nowadays	Lil Skies Featuring Landon Cube
Say Amen (Saturday Night)	Panic! At The Disco
No Smoke	YoungBoy Never Broke Again
Tempo	Chris Brown
OKRA	Tyler, The Creator
For The First Time	Darius Rucker
Echame La Culpa	Luis Fonsi & Demi Lovato
Take Back Home Girl	Chris Lane Featuring Tori Kelly
Written In The Sand	Old Dominion
Woman, Amen	Dierks Bentley
La Modelo	Ozuna x Cardi B
Proud	2 Chainz Featuring YG & Offset
Beautiful Trauma	P!nk
NBAYoungboat	Lil Yachty Featuring NBA YoungBoy
Get You	Daniel Caesar Featuring Kali Uchis
Focus	H.E.R.
