Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
You Are Not Alone	Michael Jackson
Kiss From A Rose	Seal
Runaway	Janet Jackson
Waterfalls	TLC
Only Wanna Be With You	Hootie & The Blowfish
I Can Love You Like That	All-4-One
As I Lay Me Down	Sophie B. Hawkins
I Got 5 On It	Luniz
Brokenhearted	Brandy
I Hate U	Prince
Run-Around	Blues Traveler
Roll To Me	Del Amitri
Boombastic/In The Summertime	Shaggy
Carnival	Natalie Merchant
I'll Be There For You/This House Is Not A Home	The Rembrandts
He's Mine	MoKenStef
Back For Good	Take That
Tell Me	Groove Theory
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
Don't Take It Personal (Just One Of Dem Days)	Monica
1st Of Tha Month	Bone Thugs-N-Harmony
December	Collective Soul
Sugar Hill	AZ
How High (From "The Show")	Redman/Method Man
Can I Touch You...There?	Michael Bolton
I Wish	Skee-Lo
Do You Sleep?	Lisa Loeb & Nine Stories
I Like It, I Love It	Tim McGraw
'Til You Do Me Right	After 7
Player's Anthem	Junior M.A.F.I.A.
Every Little Thing I Do	Soul For Real
Someone To Love	Jon B. Featuring Babyface
Let Me Be The One	Blessid Union Of Souls
Brown Sugar	D'Angelo
Water Runs Dry	Boyz II Men
One More Chance/Stay With Me	The Notorious B.I.G.
Shy Guy (From "Bad Boys")	Diana King
Let Her Cry	Hootie & The Blowfish
Comedown	Bush
Pretty Girl	Jon B
Breakfast At Tiffany's	Deep Blue Something
Heaven	Solo
Macarena (Bayside Boys Mix)	Los Del Rio
I Know	Dionne Farris
Freek'n You	Jodeci
Downtown Venus	P.M. Dawn
You Used To Love Me	Faith Evans
I Wanna B With U	Fun Factory
Good	Better Than Ezra
Feel The Funk (From "Dangerous Minds")	Immature
Somethin' 4 Da Honeyz	Montell Jordan
Come And Get Your Love	Real McCoy
Sentimental	Deborah Cox
Vibin'	Boyz II Men
MC's Act Like They Don't Know	KRS-One
Crazy Cool	Paula Abdul
Summertime In The LBC (From "The Show")	The Dove Shack
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Real Hip Hop	Das EFX
Best Friend	Brandy
Can't Cry Anymore	Sheryl Crow
Walk In The Sun	Bruce Hornsby
A Mover La Colita	Artie The 1 Man Party
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Temptations	2Pac
Missing	Everything But The Girl
Feel Me Flow	Naughty By Nature
This Ain't A Love Song	Bon Jovi
Send Me On My Way	Rusted Root
Anything	3T
Feels So Good	Xscape
Somebody's Crying	Chris Isaak
Lie To Me/Something For The Pain	Bon Jovi
Boom Boom Boom	The Outhere Brothers
Come With Me	Shai
I Love You/You Bring Me Joy	Mary J. Blige
Tonight's The Night	BLACKstreet
On The Down Low	Brian McKnight
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Molly (Sixteen Candles)	Sponge
Sittin' On Chrome	Masta Ace Incorporated
We Must Be In Love	Pure Soul
Pull Up To The Bumper	Patra
One Boy, One Girl	Collin Raye
Round & Round	Twinz
Scream/Childhood	Michael Jackson & Janet Jackson
West Up!	WC & The Maad Circle
Sick Of Myself	Matthew Sweet
You Have The Right To Remain Silent	Perfect Stranger
Hook	Blues Traveler
Jeremy/Yellow Ledbetter	Pearl Jam
Solitude	Edwin McCain
So Many Tears	2Pac
Danger	Blahzay Blahzay
Hey Now (Girls Just Want To Have Fun)	Cyndi Lauper
Girlstown	Super Cat
I Can't Tell You Why	Brownstone
