To Sir With Love	Lulu
The Letter	The Box Tops
Never My Love	The Association
How Can I Be Sure	The Young Rascals
Expressway (To Your Heart)	Soul Survivors
It Must Be Him	Vikki Carr
Soul Man	Sam & Dave
Your Precious Love	Marvin Gaye & Tammi Terrell
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Incense And Peppermints	Strawberry Alarm Clock
Get On Up	The Esquires
People Are Strange	The Doors
Gimme Little Sign	Brenton Wood
Hey Baby (They're Playing Our Song)	The Buckinghams
Please Love Me Forever	Bobby Vinton
Let It Out (Let It All Hang Out)	The Hombres
I'm Wondering	Stevie Wonder
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
The Rain, The Park & Other Things	The Cowsills
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Come Back When You Grow Up	Bobby Vee And The Strangers
You Keep Running Away	Four Tops
Let Love Come Between Us	James & Bobby Purify
Love Is Strange	Peaches & Herb
The Look Of Love	Dusty Springfield
Holiday	Bee Gees
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
The Last Waltz	Engelbert Humperdinck
Ode To Billie Joe	Bobbie Gentry
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Child Of Clay	Jimmie Rodgers
Lightning's Girl	Nancy Sinatra
Ode To Billie Joe	The Kingpins
Kentucky Woman	Neil Diamond
Everlasting Love	Robert Knight
Pata Pata	Miriam Makeba
Even The Bad Times Are Good	The Tremeloes
I Can See For Miles	The Who
Dandelion	The Rolling Stones
Lazy Day	Spanky And Our Gang
Brown Eyed Girl	Van Morrison
I Say A Little Prayer	Dionne Warwick
You've Made Me So Very Happy	Brenda Holloway
Rock 'N' Roll Woman	Buffalo Springfield
Why Do Fools Fall In Love	The Happenings
Lady Bird	Nancy Sinatra & Lee Hazlewood
Just One Look	The Hollies
Big Boss Man	Elvis Presley
I Dig Rock And Roll Music	Peter, Paul & Mary
Boogaloo Down Broadway	The Fantastic Johnny C
King Midas In Reverse	The Hollies
Hush	Billy Joe Royal
Karate-Boo-Ga-Loo	Jerryo
I Heard It Through The Grapevine	Gladys Knight And The Pips
More Than The Eye Can See	Al Martino
You Don't Know Me	Elvis Presley With The Jordanaires
Keep The Ball Rollin'	Jay And The Techniques
Shout Bamalama	Mickey Murray
Like An Old Time Movie	Scott McKenzie
If This Is Love (I'd Rather Be Lonely)	The Precisions
What've I Done (To Make You Mad)	Linda Jones
Glad To Be Unhappy	The Mamas & The Papas
She Is Still A Mystery	The Lovin' Spoonful
Back On The Street Again	The Sunshine Company
Get It Together (Part 1)	James Brown And The Famous Flames
Homburg	Procol Harum
It's Got To Be Mellow	Leon Haywood
Dirty Man	Laura Lee
Mr. Dream Merchant	Jerry Butler
Are You Never Coming Home	Sandy Posey
Nine Pound Steel	Joe Simon
Beg, Borrow And Steal	Ohio Express
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Purple Haze	The Jimi Hendrix Experience
Wake Up, Wake Up	The Grass Roots
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
You Mean The World To Me	David Houston
This Town	Frank Sinatra
You Better Sit Down Kids	Cher
Go-Go Girl	Lee Dorsey
Can't Stop Loving You	The Last Word
Brink Of Disaster	Lesley Gore
Go With Me	Gene And Debbe
Get Down	Harvey Scales
Out Of The Blue	Tommy James And The Shondells
Suzanne	Noel Harrison
By The Time I Get To Phoenix	Glen Campbell
Lovey Dovey/You're So Fine	Bunny Sigler
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Next Plane To London	The Rose Garden
Give Everybody Some	The Bar-Kays
For Once In My Life	Tony Bennett
Skinny Legs And All	Joe Tex
You Are My Sunshine	Mitch Ryder
Birds Of Britain	Bob Crewe Generation
Sweet, Sweet Lovin'	The Platters
Shame On Me	Chuck Jackson
Lapland	The Baltimore And Ohio Marching Band
Desiree'	The Left Banke
On A Saturday Night	Eddie Floyd
