Michael	The Highwaymen
Take Good Care Of My Baby	Bobby Vee
My True Story	The Jive Five With Joe Rene And Orchestra
Hurt	Timi Yuro
You Don't Know What You've Got (Until You Lose It)	Ral Donner
Wooden Heart	Joe Dowell
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)	Lonnie Donegan And His Skiffle Group
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
Little Sister	Elvis Presley
As If I Didn't Know	Adam Wade
Crying	Roy Orbison
The Mountain's High	Dick and DeeDee
When We Get Married	The Dreamlovers
Without You	Johnny Tillotson
Tossin' And Turnin'	Bobby Lewis
School Is Out	Gary U.S. Bonds
I Just Don't Understand	Ann-Margret
Don't Bet Money Honey	Linda Scott
A Little Bit Of Soap	The Jarmels
Frankie And Johnny	Brook Benton
I Fall To Pieces	Patsy Cline
(Marie's The Name) His Latest Flame	Elvis Presley
Big Cold Wind	Pat Boone
More Money For You And Me	The Four Preps
I'll Never Smile Again	The Platters
Last Night	Mar-Keys
Amor	Ben E. King
Nag	The Halos
One Track Mind	Bobby Lewis
Bless You	Tony Orlando
It's Gonna Work Out Fine	Ike & Tina Turner
Let Me Belong To You	Brian Hyland
Mexico	Bob Moore and His Orch.
You Must Have Been A Beautiful Baby	Bobby Darin
Kissin' On The Phone	Paul Anka
Lover's Island	The Blue Jays
Look In My Eyes	The Chantels
I'm Gonna Knock On Your Door	Eddie Hodges
Don't Cry, Baby	Etta James
Years From Now	Jackie Wilson
I Like It Like That, Part 1	Chris Kenner
Every Breath I Take	Gene Pitney
Let The Four Winds Blow	Fats Domino
Transistor Sister	Freddy Cannon
Sea Of Heartbreak	Don Gibson
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T	Ray Stevens
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
The Astronaut (Parts 1 & 2)	Jose Jimenez
Magic Moon (Clair De Lune)	The Rays
Missing You	Ray Peterson
Pretty Little Angel Eyes	Curtis Lee
Water Boy	Don Shirley Trio
Roll Over Beethoven	The Velaires
My Blue Heaven	Duane Eddy And The Rebels
Hit The Road Jack	Ray Charles and his Orchestra
Baby, You're Right	James Brown And The Famous Flames
Baby You're So Fine	Mickey & Sylvia
Wizard Of Love	The Ly - Dells
I Wake Up Crying	Chuck Jackson
Sweet Little You	Neil Sedaka
Music, Music, Music	The Sensations Featuring Yvonne
Now And Forever	Bert Kaempfert And His Orchestra
Starlight, Starbright	Linda Scott
Take Five	The Dave Brubeck Quartet
I Don't Want To Take A Chance	Mary Wells
Keep On Dancing	Hank Ballard And The Midnighters
Lonely Street	Clarence Henry
I'm A Telling You	Jerry Butler
Let's Get Together	Hayley Mills and Hayley Mills
Juke Box Saturday Night	Nino & The Ebb Tides
Don't Get Around Much Anymore	The Belmonts
Sad Movies (Make Me Cry)	Sue Thompson
The Way You Look Tonight	The Lettermen
Bristol Stomp	The Dovells
Romeo	Janie Grant
Stick Shift	Duals
Donald Where's Your Troosers?	Andy Stewart
Cinderella	Paul Anka
A Little Dog Cried	Jimmie Rodgers
Starlight	The Preludes Five
You're The Reason	Bobby Edwards
For Sentimental Reasons	The Cleftones
(Theme From) Silver City	The Ventures
Human	Tommy Hunt
My Dream Come True	Jack Scott
I Don't Like It Like That	The Bobbettes
Sweets For My Sweet	The Drifters
Please Mr. Postman	The Marvelettes
I Love How You Love Me	The Paris Sisters
Well-A, Well-A	Shirley & Lee
Anniversary Of Love	The Caslons
I Can't Take It	Mary Ann Fisher
(He's) The Great Impostor	The Fleetwoods
Foot Stomping - Part 1	The Flares
Ya Ya	Lee Dorsey
Pitter-Patter	The Four Sportsmen
It's Your World	Marty Robbins
Impossible	Gloria Lynne
Signed, Sealed And Delivered	Rusty Draper
I Love You Yes I Do	Bull Moose Jackson
