Closer	The Chainsmokers Featuring Halsey
Cold Water	Major Lazer Featuring Justin Bieber & MO
Heathens	twenty one pilots
Cheap Thrills	Sia Featuring Sean Paul
Don't Let Me Down	The Chainsmokers Featuring Daya
This Is What You Came For	Calvin Harris Featuring Rihanna
Ride	twenty one pilots
Treat You Better	Shawn Mendes
One Dance	Drake Featuring WizKid & Kyla
Needed Me	Rihanna
Send My Love (To Your New Lover)	Adele
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Let Me Love You	DJ Snake Featuring Justin Bieber
Can't Stop The Feeling!	Justin Timberlake
Into You	Ariana Grande
Too Good	Drake Featuring Rihanna
Make Me...	Britney Spears Featuring G-Eazy
Broccoli	D.R.A.M. Featuring Lil Yachty
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Gold	Kiiara
Luv	Tory Lanez
For Free	DJ Khaled Featuring Drake
I Hate U I Love U	gnash Featuring Olivia O'Brien
Never Be Like You	Flume Featuring Kai
Panda	Desiigner
Controlla	Drake
Hymn For The Weekend	Coldplay
Sit Still, Look Pretty	Daya
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Just Like Fire	P!nk
Side To Side	Ariana Grande Featuring Nicki Minaj
This Girl	Kungs vs Cookin' On 3 Burners
No Limit	Usher Featuring Young Thug
H.O.L.Y.	Florida Georgia Line
Work	Rihanna Featuring Drake
Mama Said	Lukas Graham
Stressed Out	twenty one pilots
I Took A Pill In Ibiza	Mike Posner
Me Too	Meghan Trainor
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Tiimmy Turner	Desiigner
Unsteady	X Ambassadors
Peter Pan	Kelsea Ballerini
Low Life	Future Featuring The Weeknd
Don't Mind	Kent Jones
7 Years	Lukas Graham
Cake By The Ocean	DNCE
Different For Girls	Dierks Bentley Featuring Elle King
Starving	Hailee Steinfeld & Grey Featuring Zedd
Make You Miss Me	Sam Hunt
Setting The World On Fire	Kenny Chesney Featuring P!nk
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Rise	Katy Perry
Gangsta	Kehlani
American Country Love Song	Jake Owen
May We All	Florida Georgia Line Featuring Tim McGraw
In The Name Of Love	Martin Garrix & Bebe Rexha
Money Longer	Lil Uzi Vert
THat Part	ScHoolboy Q Featuring Kanye West
From The Ground Up	Dan + Shay
Purple Lamborghini	Skrillex & Rick Ross
Sorry	Beyonce
You & Me	Marc E. Bassy Featuring G-Eazy
My PYT	Wale
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Vice	Miranda Lambert
Father Stretch My Hands Pt. 1	Kanye West
She's Got A Way With Words	Blake Shelton
Grass Ain't Greener	Chris Brown
Middle Of A Memory	Cole Swindell
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
No Shopping	French Montana Featuring Drake
You Don't Own Me	Grace Featuring G-Eazy
It Don't Hurt Like It Used To	Billy Currington
With You Tonight / Hasta El Amanecer	Nicky Jam
Rock On	Tucker Beathard
Kill Em With Kindness	Selena Gomez
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Come And See Me	PARTYNEXTDOOR Featuring Drake
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
You Look Like I Need A Drink	Justin Moore
1 Night	Lil Yachty
OOOUUU	Young M.A
Wicked	Future
Wyclef Jean	Young Thug
I Met A Girl	William Michael Morgan
Move	Luke Bryan
Famous	Kanye West
Record Year	Eric Church
You Was Right	Lil Uzi Vert
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Scars To Your Beautiful	Alessia Cara
Lockjaw	French Montana Featuring Kodak Black
I Know Somebody	LOCASH
Duele El Corazon	Enrique Iglesias Feat. Wisin or Tinashe & Javada
Church Bells	Carrie Underwood
Cool Girl	Tove Lo
