Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Let's Groove	Earth, Wind & Fire
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Young Turks	Rod Stewart
Harden My Heart	Quarterflash
Leather And Lace	Stevie Nicks With Don Henley
Centerfold	The J. Geils Band
Turn Your Love Around	George Benson
Trouble	Lindsey Buckingham
Yesterday's Songs	Neil Diamond
Comin' In And Out Of Your Life	Barbra Streisand
The Sweetest Thing (I've Ever Known)	Juice Newton
Hooked On Classics	Royal Philharmonic Orchestra
Why Do Fools Fall In Love	Diana Ross
Cool Night	Paul Davis
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Don't Stop Believin'	Journey
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Waiting On A Friend	The Rolling Stones
Shake It Up	The Cars
I Wouldn't Have Missed It For The World	Ronnie Milsap
Leader Of The Band	Dan Fogelberg
Come Go With Me	The Beach Boys
Steal The Night	Stevie Woods
She's Got A Way	Billy Joel
Our Lips Are Sealed	Go-Go's
You Could Have Been With Me	Sheena Easton
Under Pressure	Queen & David Bowie
Take It Easy On Me	Little River Band
Oh No	Commodores
Sweet Dreams	Air Supply
Every Little Thing She Does Is Magic	The Police
Here I Am (Just When I Thought I Was Over You)	Air Supply
Love Is Alright Tonite	Rick Springfield
Castles In The Air	Don McLean
More Than Just The Two Of Us	Sneaker
My Girl (Gone, Gone, Gone)	Chilliwack
Heart Like A Wheel	The Steve Miller Band
Working For The Weekend	Loverboy
Love In The First Degree	Alabama
Key Largo	Bertie Higgins
Private Eyes	Daryl Hall John Oates
All Our Tomorrows	Eddie Schwartz
If I Were You	Lulu
My Kinda Lover	Billy Squier
Start Me Up	The Rolling Stones
Let Me Love You Once	Greg Lake
Somewhere Down The Road	Barry Manilow
Breakin' Away	Al Jarreau
Sea Of Love	Del Shannon
Little Darlin'	Sheila
The Old Songs	Barry Manilow
Could It Be Love	Jennifer Warnes
Feel Like A Number	Bob Seger & The Silver Bullet Band
Arthur's Theme (Best That You Can Do)	Christopher Cross
Abacab	Genesis
Keeping Our Love Alive	Henry Paul Band
Falling In Love	Balance
Poor Man's Son	Survivor
No Reply At All	Genesis
Never Too Much	Luther Vandross
Wrack My Brain	Ringo Starr
Those Good Old Dreams	Carpenters
Wkrp In Cincinnati	Steve Carlisle
Tryin' To Live My Life Without You	Bob Seger
Love Is Like A Rock	Donnie Iris
Through The Years	Kenny Rogers
Closer To The Heart	Rush
One Hundred Ways	Quincy Jones Featuring James Ingram
Every Home Should Have One	Patti Austin
Southern Pacific	Neil Young / Crazy Horse
Crazy (Keep On Falling)	The John Hall Band
A World Without Heroes	KISS
Tonight Tonight	Bill Champlin
Pac-Man Fever	Buckner & Garcia
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Living Eyes	Bee Gees
Anyone Can See	Irene Cara
Mirror, Mirror	Diana Ross
Let The Feeling Flow	Peabo Bryson
Just Once	Quincy Jones Featuring James Ingram
You're My Latest, My Greatest Inspiration	Teddy Pendergrass
Runaway Rita	Leif Garrett
Chariots Of Fire - Titles	Vangelis
I've Done Everything For You	Rick Springfield
When All Is Said And Done	ABBA
It's My Party	Dave Stewart and Barbara Gaskin
Can't Hold Back (Your Loving)	Kano
The Night Owls	Little River Band
The Woman In Me	Crystal Gayle
Better Things	The Kinks
When She Was My Girl	Four Tops
Sausalito Summernight	Diesel
We're In This Love Together	Al Jarreau
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Blaze Of Glory	Kenny Rogers
For Your Eyes Only	Sheena Easton
Super Freak (Part I)	Rick James
Endless Love	Diana Ross & Lionel Richie
