Honey	Mariah Carey
4 Seasons Of Loneliness	Boyz II Men
You Make Me Wanna...	Usher
How Do I Live	LeAnn Rimes
Quit Playing Games (With My Heart)	Backstreet Boys
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
2 Become 1	Spice Girls
Semi-Charmed Life	Third Eye Blind
Foolish Games/You Were Meant For Me	Jewel
Barbie Girl	Aqua
Invisible Man	98 Degrees
All For You	Sister Hazel
Building A Mystery	Sarah McLachlan
All Cried Out	Allure Featuring 112
Up Jumps Da Boogie	Magoo And Timbaland
Not Tonight	Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar
Never Make A Promise	Dru Hill
Sunny Came Home	Shawn Colvin
Do You Know (What It Takes)	Robyn
You Should Be Mine (Don't Waste Your Time)	Brian McKnight Featuring Mase
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
What About Us	Total
Bitch	Meredith Brooks
Return Of The Mack	Mark Morrison
Coco Jamboo	Mr. President
The Freshmen	The Verve Pipe
Barely Breathing	Duncan Sheik
Everything	Mary J. Blige
I Miss My Homies	Master P Featuring Pimp C And The Shocker
Someone	SWV (Featuring Puff Daddy)
G.H.E.T.T.O.U.T.	Changing Faces
For You I Will (From "Space Jam")	Monica
You Light Up My Life	LeAnn Rimes
Butta Love	Next
Do You Like This	Rome
Backyard Boogie	Mack 10
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
I Care 'Bout You	Milestone
C U When U Get There (From "Nothing To Lose")	Coolio Featuring 40 Thevz
Say You'll Be There	Spice Girls
I Say A Little Prayer	Diana King
Gotham City	R. Kelly
ESPN Presents The Jock Jam	Various Artists
On My Own	Peach Union
Avenues	Refugee Camp All Stars Featuring Pras (With Ky-mani)
Tubthumping	Chumbawamba
I Want You	Savage Garden
6 Underground	Sneaker Pimps
MMMBop	Hanson
After 12, Before 6	Sam Salter
All I Want (From "GOOD Burger")	702
I Can Love You	Mary J. Blige
Me And My Crazy World	Lost Boyz
It's Your Love	Tim McGraw With Faith Hill
More Than This	10,000 Maniacs
To The Moon And Back	Savage Garden
Legend Of A Cowgirl	Imani Coppola
No Tengo Dinero	Los Umbrellos
Take It To The Streets	Rampage Featuring Billy Lawrence
Things Just Ain't The Same	Deborah Cox
Have A Little Mercy	4.0
When I Die	No Mercy
Big Bad Mamma (From "Def Jam's How To Be A Player")	Foxy Brown Featuring Dru Hill
As We Lay	Dana
Around The World	Daft Punk
Look Into My Eyes (From "Batman & Robin")	Bone Thugs-N-Harmony
Go The Distance (From "Hercules")	Michael Bolton
I'm Not A Fool	Immature
Don't Say	Jon B
Hole In My Soul	Aerosmith
Smile	Scarface Featuring 2Pac & Johnny P
Jack-Ass	Beck
Piece Of My Heart	Shaggy (Featuring Marsha)
Alone	Bee Gees
Down For Yours	Nastyboy Klick Featuring Roger Troutman
To Make You Feel My Love	Billy Joel
The Way That You Talk	Jagged Edge Featuring Da Brat & JD
Don't Go	Le Click Featuring Kayo
Rhythm Of Love	DJ Company
Whatever	En Vogue
Need Your Love	Big Bub Featuring Queen Latifah & Heavy D
You Bring Me Up	K-Ci & JoJo
Fix	BLACKstreet With Special Guests Ol' Dirty Bastard & Slash
Men Of Steel (From "Steel")	Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One
We Can Get Down	Myron
Free	Ultra Nate
Off The Books	The Beatnuts Featuring Big Punisher & Cuban Link
Can't Let Go	Laurnea
Love Is Alive	3rd Party
Never, Never Gonna Give You Up	Lisa Stansfield
Supernatural	Wild Orchid
It's No Good	Depeche Mode
Four Leaf Clover	Abra Moore
Happy With You	Samantha Cole
When You Talk About Love	Patti LaBelle
Can't Get You Out Of My Mind	Lil Suzy
Butterfly Kisses	Raybon Bros.
Can We (From "Booty Call")	SWV
It's Alright	Queen Latifah
