Baby Come Back	Player
How Deep Is Your Love	Bee Gees
Here You Come Again	Dolly Parton
You're In My Heart (The Final Acclaim)	Rod Stewart
Short People	Randy Newman
Slip Slidin' Away	Paul Simon
Hey Deanie	Shaun Cassidy
We Are The Champions	Queen
Come Sail Away	Styx
Stayin' Alive	Bee Gees
Just The Way You Are	Billy Joel
(Every Time I Turn Around) Back In Love Again	LTD
Runaround Sue	Leif Garrett
(Love Is) Thicker Than Water	Andy Gibb
Sometimes When We Touch	Dan Hill
Turn To Stone	Electric Light Orchestra
Serpentine Fire	Earth, Wind & Fire
Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)	Chic
I Go Crazy	Paul Davis
Sentimental Lady	Bob Welch
Desiree	Neil Diamond
You Light Up My Life	Debby Boone
Emotion	Samantha Sang
Don't Let Me Be Misunderstood	Santa Esmeralda Starring Leroy Gomez
You Can't Turn Me Off (In The Middle Of Turning Me On)	High Inergy
Blue Bayou	Linda Ronstadt
What's Your Name	Lynyrd Skynyrd
Point Of Know Return	Kansas
Native New Yorker	Odyssey
Long, Long Way From Home	Foreigner
Don't It Make My Brown Eyes Blue	Crystal Gayle
Peg	Steely Dan
Too Hot Ta Trot	Commodores
Ffun	ConFunkShun
Lovely Day	Bill Withers
As	Stevie Wonder
Happy Anniversary	Little River Band
(You're My) Soul And Inspiration	Donny & Marie Osmond
Theme From "Close Encounters Of The Third Kind"	John Williams
Theme From Close Encounters	Meco
Easy To Love	Leo Sayer
Street Corner Serenade	Wet Willie
If You're Not Back In Love By Monday	Millie Jackson
The Name Of The Game	ABBA
Thunder Island	Jay Ferguson
Sweet Music Man	Kenny Rogers
I Love You	Donna Summer
Falling	LeBlanc & Carr
The Way I Feel Tonight	Bay City Rollers
Always And Forever	Heatwave
Lay Down Sally	Eric Clapton
Curious Mind (Um, Um, Um, Um, Um, Um)	Johnny Rivers
Breakdown	Tom Petty And The Heartbreakers
Galaxy	War
Gettin' Ready For Love	Diana Ross
Reach For It	George Duke
It's So Easy	Linda Ronstadt
Mind Bender	Stillwater
Girls' School	Wings
Cocomotion	El Coco
God Only Knows	Marilyn Scott
You Make Me Crazy	Sammy Hagar
Jack And Jill	Raydio
Goodbye Girl	David Gates
My Way	Elvis Presley
Rockaway Beach	Ramones
How Can I Leave You Again	John Denver
Crazy On You	Heart
Tried To Love	Peter Frampton
Isn't It Time	The Babys
So Long	Firefall
The Next Hundred Years	Al Martino
The Way You Do The Things You Do	Rita Coolidge
Ooh Boy	Rose Royce
Take Me To The Kaptin	Prism
Our Love	Natalie Cole
We're All Alone	Rita Coolidge
Le Spank	Le Pamplemousse
If It Don't Fit, Don't Force It	Kellee Patterson
What's Your Name, What's Your Number	Andrea True Connection
(What A)  Wonderful World	Art Garfunkel With James Taylor & Paul Simon
Lady Love	Lou Rawls
Belle	Al Green
Let It Go, Let It Flow	Dave Mason
Shout It Out Loud	KISS
Touch And Gone	Gary Wright
Everybody Loves A Rain Song	B.J. Thomas
Until Now	Bobby Arvon
Storybook Children (Daybreak)	Bette Midler
Supernature	Cerrone
Come Go With Me	Pockets
Swingtown	The Steve Miller Band
Love Me Right	Denise LaSalle
What A Difference You've Made In My Life	Ronnie Milsap
1,000 Laughs	Eloise Laws
Your Smiling Face	James Taylor
Any Way You Want Me	The Sylvers
Heaven On The 7th Floor	Paul Nicholas
Don't Ask My Neighbors	The Emotions
Boogie Nights	Heatwave
