Every Breath You Take	The Police
Electric Avenue	Eddy Grant
Flashdance...What A Feeling	Irene Cara
Never Gonna Let You Go	Sergio Mendes
Wanna Be Startin' Somethin'	Michael Jackson
Come Dancing	The Kinks
Our House	Madness
Is There Something I Should Know	Duran Duran
Stand Back	Stevie Nicks
She Works Hard For The Money	Donna Summer
Sweet Dreams (Are Made Of This)	Eurythmics
1999	Prince
Too Shy	Kajagoogoo
Maniac	Michael Sembello
Baby Jane	Rod Stewart
Cuts Like A Knife	Bryan Adams
All This Love	Debarge
(Keep Feeling) Fascination	The Human League
Hot Girls In Love	Loverboy
It's A Mistake	Men At Work
I'm Still Standing	Elton John
Rock Of Ages	Def Leppard
Time (Clock Of The Heart)	Culture Club
Saved By Zero	The Fixx
Take Me To Heart	Quarterflash
Rock 'n' Roll Is King	Electric Light Orchestra
China Girl	David Bowie
Don't Let It End	Styx
I'll Tumble 4 Ya	Culture Club
Stop In The Name Of Love	The Hollies
Family Man	Daryl Hall John Oates
Wishing (If I Had A Photograph Of You)	A Flock Of Seagulls
Puttin' On The Ritz	Taco
Lawyers In Love	Jackson Browne
Pieces Of Ice	Diana Ross
The Border	America
The Salt In My Tears	Martin Briley
She's A Beauty	The Tubes
After The Fall	Journey
Human Touch	Rick Springfield
Slipping Away	Dave Edmunds
The Safety Dance	Men Without Hats
Fake Friends	Joan Jett & the Blackhearts
Dead Giveaway	Shalamar
All Time High	Rita Coolidge
War Games	Crosby, Stills & Nash
It's Inevitable	Charlie
Human Nature	Michael Jackson
Midnight Blue	Louise Tucker
How Am I Supposed To Live Without You	Laura Branigan
Juicy Fruit	Mtume
Promises, Promises	Naked Eyes
Beat It	Michael Jackson
How Do You Keep The Music Playing	James Ingram And Patti Austin
White Wedding	Billy Idol
Stand By	Roman Holliday
Always Something There To Remind Me	Naked Eyes
Try Again	Champaign
Affair Of The Heart	Rick Springfield
Space Age Whiz Kids	Joe Walsh
Hold Me 'til The Mornin' Comes	Paul Anka
China	Red Rockers
Ewok Celebration	Meco
Blame It On Love	Smokey Robinson & Barbara Mitchell
Do You Compute?	Donnie Iris
Total Eclipse Of The Heart	Bonnie Tyler
Let's Dance	David Bowie
Roll Me Away	Bob Seger & The Silver Bullet Band
Don't You Get So Mad	Jeffrey Osborne
Tonight, I Celebrate My Love	Peabo Bryson/Roberta Flack
The Metro	Berlin
Tip Of My Tongue	The Tubes
Faithfully	Journey
West Coast Summer Nights	Tony Carey
Waiting For Your Love	Toto
Who's Behind The Door?	Zebra
Don't Pay The Ferryman	Chris de Burgh
The Woman In You	Bee Gees
I.o.u.	Lee Greenwood
Sharp Dressed Man	ZZ Top
You're Driving Me Out Of My Mind	Little River Band
Til You And Your Lover Are Lovers Again	Engelbert Humperdinck
Legal Tender	The B-52s
Johnny B. Goode	Peter Tosh
Don't Change	INXS
Little Red Corvette	Prince
Lady Love Me (One More Time)	George Benson
Shiny Shiny	Haysi Fantayzee
When You Were Mine	Mitch Ryder
Radio Free Europe	R.E.M.
We Two	Little River Band
Shy Boy (Don't It Make You Feel Good)	Bananarama
Overkill	Men At Work
Words	F.R. David
You Are In My System	Robert Palmer
My Love	Lionel Richie
That's Love	Jim Capaldi
Save The Overtime (For Me)	Gladys Knight And The Pips
Boogie Down	Jarreau
Solid Rock	Goanna
