Circles	Post Malone
Memories	Maroon 5
The Box	Roddy Ricch
Someone You Loved	Lewis Capaldi
Roxanne	Arizona Zervas
Good As Hell	Lizzo
Dance Monkey	Tones And I
HIGHEST IN THE ROOM	Travis Scott
10,000 Hours	Dan + Shay & Justin Bieber
Lose You To Love Me	Selena Gomez
Senorita	Shawn Mendes & Camila Cabello
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
Bad Guy	Billie Eilish
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
No Guidance	Chris Brown Featuring Drake
Panini	Lil Nas X
Truth Hurts	Lizzo
Trampoline	SHAED
Heartless	The Weeknd
Don't Start Now	Dua Lipa
Bandit	Juice WRLD & YoungBoy Never Broke Again
Everything I Wanted	Billie Eilish
Hot	Young Thug Featuring Gunna
Only Human	Jonas Brothers
One Man Band	Old Dominion
Woah	Lil Baby
I Don't Care	Ed Sheeran & Justin Bieber
Sucker	Jonas Brothers
Even Though I'm Leaving	Luke Combs
Falling	Trevor Daniel
Hot Girl Bummer	blackbear
Ran$om	Lil Tecca
Lover	Taylor Swift
Adore You	Harry Styles
The Bones	Maren Morris
Graveyard	Halsey
Out West	JACKBOYS Featuring Young Thug
On Chill	Wale Featuring Jeremih
Talk	Khalid
Suicidal	YNW Melly & Juice WRLD
Beautiful People	Ed Sheeran Featuring Khalid
Suge	DaBaby
Futsal Shuffle 2020	Lil Uzi Vert
Juicy	Doja Cat & Tyga
No Idea	Don Toliver
Baby	Lil Baby & DaBaby
GANG GANG	JACKBOYS & Sheck Wes
What If I Never Get Over You	Lady Antebellum
My Oh My	Camila Cabello Featuring DaBaby
Ridin' Roads	Dustin Lynch
HAD ENOUGH	Don Toliver Featuring Quavo & Offset
Heat	Chris Brown Featuring Gunna
Playing Games	Summer Walker
Into The Unknown	Idina Menzel & AURORA
WHAT TO DO?	JACKBOYS Featuring Don Toliver
VIBEZ	DaBaby
Heartache Medication	Jon Pardi
Blinding Lights	The Weeknd
Kinfolks	Sam Hunt
Remember You Young	Thomas Rhett
Heart On Ice	Rod Wave
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Homesick	Kane Brown
Camelot	NLE Choppa
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Start Wit Me	Roddy Ricch & Gunna
GATTI	JACKBOYS, Pop Smoke & Travis Scott
High Fashion	Roddy Ricch Featuring Mustard
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Slide	H.E.R. Featuring YG
I Hope	Gabby Barrett Featuring Charlie Puth
Nice To Meet Ya	Niall Horan
Tusa	Karol G & Nicki Minaj
We Back	Jason Aldean
223's	YNW Melly & 9lokknine
Easy	DaniLeigh Featuring Chris Brown
Slow Dancing In The Dark	Joji
BEST ON EARTH	Russ & BIA
Watermelon Sugar	Harry Styles
Vete	Bad Bunny
Make Me Want To	Jimmie Allen
Enemies	Post Malone Featuring DaBaby
What She Wants Tonight	Luke Bryan
homecoming queen?	Kelsea Ballerini
More Hearts Than Mine	Ingrid Andress
Tip Toe	Roddy Ricch Featuring A Boogie Wit da Hoodie
I Wish Grandpas Never Died	Riley Green
Death	Trippie Redd Featuring DaBaby
Yellow Hearts	Ant Saunders
Jerry Sprunger	Tory Lanez & T-Pain
Let Me Know (I Wonder Why Freestyle)	Juice WRLD
Loco Contigo	DJ Snake, J. Balvin & Tyga
Candy	Doja Cat
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
China	Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
Slow Dance In A Parking Lot	Jordan Davis
July	Noah Cyrus & Leon Bridges
