I'll Be There	Jackson 5
We've Only Just Begun	Carpenters
Fire And Rain	James Taylor
Cracklin' Rosie	Neil Diamond
Green-Eyed Lady	Sugarloaf
All Right Now	Free
Indiana Wants Me	R. Dean Taylor
Candida	Dawn
Lola	The Kinks
It's Only Make Believe	Glen Campbell
Still Water (Love)	Four Tops
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
Somebody's Been Sleeping	100 Proof Aged in Soul
Look What They've Done To My Song Ma	The New Seekers featuring Eve Graham
It Don't Matter To Me	Bread
Ain't No Mountain High Enough	Diana Ross
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
El Condor Pasa (If I Could)	Simon & Garfunkel
Cry Me A River	Joe Cocker
Super Bad (Part 1 & Part 2)	James Brown
Out In The Country	Three Dog Night
God, Love And Rock & Roll	Teegarden & Van Winkle
Julie, Do Ya Love Me	Bobby Sherman
Deeper & Deeper	Freda Payne
Engine Number 9	Wilson Pickett
Stand By Your Man	Candi Staton
The Tears Of A Clown	Smokey Robinson & The Miracles
See Me, Feel Me	The Who
Montego Bay	Bobby Bloom
Our House	Crosby, Stills, Nash & Young
Lucretia Mac Evil	Blood, Sweat & Tears
(I Know) I'm Losing You	Rare Earth
Ungena Za Ulimwengu (Unite The World)	The Temptations
Snowbird	Anne Murray
Gypsy Woman	Brian Hyland
Lookin' Out My Back Door/Long As I Can See The Light	Creedence Clearwater Revival
Yellow River	Christie
Do What You Wanna Do	Five Flights Up
Make It Easy On Yourself	Dionne Warwick
Heaven Help Us All	Stevie Wonder
For The Good Times	Ray Price
As The Years Go By	Mashmakhan
That's Where I Went Wrong	The Poppy Family (Featuring Susan Jacks)
It's A Shame	The Spinners
Closer To Home (I'm Your Captain)	Grand Funk Railroad
I Am Somebody Part II	Johnnie Taylor
Long Long Time	Linda Ronstadt
I Do Take You	The Three Degrees
You Don't Have To Say You Love Me/Patch It Up	Elvis Presley
Heed The Call	Kenny Rogers & The First Edition
I Just Wanna Keep It Together	Paul Davis
And The Grass Won't Pay No Mind	Mark Lindsay
When You Get Right Down To It	The Delfonics
Seems Like I Gotta Do Wrong	The Whispers
Fresh Air	Quicksilver Messenger Service
Let's Work Together	Canned Heat
5-10-15-20 (25-30 Years Of Love)	The Presidents
Share The Land	The Guess Who
Sweetheart	Engelbert Humperdinck
After Midnight	Eric Clapton
Something	Shirley Bassey
Mongoose	Elephant's Memory
Part Time Love	Ann Peebles
Our World	Blue Mink
So Close	Jake Holmes
One Less Bell To Answer	The 5th Dimension
Time Waits For No One	The Friends Of Distinction
Let Me Back In	Tyrone Davis
I Don't Wanna Cry	Ronnie Dyson
Funk # 49	James Gang
I'm Not My Brothers Keeper	The Flaming Ember
Love Uprising	Otis Leaville
If You Were Mine	Ray Charles
Don't Try To Lay No Boogie Woogie On The "King Of Rock & Roll"	CROW
Easy Rider (Let The Wind Pay The Way)	Iron Butterfly
Only Love Can Break Your Heart	Neil Young
Time To Kill	The Band
I Need Help (I Can't Do It Alone) Pt. 1	Bobby Byrd
No Matter What	Badfinger
Got To Believe In Love	Robin McNamara
I Can't Believe That You've Stopped Loving Me	Charley Pride
Empty Pages	Traffic
You Better Think Twice	Poco
Jerusalem	Herb Alpert & The Tijuana Brass
I Just Don't Know What To Do With Myself	Gary Puckett
Groove Me	King Floyd
Fifteen Years Ago	Conway Twitty
Big Leg Woman (With A Short Short Mini Skirt)	Israel "Popper Stopper" Tolbert
Get Into Something	The Isley Brothers
Stand By Me	David & Jimmy Ruffin
Where Did All The Good Times Go	Dennis Yost And The Classics IV
Run, Woman, Run	Tammy Wynette
Thank God And Greyhound	Roy Clark
Losers Weepers - Part I	Etta James
Stoney End	Barbra Streisand
That's The Way I Want Our Love	Joe Simon
Amos Moses	Jerry Reed
Chains And Things	B.B. King
Spirit In The Sky	Dorothy Morrison
One Light Two Lights	The Satisfactions
