Circles	Post Malone
Someone You Loved	Lewis Capaldi
Good As Hell	Lizzo
Memories	Maroon 5
Roxanne	Arizona Zervas
Lose You To Love Me	Selena Gomez
Senorita	Shawn Mendes & Camila Cabello
10,000 Hours	Dan + Shay & Justin Bieber
Truth Hurts	Lizzo
No Guidance	Chris Brown Featuring Drake
Dance Monkey	Tones And I
BOP	DaBaby
Panini	Lil Nas X
Bad Guy	Billie Eilish
HIGHEST IN THE ROOM	Travis Scott
Ballin'	Mustard & Roddy Ricch
Trampoline	SHAED
All I Want For Christmas Is You	Mariah Carey
Lover	Taylor Swift
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Hot	Young Thug Featuring Gunna
One Man Band	Old Dominion
Woah	Lil Baby
Only Human	Jonas Brothers
Ran$om	Lil Tecca
Everything I Wanted	Billie Eilish
Beautiful People	Ed Sheeran Featuring Khalid
Even Though I'm Leaving	Luke Combs
Rockin' Around The Christmas Tree	Brenda Lee
Bandit	Juice WRLD & YoungBoy Never Broke Again
On Chill	Wale Featuring Jeremih
Heartless	The Weeknd
Vete	Bad Bunny
Graveyard	Halsey
I Don't Care	Ed Sheeran & Justin Bieber
Talk	Khalid
Don't Start Now	Dua Lipa
Heat	Chris Brown Featuring Gunna
Baby	Lil Baby & DaBaby
How Do You Sleep?	Sam Smith
Goodbyes	Post Malone Featuring Young Thug
Falling	Trevor Daniel
Playing Games	Summer Walker
Suge	DaBaby
Hot Girl Bummer	blackbear
Last Christmas	Wham!
Jingle Bell Rock	Bobby Helms
A Holly Jolly Christmas	Burl Ives
It's The Most Wonderful Time Of The Year	Andy Williams
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Juicy	Doja Cat & Tyga
One Thing Right	Marshmello & Kane Brown
The Bones	Maren Morris
Time	NF
Into The Unknown	Idina Menzel & AURORA
Heart On Ice	Rod Wave
223's	YNW Melly & 9lokknine
Who Needs Love	Trippie Redd
Death	Trippie Redd Featuring DaBaby
6 Kiss	Trippie Redd Featuring Juice WRLD & YNW Melly
What If I Never Get Over You	Lady Antebellum
Remember You Young	Thomas Rhett
Loyal	PARTYNEXTDOOR Featuring Drake
Suicidal	YNW Melly & Juice WRLD
Camelot	NLE Choppa
VIBEZ	DaBaby
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
We Were	Keith Urban
Prayed For You	Matt Stell
Kinfolks	Sam Hunt
Enemies	Post Malone Featuring DaBaby
Ridin' Roads	Dustin Lynch
Hate Me	Ellie Goulding & Juice WRLD
Heartache Medication	Jon Pardi
Baby Sitter	DaBaby Featuring Offset
All The Good Girls Go To Hell	Billie Eilish
Watermelon Sugar	Harry Styles
We Back	Jason Aldean
Follow God	Kanye West
Jerry Sprunger	Tory Lanez & T-Pain
Love Me More	Trippie Redd
Nice To Meet Ya	Niall Horan
Lalala	Y2K & bbno$
Hate Me	Trippie Redd Featuring YoungBoy Never Broke Again
Reply	A Boogie Wit da Hoodie Featuring Lil Uzi Vert
Tip Of My Tongue	Kenny Chesney
Candy	Doja Cat
Slow Dancing In The Dark	Joji
None Of Your Concern	Jhene Aiko Featuring Big Sean
Yellow Hearts	Ant Saunders
Make No Sense	YoungBoy Never Broke Again
Good Vibes	Chris Janson
La Cancion	J Balvin & Bad Bunny
Easy	DaniLeigh Featuring Chris Brown
Cuban Links	Rod Wave & Kevin Gates
Hot Girl Summer	Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
Lonely Child	YoungBoy Never Broke Again
Into The Unknown	Panic! At The Disco
Show Yourself	Idina Menzel & Evan Rachel Wood
Homesick	Kane Brown
