Jump	Kris Kross
My Lovin' (You're Never Gonna Get It)	En Vogue
Under The Bridge	Red Hot Chili Peppers
Live And Learn	Joe Public
Bohemian Rhapsody	Queen
Tears In Heaven	Eric Clapton
Save The Best For Last	Vanessa Williams
Ain't 2 Proud 2 Beg	TLC
Everything About You	Ugly Kid Joe
In The Closet	Michael Jackson
One	U2
Baby Got Back	Sir Mix-A-Lot
Thought I'd Died And Gone To Heaven	Bryan Adams
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Make It Happen	Mariah Carey
Hazard	Richard Marx
Let's Get Rocked	Def Leppard
If You Asked Me To	Celine Dion
Hold On My Heart	Genesis
Tennessee	Arrested Development
Will You Marry Me?	Paula Abdul
Just Take My Heart	Mr. Big
I'm The One You Need	Jody Watley
Achy Breaky Heart	Billy Ray Cyrus
Money Don't Matter 2 Night	Prince And The N.P.G.
Nu Nu	Lidell Townsell
Masterpiece	Atlantic Starr
Everything Changes	Kathy Troccoli
I Will Remember You	Amy Grant
You Won't See Me Cry	Wilson Phillips
Silent Prayer	Shanice
Come & Talk To Me	Jodeci
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Do It To Me	Lionel Richie
Lift Me Up	Howard Jones
Take Time	Chris Walker
Slow Motion	Color Me Badd
Beauty And The Beast	Celine Dion And Peabo Bryson
Not The Only One	Bonnie Raitt
Just Another Day	Jon Secada
I Can't Dance	Genesis
Smells Like Nirvana	"Weird Al" Yankovic
To Be With You	Mr. Big
T.L.C.	Linear
Remember The Time	Michael Jackson
You Think You Know Her	Cause And Effect
Human Touch/Better Days	Bruce Springsteen
Good For Me	Amy Grant
High	The Cure
Why Me Baby?	Keith Sweat
Come As You Are	Nirvana
We Got A Love Thang	CeCe Peniston
Love Me	Tracie Spencer
Your Song	Rod Stewart
3-2-1 Pump	Redhead Kingpin & The F.B.I.
All Woman	Lisa Stansfield
The Choice Is Yours	Black Sheep
Nothing Else Matters	Metallica
Don't Be Afraid	Aaron Hall
Please Don't Go	Boyz II Men
Life Is A Highway	Tom Cochrane
Thinkin' Back	Color Me Badd
They Want EFX	Das EFX
What Goes Around Comes Around	Giggles
Anything At All	Mitch Malloy
Innocent Child	Colourhaus
Helluva	Brotherhood Creed
Love You All My Lifetime	Chaka Khan
If You Want It	2nd II None
Maria	TKA
This Is The Last Time	Laura Enea
Closer To Me	The Outfield
Everything's Gonna Be Alright	Naughty By Nature
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Never Satisfied	Good 2 Go
Boom! I Got Your Boyfriend	MC Luscious
Missing You Now	Michael Bolton
Don't Talk Just Kiss	Right Said Fred
Justified And Ancient	The KLF Featuring Tammy Wynette
I Wanna Rock	Luke
Fall In Love Again	Eddie Money
Mama, I'm Coming Home	Ozzy Osbourne
She's Got That Vibe	R. Kelly & Public Announcement
You Showed Me	Salt-N-Pepa
Goodbye	Tevin Campbell
This Is The Way We Roll	M.C. Hammer
Why	Annie Lennox
Take My Advice	Kym Sims
Sometimes I Rhyme Slow	Nice & Smooth
James Brown Is Dead	L.A. Style
Can't Cry Hard Enough	The Williams Brothers
White Men Can't Jump	Riff
Just For Tonight	Vanessa Williams
Set Me Free	Clubland Featuring Zemya Hamilton
What You Give	Tesla
It's Over Now	L.A. Guns
Keep On Walkin'	CeCe Peniston
Honey Love	R. Kelly & Public Announcement
Victim Of The Ghetto	The College Boyz
Losing You	Mocca Soul
