My Love	Petula Clark
Lightnin' Strikes	Lou Christie
Uptight (Everything's Alright)	Stevie Wonder
Barbara Ann	The Beach Boys
We Can Work It Out	The Beatles
No Matter What Shape (Your Stomach's In)	The T-Bones
Crying Time	Ray Charles
My World Is Empty Without You	The Supremes
Five O'Clock World	The Vogues
Don't Mess With Bill	The Marvelettes
Going To A Go-Go	The Miracles
Zorba The Greek	Herb Alpert & The Tijuana Brass
A Well Respected Man	The Kinks
Just Like Me	Paul Revere & The Raiders Featuring Mark Lindsay
These Boots Are Made For Walkin'	Nancy Sinatra
Jenny Take A Ride!	Mitch Ryder And The Detroit Wheels
The Men In My Little Girl's Life	Mike Douglas
Michelle	David & Jonathan
She's Just My Style	Gary Lewis And The Playboys
A Must To Avoid	Herman's Hermits
The Duck	Jackie Lee
Working My Way Back To You	The 4 Seasons Featuring the "Sound of Frankie Valli"
California Dreamin'	The Mamas & The Papas
Lies	The Knickerbockers
The Sound Of Silence	Simon & Garfunkel
As Tears Go By	The Rolling Stones
Like A Baby	Len Barry
What Now My Love	Sonny & Cher
When Liking Turns To Loving	Ronnie Dove
A Hard Day's Night	Ramsey Lewis Trio
Call Me	Chris Montez
Elusive Butterfly	Bob Lind
I Fought The Law	Bobby Fuller Four
I See The Light	The Five Americans
Night Time	The Strangeloves
Day Tripper	The Beatles
Breakin' Up Is Breakin' My Heart	Roy Orbison
Spanish Eyes	Al Martino
(You're Gonna) Hurt Yourself	Frankie Valli
Tijuana Taxi	Herb Alpert & The Tijuana Brass
You Didn't Have To Be So Nice	The Lovin' Spoonful
Sandy	Ronny And The Daytonas
At The Scene	The Dave Clark Five
It Was A Very Good Year	Frank Sinatra
Attack	The Toys
My Baby Loves Me	Martha & The Vandellas
Tell Me Why	Elvis Presley With The Jordanaires
Andrea	The Sunrays
Get Out Of My Life, Woman	Lee Dorsey
Cleo's Mood	Jr. Walker & The All Stars
The Ballad Of The Green Berets	SSgt Barry Sadler
The Cheater	Bob Kuban And The In-Men
You Baby	The Turtles
Baby Scratch My Back	Slim Harpo
Long Live Our Love	The Shangri-Las
Love Makes The World Go Round	Deon Jackson
Bye Bye Blues	Bert Kaempfert And His Orchestra
Love Is All We Need	Mel Carter
Are You There (With Another Girl)	Dionne Warwick
Second Hand Rose	Barbra Streisand
Michael	The C.O.D.'s
I'm Too Far Gone (To Turn Around)	Bobby Bland
Recovery	Fontella Bass
Spread It On Thick	The Gentrys
The Rains Came	Sir Douglas Quintet
Snow Flake	Jim Reeves
A Little Bit Of Soap	The Exciters
Michelle	Bud Shank
Batman Theme	The Marketts
I Ain't Gonna Eat Out My Heart Anymore	The Young Rascals
My Ship Is Comin' In	The Walker Bros.
Hide & Seek	The Sheep
This Can't Be True	Eddie Holman
My Generation	The Who
Georgia On My Mind	The Righteous Brothers
We Know We're In Love	Lesley Gore
Waitin' In Your Welfare Line	Buck Owens
Take Me For What I'm Worth	The Searchers
Something I Want To Tell You	Johnny and The Expressions
The Loop	Johnny Lytle
634-5789 (Soulsville, U.S.A.)	Wilson Pickett
Michelle	Billy Vaughn And His Orchestra
Woman	Peter And Gordon
Homeward Bound	Simon & Garfunkel
In My Room (El Amor)	Verdelle Smith
Batman Theme	Neal Hefti
It Won't Be Wrong	The Byrds
Somewhere There's A Someone	Dean Martin
Set You Free This Time	The Byrds
Since I Lost The One I Love	The Impressions
Don't Forget About Me	Barbara Lewis
Dear Lover	Mary Wells
Red Hot	Sam The Sham and the Pharaohs
Lost Someone	James Brown And The Famous Flames
Batman	Jan & Dean
I Want To Go With You	Eddy Arnold
The Answer To My Prayer	Neil Sedaka
Up And Down	The McCoys
Is It Me?	Barbara Mason
We Got The Winning Hand	Little Milton
