Hello	Adele
Hotline Bling	Drake
Sorry	Justin Bieber
The Hills	The Weeknd
Stitches	Shawn Mendes
What Do You Mean?	Justin Bieber
679	Fetty Wap Featuring Remy Boyz
Wildest Dreams	Taylor Swift
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Ex's & Oh's	Elle King
Here	Alessia Cara
Can't Feel My Face	The Weeknd
Focus	Ariana Grande
Same Old Love	Selena Gomez
On My Mind	Ellie Goulding
Jumpman	Drake & Future
Locked Away	R. City Featuring Adam Levine
Watch Me	Silento
Lean On	Major Lazer & DJ Snake Featuring MO
Tennessee Whiskey	Chris Stapleton
Renegades	X Ambassadors
Trap Queen	Fetty Wap
Hit The Quan	iLoveMemphis
Antidote	Travis Scott
Die A Happy Man	Thomas Rhett
Good For You	Selena Gomez Featuring A$AP Rocky
I'll Show You	Justin Bieber
White Iverson	Post Malone
Drag Me Down	One Direction
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Where Ya At	Future Featuring Drake
Confident	Demi Lovato
See You Again	Wiz Khalifa Featuring Charlie Puth
Cheerleader	OMI
My Way	Fetty Wap Featuring Monty
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Photograph	Ed Sheeran
How Deep Is Your Love	Calvin Harris & Disciples
Shut Up And Dance	WALK THE MOON
Perfect	One Direction
Again	Fetty Wap
Don't	Bryson Tiller
Break Up In A Small Town	Sam Hunt
I'm Comin' Over	Chris Young
Thinking Out Loud	Ed Sheeran
Smoke Break	Carrie Underwood
Fight Song	Rachel Platten
Lay It All On Me	Rudimental Featuring Ed Sheeran
Where Are U Now	Skrillex & Diplo With Justin Bieber
No Role Modelz	J. Cole
Burning House	Cam
Strip It Down	Luke Bryan
Break Up With Him	Old Dominion
Back Up	DeJ Loaf Featuring Big Sean
Adventure Of A Lifetime	Coldplay
Back To Back	Drake
Say It	Tory Lanez
Come Get Her	Rae Sremmurd
Gonna	Blake Shelton
Let Me See Ya Girl	Cole Swindell
Do It Like Me	DLOW
Nothin' Like You	Dan + Shay
Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd
Roses	The Chainsmokers Featuring Rozes
History	One Direction
The Fix	Nelly Featuring Jeremih
Love Myself	Hailee Steinfeld
Liquor	Chris Brown
Stressed Out	twenty one pilots
Big Rings	Drake & Future
Hide Away	Daya
Stay A Little Longer	Brothers Osborne
Writing's On The Wall	Sam Smith
Gonna Know We Were Here	Jason Aldean
Alive	Sia
Exchange	Bryson Tiller
I Got The Boy	Jana Kramer
Right Hand	Drake
Anything Goes	Florida Georgia Line
Top Of The World	Tim McGraw
Cool For The Summer	Demi Lovato
Comfortable	K Camp
Save It For A Rainy Day	Kenny Chesney
RGF Island	Fetty Wap
Diamonds Dancing	Drake & Future
Cake By The Ocean	DNCE
Traveller	Chris Stapleton
Halo	Jordan Smith
Me, Myself & I	G-Eazy x Bebe Rexha
I Love This Life	LOCASH
WTF (Where They From)	Missy Elliott Featuring Pharrell Williams
Dibs	Kelsea Ballerini
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Stand By You	Rachel Platten
Hold My Hand	Jess Glynne
My House	Flo Rida
Ginza	J Balvin
Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign
Levels	Nick Jonas
Beautiful Drug	Zac Brown Band
