One More Night	Maroon 5
Gangnam Style	PSY
Live While We're Young	One Direction
Some Nights	fun.
We Are Never Ever Getting Back Together	Taylor Swift
Red	Taylor Swift
As Long As You Love Me	Justin Bieber Featuring Big Sean
Skyfall	Adele
Blow Me (One Last Kiss)	P!nk
Too Close	Alex Clare
Good Time	Owl City & Carly Rae Jepsen
Whistle	Flo Rida
Everybody Talks	Neon Trees
Die Young	Ke$ha
Lights	Ellie Goulding
Don't Wake Me Up	Chris Brown
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Diamonds	Rihanna
Clique	Kanye West, Jay-Z, Big Sean
Call Me Maybe	Carly Rae Jepsen
Wide Awake	Katy Perry
Somebody That I Used To Know	Gotye Featuring Kimbra
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Blown Away	Carrie Underwood
Home	Phillip Phillips
Pound The Alarm	Nicki Minaj
Adorn	Miguel
50 Ways To Say Goodbye	Train
Payphone	Maroon 5 Featuring Wiz Khalifa
Give Your Heart A Break	Demi Lovato
Wanted	Hunter Hayes
I Will Wait	Mumford & Sons
Titanium	David Guetta Featuring Sia
Locked Out Of Heaven	Bruno Mars
I Won't Give Up	Jason Mraz
Finally Found You	Enrique Iglesias Featuring Sammy Adams
No Lie	2 Chainz Featuring Drake
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Take A Little Ride	Jason Aldean
Ho Hey	The Lumineers
It's Time	Imagine Dragons
Where Have You Been	Rihanna
Cruise	Florida Georgia Line Featuring Nelly
What Makes You Beautiful	One Direction
The A Team	Ed Sheeran
Cowboys And Angels	Dustin Lynch
Kiss Tomorrow Goodbye	Luke Bryan
Girl On Fire	Alicia Keys Featuring Nicki Minaj
We Are Young	fun. Featuring Janelle Monae
2 Reasons	Trey Songz Featuring T.I.
Hard To Love	Lee Brice
Begin Again	Taylor Swift
Thinkin Bout You	Frank Ocean
Want U Back	Cher Lloyd
Turn On The Lights	Future
Birthday Song	2 Chainz Featuring Kanye West
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Feel Again	OneRepublic
The One That Got Away	Jake Owen
Pontoon	Little Big Town
Your Body	Christina Aguilera
Lovin' You Is Fun	Easton Corbin
Madness	Muse
Come Wake Me Up	Rascal Flatts
Babel	Mumford & Sons
Truck Yeah	Tim McGraw
Fastest Girl In Town	Miranda Lambert
I Cry	Flo Rida
Hello	Karmin
Swimming Pools (Drank)	Kendrick Lamar
Put It Down	Brandy Featuring Chris Brown
Southern Comfort Zone	Brad Paisley
Just What I Am	Kid Cudi Featuring King Chip
She's So Mean	matchbox twenty
Creepin'	Eric Church
Beer Money	Kip Moore
Every Storm (Runs Out Of Rain)	Gary Allan
Lemme See	Usher Featuring Rick Ross
Numb	Usher
Whispers In The Dark	Mumford & Sons
No Worries	Lil Wayne Featuring Detail
Dance For You	Beyonce
Holland Road	Mumford & Sons
Amen	Meek Mill Featuring Drake
Dive In	Trey Songz
Til My Last Day	Justin Moore
Ghosts That We Knew	Mumford & Sons
Did It For The Girl	Greg Bates
Don't You Worry Child	Swedish House Mafia Featuring John Martin
The Scientist	Glee Cast
Shinin' On Me	Jerrod Niemann
Over	Blake Shelton
Lover's Eyes	Mumford & Sons
Take A Walk	Passion Pit
Hall Of Fame	The Script Featuring will.i.am
Lover Of The Light	Mumford & Sons
Radioactive	Imagine Dragons
My Moment	DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
How Country Feels	Randy Houser
