Lady	Kenny Rogers
More Than I Can Say	Leo Sayer
Another One Bites The Dust	Queen
Woman In Love	Barbra Streisand
Master Blaster (Jammin')	Stevie Wonder
(Just Like) Starting Over	John Lennon
Love On The Rocks	Neil Diamond
Hungry Heart	Bruce Springsteen
I'm Coming Out	Diana Ross
Dreaming	Cliff Richard
Hit Me With Your Best Shot	Pat Benatar
You've Lost That Lovin' Feeling	Daryl Hall John Oates
The Wanderer	Donna Summer
Guilty	Barbra Streisand & Barry Gibb
Never Be The Same	Christopher Cross
Every Woman In The World	Air Supply
Whip It	Devo
Tell It Like It Is	Heart
De Do Do Do, De Da Da Da	The Police
Without Your Love	Roger Daltrey
Everybody's Got To Learn Sometime	The Korgis
Deep Inside My Heart	Randy Meisner
It's My Turn	Diana Ross
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
Sequel	Harry Chapin
He's So Shy	The Pointer Sisters
This Time	John Cougar
Celebration	Kool & The Gang
I Believe In You	Don Williams
Suddenly	Olivia Newton-John & Cliff Richard
Passion	Rod Stewart
The Tide Is High	Blondie
Never Knew Love Like This Before	Stephanie Mills
One Step Closer	The Doobie Brothers
Lovely One	The Jacksons
Girls Can Get It	Dr. Hook
Let Me Be Your Angel	Stacy Lattisaw
Time Is Time	Andy Gibb
I Made It Through The Rain	Barry Manilow
I Love A Rainy Night	Eddie Rabbitt
Upside Down	Diana Ross
Together	Tierra
On The Road Again	Willie Nelson
Switchin' To Glide/This Beat Goes On	The Kings
Hey Nineteen	Steely Dan
The Horizontal Bop	Bob Seger
Turning Japanese	The Vapors
Stop This Game	Cheap Trick
One-Trick Pony	Paul Simon
Help Me!	Marcy Levy & Robin Gibb
Turn And Walk Away	The Babys
Could I Be Dreaming	The Pointer Sisters
Out Here On My Own	Irene Cara
I'm Happy That Love Has Found You	Jimmy Hall
You Shook Me All Night Long	AC/DC
Dreamer	Supertramp
Gotta Have More Love	Climax Blues Band
You	Earth, Wind & Fire
Shine On	L.T.D.
9 To 5	Dolly Parton
The Winner Takes It All	ABBA
He Can't Love You	Michael Stanley Band
She's So Cold	The Rolling Stones
Teacher Teacher	Rockpile
My Mother's Eyes	Bette Midler
Need Your Loving Tonight	Queen
Killin' Time	Fred Knoblock & Susan Anton
Morning Man	Rupert Holmes
Texas In My Rear View Mirror	Mac Davis
Easy Love	Dionne Warwick
I Need Your Lovin'	Teena Marie
Cold Love	Donna Summer
If You Should Sail	Nielsen/Pearson
Trickle Trickle	The Manhattan Transfer
Smoky Mountain Rain	Ronnie Milsap
Love T.K.O.	Teddy Pendergrass
Miss Sun	Boz Scaggs
Real Love	The Doobie Brothers
Keep On Loving You	REO Speedwagon
Jesse	Carly Simon
I Can't Stop The Feelin'	Pure Prairie League
Look What You've Done To Me	Boz Scaggs
Games People Play	The Alan Parsons Project
Heartbreak Hotel	The Jacksons
All Out Of Love	Air Supply
That Girl Could Sing	Jackson Browne
Fashion	David Bowie
Brite Eyes	Robbin Thompson Band
Remote Control	The Reddings
Giving It Up For Your Love	Delbert McClinton
Rough Boys	Pete Townshend
Sometimes A Fantasy	Billy Joel
I'm Alright	Kenny Loggins
Could I Have This Dance	Anne Murray
Drivin' My Life Away	Eddie Rabbitt
Gypsy Spirit	Pendulum
Give Me The Night	George Benson
Blues Power	Eric Clapton And His Band
Fame	Irene Cara
I Could Be Good For You	707
