La Bamba	Los Lobos
I Just Can't Stop Loving You	Michael Jackson With Siedah Garrett
Who's That Girl	Madonna
Only In My Dreams	Debbie Gibson
Didn't We Almost Have It All	Whitney Houston
Don't Mean Nothing	Richard Marx
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Here I Go Again	Whitesnake
Rock Steady	The Whispers
Doing It All For My Baby	Huey Lewis & The News
When Smokey Sings	ABC
Love Power	Dionne Warwick & Jeffrey Osborne
Luka	Suzanne Vega
It's Not Over ('til It's Over)	Starship
Touch Of Grey	Grateful Dead
Wipeout	Fat Boys & The Beach Boys
I Heard A Rumour (From "Disorderlies")	Bananarama
I Need Love	LL Cool J
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Who Found Who	Jellybean Featuring Elisa Fiorillo
Lost In Emotion	Lisa Lisa And Cult Jam
Carrie	Europe
Mary's Prayer	Danny Wilson
One Heartbeat	Smokey Robinson
I Still Haven't Found What I'm Looking For	U2
Living In A Box	Living In A Box
Lies	Jonathan Butler
Heart And Soul	T'Pau
U Got The Look	Prince
Jump Start	Natalie Cole
Who Will You Run To	Heart
Paper In Fire	John Mellencamp
Give To Live	Sammy Hagar
Casanova	Levert
Making Love In The Rain	Herb Alpert
Let Me Be The One	Expose
Back In The High Life Again	Steve Winwood
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
Never Let Me Down	David Bowie
Fake	Alexander O'Neal
Back To Paradise (From "Revenge Of The Nerds II")	Thirty Eight Special
Be There (From "Beverly Hills Cop II")	The Pointer Sisters
Jam Tonight	Freddie Jackson
Victim Of Love	Bryan Adams
Something Real (Inside Me/Inside You)	Mr. Mister
Shakedown (From "Beverly Hills Cop II")	Bob Seger
Little Lies	Fleetwood Mac
In My Dreams	REO Speedwagon
You Are The Girl	The Cars
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Misfit	Curiosity Killed The Cat
Don't Look Down - The Sequel	Go West
Alone	Heart
Oh Yeah	Yello
Breakout	Swing Out Sister
The Pleasure Principle	Janet Jackson
Dreamin'	Will To Power
Since You've Been Gone	The Outfield
Holiday	The Other Ones
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
One Lover At A Time	Atlantic Starr
Dinner With Gershwin	Donna Summer
I Think We're Alone Now	Tiffany
Notorious	Loverboy
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
Johnny B	Hooters
Wot's It To Ya	Robbie Nevil
Seven Wonders	Fleetwood Mac
I'd Still Say Yes	Klymaxx
It's A Sin	Pet Shop Boys
World Where You Live	Crowded House
Mony Mony	Billy Idol
Something So Strong	Crowded House
Silent Morning	Noel
I've Been In Love Before	Cutting Crew
I Don't Think That Man Should Sleep Alone	Ray Parker Jr.
Rock Me	Great White
Heartache	Pepsi & Shirlie
No One In The World	Anita Baker
Women	Def Leppard
Let's Dance	Chris Rea
Painted Moon	The Silencers
These Times Are Hard For Lovers	John Waite
Happy Together	The Nylons
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
Watching Over You	Glenn Medeiros
I Won't Forget You	Poison
He's My Girl	David Hallyday
Love Is A House	Force M.D.'s
Shattered Glass	Laura Branigan
That's What Love Is All About	Michael Bolton
Betcha Say That	Gloria Estefan & Miami Sound Machine
Show Me The Way	Regina Belle
Why Can't I Be You?	The Cure
Girls, Girls, Girls	Motley Crue
Hearts On Fire	Bryan Adams
Say You Really Want Me	Kim Wilde
Kiss Him Goodbye	The Nylons
Kiss And Tell	The Breakfast Club
Tina Cherry	Georgio
