Jump	Kris Kross
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
Bohemian Rhapsody	Queen
My Lovin' (You're Never Gonna Get It)	En Vogue
Ain't 2 Proud 2 Beg	TLC
Make It Happen	Mariah Carey
Live And Learn	Joe Public
Everything About You	Ugly Kid Joe
Hazard	Richard Marx
Masterpiece	Atlantic Starr
Under The Bridge	Red Hot Chili Peppers
One	U2
Beauty And The Beast	Celine Dion And Peabo Bryson
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Everything Changes	Kathy Troccoli
Thought I'd Died And Gone To Heaven	Bryan Adams
Let's Get Rocked	Def Leppard
I Can't Dance	Genesis
Human Touch/Better Days	Bruce Springsteen
Will You Marry Me?	Paula Abdul
I'm The One You Need	Jody Watley
Remember The Time	Michael Jackson
We Got A Love Thang	CeCe Peniston
I'm Too Sexy	Right Said Fred
In The Closet	Michael Jackson
To Be With You	Mr. Big
Money Don't Matter 2 Night	Prince And The N.P.G.
Good For Me	Amy Grant
Take Time	Chris Walker
Baby Got Back	Sir Mix-A-Lot
Come As You Are	Nirvana
Nu Nu	Lidell Townsell
Nothing Else Matters	Metallica
Thinkin' Back	Color Me Badd
I Love Your Smile	Shanice
Damn I Wish I Was Your Lover	Sophie B. Hawkins
Justified And Ancient	The KLF Featuring Tammy Wynette
Tennessee	Arrested Development
Mama, I'm Coming Home	Ozzy Osbourne
Just Take My Heart	Mr. Big
High	The Cure
All 4 Love	Color Me Badd
Missing You Now	Michael Bolton
Smells Like Nirvana	"Weird Al" Yankovic
You Think You Know Her	Cause And Effect
Don't Be Afraid	Aaron Hall
Come & Talk To Me	Jodeci
Please Don't Go	Boyz II Men
Finally	CeCe Peniston
What Goes Around Comes Around	Giggles
3-2-1 Pump	Redhead Kingpin & The F.B.I.
If You Asked Me To	Celine Dion
Oochie Coochie	M.C. Brains
Everything's Gonna Be Alright	Naughty By Nature
Love Me	Tracie Spencer
All Woman	Lisa Stansfield
The Choice Is Yours	Black Sheep
Lift Me Up	Howard Jones
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
Not The Only One	Bonnie Raitt
It's Over Now	L.A. Guns
She's Got That Vibe	R. Kelly & Public Announcement
Why Me Baby?	Keith Sweat
If You Go Away	NKOTB
I Will Remember You	Amy Grant
Too Much Passion	The Smithereens
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Can't Cry Hard Enough	The Williams Brothers
You Showed Me	Salt-N-Pepa
Just Another Day	Jon Secada
Silent Prayer	Shanice
I Wanna Rock	Luke
If You Want It	2nd II None
I'll Get By	Eddie Money
Boom! I Got Your Boyfriend	MC Luscious
Church Of Your Heart	Roxette
This Is The Last Time	Laura Enea
Hold On My Heart	Genesis
It's Not A Love Thing	Geoffrey Williams
Don't Talk Just Kiss	Right Said Fred
Helluva	Brotherhood Creed
Until Your Love Comes Back Around	RTZ
Love You All My Lifetime	Chaka Khan
Maria	TKA
What You Give	Tesla
Your Song	Rod Stewart
What Becomes Of The Brokenhearted	Paul Young
Stay	Jodeci
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Goodbye	Tevin Campbell
James Brown Is Dead	L.A. Style
White Men Can't Jump	Riff
Anything At All	Mitch Malloy
Do It To Me	Lionel Richie
No Sunshine	Kid Frost
Do Not Pass Me By	M.C. Hammer
The Life Of Riley	Lightning Seeds
Right Now	Van Halen
Innocent Child	Colourhaus
