The Box	Roddy Ricch
Yummy	Justin Bieber
Circles	Post Malone
Memories	Maroon 5
10,000 Hours	Dan + Shay & Justin Bieber
Someone You Loved	Lewis Capaldi
Dance Monkey	Tones And I
Good As Hell	Lizzo
Roxanne	Arizona Zervas
Lose You To Love Me	Selena Gomez
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
HIGHEST IN THE ROOM	Travis Scott
Don't Start Now	Dua Lipa
No Guidance	Chris Brown Featuring Drake
Trampoline	SHAED
Heartless	The Weeknd
Senorita	Shawn Mendes & Camila Cabello
Everything I Wanted	Billie Eilish
Truth Hurts	Lizzo
Hot	Young Thug Featuring Gunna
Woah	Lil Baby
Panini	Lil Nas X
Adore You	Harry Styles
Only Human	Jonas Brothers
The Bones	Maren Morris
One Man Band	Old Dominion
Bandit	Juice WRLD & YoungBoy Never Broke Again
Hot Girl Bummer	blackbear
Futsal Shuffle 2020	Lil Uzi Vert
Even Though I'm Leaving	Luke Combs
I Don't Care	Ed Sheeran & Justin Bieber
Bad Guy	Billie Eilish
Sucker	Jonas Brothers
High Fashion	Roddy Ricch Featuring Mustard
Lover	Taylor Swift
On Chill	Wale Featuring Jeremih
Falling	Trevor Daniel
Blinding Lights	The Weeknd
What If I Never Get Over You	Lady Antebellum
Suicidal	YNW Melly & Juice WRLD
Talk	Khalid
Graveyard	Halsey
My Oh My	Camila Cabello Featuring DaBaby
Beautiful People	Ed Sheeran Featuring Khalid
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Ridin' Roads	Dustin Lynch
Juicy	Doja Cat & Tyga
Playing Games	Summer Walker
Suge	DaBaby
Heartache Medication	Jon Pardi
Out West	JACKBOYS Featuring Young Thug
VIBEZ	DaBaby
Kinfolks	Sam Hunt
Heat	Chris Brown Featuring Gunna
Start Wit Me	Roddy Ricch & Gunna
Into The Unknown	Idina Menzel & AURORA
No Idea	Don Toliver
Heart On Ice	Rod Wave
U Played	MoneyBagg Yo Featuring Lil Baby
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
Homesick	Kane Brown
Remember You Young	Thomas Rhett
I Hope	Gabby Barrett Featuring Charlie Puth
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Slide	H.E.R. Featuring YG
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
BEST ON EARTH	Russ & BIA
SUGAR	BrockHampton
GANG GANG	JACKBOYS & Sheck Wes
Camelot	NLE Choppa
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
We Back	Jason Aldean
What She Wants Tonight	Luke Bryan
HAD ENOUGH	Don Toliver Featuring Quavo & Offset
Nice To Meet Ya	Niall Horan
Make Me Want To	Jimmie Allen
Tip Toe	Roddy Ricch Featuring A Boogie Wit da Hoodie
Easy	DaniLeigh Featuring Chris Brown
Watermelon Sugar	Harry Styles
More Hearts Than Mine	Ingrid Andress
I Wish Grandpas Never Died	Riley Green
homecoming queen?	Kelsea Ballerini
223's	YNW Melly & 9lokknine
Peta	Roddy Ricch Featuring Meek Mill
Tusa	Karol G & Nicki Minaj
Jerry Sprunger	Tory Lanez & T-Pain
Enemies	Post Malone Featuring DaBaby
All I Want	Olivia Rodrigo
July	Noah Cyrus & Leon Bridges
Vete	Bad Bunny
I Hope You're Happy Now	Carly Pearce & Lee Brice
20/20	Lil Tjay
Say So	Doja Cat Featuring Nicki Minaj
Make No Sense	YoungBoy Never Broke Again
Slow Dance In A Parking Lot	Jordan Davis
ORANGE SODA	Baby Keem
All Dat	Moneybagg Yo X Megan Thee Stallion
WHAT TO DO?	JACKBOYS Featuring Don Toliver
