Rapstar	Polo G
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Montero (Call Me By Your Name)	Lil Nas X
Levitating	Dua Lipa Featuring DaBaby
Save Your Tears	The Weeknd & Ariana Grande
Astronaut In The Ocean	Masked Wolf
Kiss Me More	Doja Cat Featuring SZA
Up	Cardi B
Drivers License	Olivia Rodrigo
Deja Vu	Olivia Rodrigo
Solid	Young Thug & Gunna Featuring Drake
Blinding Lights	The Weeknd
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Best Friend	Saweetie Featuring Doja Cat
Calling My Phone	Lil Tjay Featuring 6LACK
What You Know Bout Love	Pop Smoke
Ski	Young Thug & Gunna
Mood	24kGoldn Featuring iann dior
Heartbreak Anniversary	Giveon
The Good Ones	Gabby Barrett
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Back In Blood	Pooh Shiesty Featuring Lil Durk
Go Crazy	Chris Brown & Young Thug
You Broke Me First.	Tate McRae
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
My Ex's Best Friend	Machine Gun Kelly X blackbear
What's Next	Drake
Dakiti	Bad Bunny & Jhay Cortez
Therefore I Am	Billie Eilish
Without You	The Kid LAROI
On Me	Lil Baby
Positions	Ariana Grande
You're Mines Still	Yung Bleu Featuring Drake
Forever After All	Luke Combs
Wants And Needs	Drake Featuring Lil Baby
Track Star	Mooski
We're Good	Dua Lipa
Heat Waves	Glass Animals
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Hell Of A View	Eric Church
Made For You	Jake Owen
No More Parties	Coi Leray Featuring Lil Durk
Good Days	SZA
Starting Over	Chris Stapleton
Diamonds Dancing	Young Thug & Gunna Featuring Travis Scott
Goosebumps	Travis Scott & HVME
Tombstone	Rod Wave
Breaking Up Was Easy In The 90's	Sam Hunt
Somebody Like That	Tenille Arts
Streets	Doja Cat
What's Your Country Song	Thomas Rhett
Time Today	Moneybagg Yo
Telepatia	Kali Uchis
Cry Baby	Megan Thee Stallion Featuring DaBaby
Hold On	Justin Bieber
Street Runner	Rod Wave
Just The Way	Parmalee x Blanco Brown
Proud Of You	Young Thug Featuring Lil Uzi Vert & Yung Kayo
Willow	Taylor Swift
Damage	H.E.R.
Richer	Rod Wave Featuring Polo G
Glad You Exist	Dan + Shay
La Noche de Anoche	Bad Bunny & Rosalia
Settling Down	Miranda Lambert
Came And Saw	Young Thug Featuring Rowdy Rebel
Headshot	Lil Tjay, Polo G & Fivio Foreign
Anyone	Justin Bieber
Down To One	Luke Bryan
Lady	Brett Young
Quicksand	Morray
One Too Many	Keith Urban Duet With P!nk
Famous Friends	Chris Young + Kane Brown
Gone	Dierks Bentley
My Head And My Heart	Ava Max
Almost Maybes	Jordan Davis
Paid The Fine	Young Thug & Gunna Featuring Lil Baby & YTB Trench
The Business	Tiesto
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Masterpiece	DaBaby
pov	Ariana Grande
Long Live	Florida Georgia Line
Hellcats & Trackhawks	Lil Durk
Follow You	Imagine Dragons
Momma's House	Dustin Lynch
Nobody	Dylan Scott
Big Gangsta	Kevin Gates
Pick Up Your Feelings	Jazmine Sullivan
Lil Bit	Nelly & Florida Georgia Line
Mr. Perfectly Fine (Taylor's Version) (From The Vault)	Taylor Swift
Chasing After You	Ryan Hurd With Maren Morris
Wasted On You	Morgan Wallen
Run It Up	Lil Tjay Featuring Offset & Moneybagg Yo
Arcade	Duncan Laurence
You Got It	VEDO
Go!	Moneybagg Yo Featuring BIG30
Drankin N Smokin	Future & Lil Uzi Vert
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Slatty	Young Thug & Gunna Featuring Yak Gotti & Lil Duke
4 Da Gang	42 Dugg & Roddy Ricch
