Every Breath You Take	The Police
Sweet Dreams (Are Made Of This)	Eurythmics
She Works Hard For The Money	Donna Summer
Maniac	Michael Sembello
Stand Back	Stevie Nicks
It's A Mistake	Men At Work
Is There Something I Should Know	Duran Duran
(Keep Feeling) Fascination	The Human League
Puttin' On The Ritz	Taco
I'll Tumble 4 Ya	Culture Club
Hot Girls In Love	Loverboy
China Girl	David Bowie
Flashdance...What A Feeling	Irene Cara
Take Me To Heart	Quarterflash
Human Nature	Michael Jackson
Never Gonna Let You Go	Sergio Mendes
Lawyers In Love	Jackson Browne
The Safety Dance	Men Without Hats
Rock 'n' Roll Is King	Electric Light Orchestra
Electric Avenue	Eddy Grant
Rock Of Ages	Def Leppard
Tell Her About It	Billy Joel
Don't Cry	Asia
After The Fall	Journey
Saved By Zero	The Fixx
Human Touch	Rick Springfield
1999	Prince
How Am I Supposed To Live Without You	Laura Branigan
Promises, Promises	Naked Eyes
Total Eclipse Of The Heart	Bonnie Tyler
Dead Giveaway	Shalamar
Making Love Out Of Nothing At All	Air Supply
The Border	America
(she's) Sexy + 17	Stray Cats
Fake Friends	Joan Jett & the Blackhearts
Far From Over	Frank Stallone
All Time High	Rita Coolidge
Don't You Get So Mad	Jeffrey Osborne
Our House	Madness
Kiss The Bride	Elton John
Cuts Like A Knife	Bryan Adams
True	Spandau Ballet
You're Driving Me Out Of My Mind	Little River Band
Lady Love Me (One More Time)	George Benson
Tonight, I Celebrate My Love	Peabo Bryson/Roberta Flack
Wanna Be Startin' Somethin'	Michael Jackson
Come Dancing	The Kinks
Hold Me 'til The Mornin' Comes	Paul Anka
Blame It On Love	Smokey Robinson & Barbara Mitchell
Tell Her No	Juice Newton
Baby Jane	Rod Stewart
Tip Of My Tongue	The Tubes
It's Inevitable	Charlie
Burning Down The House	Talking Heads
Big Log	Robert Plant
Cold Blooded	Rick James
Sharp Dressed Man	ZZ Top
Pieces Of Ice	Diana Ross
Too Shy	Kajagoogoo
Juicy Fruit	Mtume
Midnight Blue	Louise Tucker
How Can I Refuse	Heart
High Time	Styx
Get It Right	Aretha Franklin
Words	F.R. David
Who's Behind The Door?	Zebra
Telefone (long Distance Love Affair)	Sheena Easton
Someone Belonging To Someone	Bee Gees
I Don't Wanna Dance	Eddy Grant
Rainbow's End	Sergio Mendes
Don't Forget To Dance	The Kinks
The Night	The Animals
Don't You Know How Much I Love You	Ronnie Milsap
Crazy	The Manhattans
How Do You Keep The Music Playing	James Ingram And Patti Austin
Change	Tears For Fears
West Coast Summer Nights	Tony Carey
Miracles	Stacy Lattisaw
I'm Still Standing	Elton John
Ship To Shore	Chris de Burgh
All This Love	Debarge
Everyday I Write The Book	Elvis Costello And The Attractions
Ewok Celebration	Meco
Holiday Road	Lindsey Buckingham
It Must Be Love	Madness
Stop In The Name Of Love	The Hollies
Maybe This Day	Kissing The Pink
Garden Party	Herb Alpert
Do It Again/Billie Jean	Club House
Bad Boys	Wham! U.K.
The Salt In My Tears	Martin Briley
Shiny Shiny	Haysi Fantayzee
Bad, Bad Billy	Snuff
Scarlet Fever	Kenny Rogers
Freak-A-Zoid	Midnight Star
Slipping Away	Dave Edmunds
Radio Free Europe	R.E.M.
You Belong To Me	The Doobie Brothers
War Games	Crosby, Stills & Nash
She's A Beauty	The Tubes
