Rush Rush	Paula Abdul
Unbelievable	EMF
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Power Of Love/Love Power	Luther Vandross
Right Here, Right Now	Jesus Jones
More Than Words	Extreme
Place In This World	Michael W. Smith
Gypsy Woman (She's Homeless)	Crystal Waters
Losing My Religion	R.E.M.
Here I Am (Come And Take Me)	UB40
How Can I Ease The Pain	Lisa Fischer
Playground	Another Bad Creation
Walking In Memphis	Marc Cohn
Piece Of My Heart	Tara Kemp
P.A.S.S.I.O.N.	Rhythm Syndicate
Lily Was Here	David A. Stewart Introducing Candy Dulfer
Never Gonna Let You Down	Surface
A Better Love	Londonbeat
The Dream Is Still Alive	Wilson Phillips
Summertime	D.J. Jazzy Jeff & The Fresh Prince
Strike It Up	Black Box
Every Heartbeat	Amy Grant
I'll Never Let You Go	Steelheart
Do You Want Me	Salt-N-Pepa
It Ain't Over 'til It's Over	Lenny Kravitz
Temptation	Corina
Love Is A Wonderful Thing	Michael Bolton
I'll Be There	The Escape Club
I Don't Wanna Cry	Mariah Carey
Fading Like A Flower (Every Time You Leave)	Roxette
(Everything I Do) I Do It For You	Bryan Adams
Wind Of Change	Scorpions
Love And Understanding	Cher
I Like The Way (The Kissing Game)	Hi-Five
Life Goes On	Poison
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
Nights Like This (From "The Five Heartbeats")	After 7
Couple Days Off	Huey Lewis & The News
Motownphilly	Boyz II Men
Mama Said Knock You Out	LL Cool J
Kissing You	Keith Washington
Exclusivity	Damian Dame
I Can't Wait Another Minute	Hi-Five
Elevate My Mind	Stereo MC's
My Body Says Yes	Titiyo
3 A.M. Eternal	The KLF
Higher Than Hope	Daryl Braithwaite
Can't Forget You	Gloria Estefan
See The Lights	Simple Minds
Crazy	Seal
Love Desire	Sandee
Don't Treat Me Bad	Firehouse
Hard To Handle	The Black Crowes
Ooh La La	David Hallyday
We Want The Funk	Gerardo
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Dirty Love	Thunder
Love At First Sight	Styx
Only Time Will Tell	Nelson
What A Price To Pay	Michael Damian
Can I Call You My Girl	PC Quest
Let The Beat Hit 'Em	Lisa Lisa And Cult Jam
Love On A Rooftop	Desmond Child
Part Of Me, Part Of You	Glenn Frey
Too Many Walls	Cathy Dennis
Now That We Found Love	Heavy D & The Boyz
Here We Go	C+C Music Factory/F. Williams
Rhythm Of My Heart	Rod Stewart
Silent Lucidity	Queensryche
Baby Baby	Amy Grant
Love Of A Lifetime	Firehouse
Touch Me (All Night Long)	Cathy Dennis
The Motown Song	Rod Stewart
Surrender	Trixter
Your Love	Keith Sweat
Can You Stop The Rain	Peabo Bryson
Learning To Fly	Tom Petty And The Heartbreakers
Someone	The Rembrandts
With You	Tony Terry
Forever Amo'r	D'zyre
Move Right Out	Rick Astley
Miracle	Whitney Houston
What Comes Naturally	Sheena Easton
Just Like You	Robbie Nevil
Going Through The Motions	Aftershock
Summer Vacation	The Party
Kisses In The Night	Brandon
Break Up To Make Up	Cynthia
Joyride	Roxette
Borrowed Love	Bingo Boys
Pump It (Nice An' Hard)	Icy Blu
Perfect World	Alias
Love Gets Rough	Troy Newman
I Touch Myself	Divinyls
Monster	Fred Schneider
Blind Faith	Warrant
Written All Over Your Face	The Rude Boys
Shake It (Like A White Girl)	Jesse Jaymes
Got A Love For You	Jomanda
Where The Streets Have No Name	Pet Shop Boys
