Ode To Billie Joe	Bobbie Gentry
All You Need Is Love	The Beatles
Reflections	Diana Ross & The Supremes
Light My Fire	The Doors
Baby I Love You	Aretha Franklin
Come Back When You Grow Up	Bobby Vee And The Strangers
Cold Sweat - Part 1	James Brown And The Famous Flames
Pleasant Valley Sunday	The Monkees
You're My Everything	The Temptations
I Was Made To Love Her	Stevie Wonder
Words	The Monkees
Heroes And Villains	The Beach Boys
Thank The Lord For The Night Time	Neil Diamond
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
The Letter	The Box Tops
A Whiter Shade Of Pale	Procol Harum
A Girl Like You	The Young Rascals
Carrie-Anne	The Hollies
Funky Broadway	Wilson Pickett
(I Wanna) Testify	The Parliaments
Silence Is Golden	The Tremeloes
Brown Eyed Girl	Van Morrison
Fakin' It	Simon & Garfunkel
There Is A Mountain	Donovan
San Franciscan Nights	Eric Burdon & The Animals
To Love Somebody	Bee Gees
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
You Know What I Mean	The Turtles
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
The World We Knew (Over And Over)	Frank Sinatra
Mercy, Mercy, Mercy	The Buckinghams
The Windows Of The World	Dionne Warwick
Groovin'	Booker T. & The MG's
Let The Good Times Roll & Feel So Good	Bunny Sigler
Can't Take My Eyes Off You	Frankie Valli
Twelve Thirty (Young Girls Are Coming To The Canyon)	The Mamas & The Papas
Things I Should Have Said	The Grass Roots
I Dig Rock And Roll Music	Peter, Paul & Mary
Hypnotized	Linda Jones
Gettin' Together	Tommy James And The Shondells
Blue's Theme	Davie Allan And The Arrows
Zip Code	The Five Americans
The Sweetest Thing This Side Of Heaven	Chris Bartley
Shoot Your Shot	Jr. Walker & The All Stars
Ha Ha Said The Clown	The Yardbirds
Gimme Little Sign	Brenton Wood
My Mammy	The Happenings
Everybody Needs Love	Gladys Knight And The Pips
Little Ole Wine Drinker, Me	Dean Martin
It's The Little Things	Sonny & Cher
Making Every Minute Count	Spanky And Our Gang
Happy	The Sunshine Company
Cry Softly Lonely One	Roy Orbison
I Want To Love You For What You Are	Ronnie Dove
Knock On Wood	Otis & Carla
Jill	Gary Lewis And The Playboys
Get On Up	The Esquires
Love Bug Leave My Heart Alone	Martha & The Vandellas
Never My Love	The Association
You've Got To Pay The Price	Al Kent
Anything Goes	Harpers Bizarre
Museum	Herman's Hermits
Run, Run, Run	The Third Rail
Put Your Mind At Ease	Every Mothers' Son
Turn On Your Love Light	Oscar Toney, Jr.
Funky Broadway Part I	Dyke And The Blazers
A Little Bit Now	The Dave Clark Five
Laura, What's He Got That I Ain't Got	Frankie Laine
A Woman's Hands	Joe Tex
I Make A Fool Of Myself	Frankie Valli
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
The Cat In The Window (The Bird In The Sky)	Petula Clark
Sixteen Tons	Tom Jones
There's Always Me	Elvis Presley With The Jordanaires
Memphis Soul Stew	King Curtis
In The Heat Of The Night	Ray Charles
I Feel Good (I Feel Bad)	The Lewis & Clarke Expedition
Casonova (Your Playing Days Are Over)	Ruby Andrews
Just Out Of Reach (Of My Two Empty Arms)	Percy Sledge
It Must Be Him	Vikki Carr
Laura (Tell Me What He's Got That I Ain't Got)	Brook Benton
Take A Look	Aretha Franklin
Expressway (To Your Heart)	Soul Survivors
Ballad Of You & Me & Pooneil	Jefferson Airplane
Turn The World Around	Eddy Arnold
It Could Be We're In Love	The Cryan' Shames
Knucklehead	Bar-Kays
Get Together	The Youngbloods
It's Got To Be Mellow	Leon Haywood
I Can't Stay Away From You	The Impressions
Tell Him	Patti Drew
Stout-Hearted Men	Barbra Streisand
Purple Haze	The Jimi Hendrix Experience
Paper Sun	Traffic featuring Stevie Winwood
Penny Arcade	The Cyrkle
The Look Of Love	Dusty Springfield
Come On Sock It To Me	Syl Johnson
There Goes The Lover	Gene Chandler
Nearer To You	Betty Harris
Requiem For The Masses	The Association
