Believe	Cher
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Angel Of Mine	Monica
I Still Believe	Mariah Carey
Kiss Me	Sixpence None The Richer
No Scrubs	TLC
Every Morning	Sugar Ray
What's It Gonna Be?!	Busta Rhymes Featuring Janet
All I Have To Give	Backstreet Boys
Angel	Sarah McLachlan
All Night Long	Faith Evans Featuring Puff Daddy
Slide	Goo Goo Dolls
...Baby One More Time	Britney Spears
Stay The Same	Joey McIntyre
Hard Knock Life (Ghetto Anthem)	JAY-Z
If You (Lovin' Me)	Silk
Nobody's Supposed To Be Here	Deborah Cox
(God Must Have Spent) A Little More Time On You	'N Sync
Have You Ever?	Brandy
You	Jesse Powell
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
The Animal Song	Savage Garden
I'm Not Ready	Keith Sweat
Save Tonight	Eagle-Eye Cherry
C'est La Vie	B*Witched
Ex-Factor	Lauryn Hill
Sweet Lady	Tyrese
Fly Away	Lenny Kravitz
How Forever Feels	Kenny Chesney
What It's Like	Everlast
Back 2 Good	matchbox 20
Faded Pictures	Case & Joe
Miami	Will Smith
When A Woman's Fed Up	R. Kelly
Jumper	Third Eye Blind
My Name Is	Eminem
We Like To Party!	Vengaboys
Written In The Stars	Elton John & LeAnn Rimes
You Were Mine	Dixie Chicks
Meanwhile	George Strait
I Don't Want To Miss A Thing	Mark Chesnutt
You Got Me	The Roots Featuring Erykah Badu
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Lullaby	Shawn Mullins
I'm Your Angel	R. Kelly & Celine Dion
I'll Think Of A Reason Later	Lee Ann Womack
Doo Wop (That Thing)	Lauryn Hill
Ordinary Life	Chad Brock
Busy Man	Billy Ray Cyrus
Powerful Thing	Trisha Yearwood
I Can't Get Over You	Brooks & Dunn
What's So Different	Ginuwine
Taking Everything	Gerald Levert
These Are The Times	Dru Hill
Girlfriend/Boyfriend	BLACKstreet With Janet
Wish You Were Here	Mark Wills
Stand Beside Me	Jo Dee Messina
Unbelievable	Diamond Rio
Drive Me Wild	Sawyer Brown
No Place That Far	Sara Evans
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
You Get What You Give	New Radicals
Gone Crazy	Alan Jackson
Praise You	Fatboy Slim
When You Believe	Whitney Houston & Mariah Carey
My First Night With You	Mya
Hold On To Me	John Michael Montgomery
Love Ain't Like That	Faith Hill
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
Anywhere	112 Featuring Lil'z
Georgy Porgy	Eric Benet Featuring Faith Evans
Blue Monday	Orgy
Keepin' Up	Alabama
Anyone Else	Collin Raye
Nann	Trick Daddy Featuring Trina
Run	Collective Soul
One	Creed
Ha	Juvenile
The Hardest Thing	98 Degrees
Heavy	Collective Soul
Changes	2Pac
Woof	Snoop Dogg Featuring Mystikal And Fiend
Love Like This	Faith Evans
Crush	Dave Matthews Band
Hands Of A Working Man	Ty Herndon
Nas Is Like	Nas
Watch For The Hook	Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor
Special	Garbage
At The Stars	Better Than Ezra
Luv Me, Luv Me	Shaggy Featuring Janet
When I Close My Eyes	Shanice
You Won't Ever Be Lonely	Andy Griggs
Father Of Mine	Everclear
Life	K-Ci & JoJo
Sweetest Thing	U2
How Do I Deal	Jennifer Love Hewitt
Hillbilly Shoes	Montgomery Gentry
Never There	Cake
Take Me There	BLACKstreet & Mya Featuring Mase & Blinky Blink
Rosa Parks	OutKast
