Closer	The Chainsmokers Featuring Halsey
Heathens	twenty one pilots
Starboy	The Weeknd Featuring Daft Punk
Cold Water	Major Lazer Featuring Justin Bieber & MO
Let Me Love You	DJ Snake Featuring Justin Bieber
Treat You Better	Shawn Mendes
Cheap Thrills	Sia Featuring Sean Paul
Broccoli	D.R.A.M. Featuring Lil Yachty
Don't Let Me Down	The Chainsmokers Featuring Daya
This Is What You Came For	Calvin Harris Featuring Rihanna
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Ride	twenty one pilots
I Hate U I Love U	gnash Featuring Olivia O'Brien
One Dance	Drake Featuring WizKid & Kyla
Gold	Kiiara
Send My Love (To Your New Lover)	Adele
Needed Me	Rihanna
Too Good	Drake Featuring Rihanna
Side To Side	Ariana Grande Featuring Nicki Minaj
Can't Stop The Feeling!	Justin Timberlake
Luv	Tory Lanez
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Into You	Ariana Grande
Starving	Hailee Steinfeld & Grey Featuring Zedd
Hymn For The Weekend	Coldplay
Unsteady	X Ambassadors
My Way	Calvin Harris
Panda	Desiigner
This Girl	Kungs vs Cookin' On 3 Burners
The Greatest	Sia Featuring Kendrick Lamar
For Free	DJ Khaled Featuring Drake
Controlla	Drake
Sit Still, Look Pretty	Daya
Forever Country	Artists Of Then, Now & Forever
No Limit	Usher Featuring Young Thug
OOOUUU	Young M.A
Setting The World On Fire	Kenny Chesney Featuring P!nk
Just Like Fire	P!nk
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Black Beatles	Rae Sremmurd Featuring Gucci Mane
Low Life	Future Featuring The Weeknd
Tiimmy Turner	Desiigner
It Don't Hurt Like It Used To	Billy Currington
Work	Rihanna Featuring Drake
I Took A Pill In Ibiza	Mike Posner
In The Name Of Love	Martin Garrix & Bebe Rexha
Never Be Like You	Flume Featuring Kai
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
H.O.L.Y.	Florida Georgia Line
Scars To Your Beautiful	Alessia Cara
Caroline	Amine
Blue Ain't Your Color	Keith Urban
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Different For Girls	Dierks Bentley Featuring Elle King
Middle Of A Memory	Cole Swindell
Father Stretch My Hands Pt. 1	Kanye West
Fade	Kanye West
Perfect Illusion	Lady Gaga
I Met A Girl	William Michael Morgan
Move	Luke Bryan
1 Night	Lil Yachty
This Town	Niall Horan
Vice	Miranda Lambert
May We All	Florida Georgia Line Featuring Tim McGraw
Money Longer	Lil Uzi Vert
Rock On	Tucker Beathard
Mercy	Shawn Mendes
Peter Pan	Kelsea Ballerini
Come And See Me	PARTYNEXTDOOR Featuring Drake
A Little More Summertime	Jason Aldean
I Know Somebody	LOCASH
Mama Said	Lukas Graham
You & Me	Marc E. Bassy Featuring G-Eazy
Me Too	Meghan Trainor
Sleep Without You	Brett Young
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
X	21 Savage & Metro Boomin Featuring Future
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
Make You Miss Me	Sam Hunt
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
THat Part	ScHoolboy Q Featuring Kanye West
Wat U Mean (Aye, Aye, Aye)	Dae Dae
You Was Right	Lil Uzi Vert
Key To The Streets	YFN Lucci Featuring Migos & Trouble
Hold Up	Beyonce
Gangsta	Kehlani
HandClap	Fitz And The Tantrums
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Goosebumps	Travis Scott
Song For Another Time	Old Dominion
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Capsize	Frenship & Emily Warren
CRZY	Kehlani
Purple Lamborghini	Skrillex & Rick Ross
With You Tonight / Hasta El Amanecer	Nicky Jam
Cool Girl	Tove Lo
You Look Like I Need A Drink	Justin Moore
No Shopping	French Montana Featuring Drake
