Cheap Thrills	Sia Featuring Sean Paul
One Dance	Drake Featuring WizKid & Kyla
This Is What You Came For	Calvin Harris Featuring Rihanna
Can't Stop The Feeling!	Justin Timberlake
Cold Water	Major Lazer Featuring Justin Bieber & MO
Don't Let Me Down	The Chainsmokers Featuring Daya
Ride	twenty one pilots
Needed Me	Rihanna
Closer	The Chainsmokers Featuring Halsey
Send My Love (To Your New Lover)	Adele
Heathens	twenty one pilots
Panda	Desiigner
For Free	DJ Khaled Featuring Drake
Me Too	Meghan Trainor
Don't Mind	Kent Jones
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Just Like Fire	P!nk
Treat You Better	Shawn Mendes
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Too Good	Drake Featuring Rihanna
Controlla	Drake
Into You	Ariana Grande
H.O.L.Y.	Florida Georgia Line
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Never Be Like You	Flume Featuring Kai
I Took A Pill In Ibiza	Mike Posner
I Hate U I Love U	gnash Featuring Olivia O'Brien
Broccoli	D.R.A.M. Featuring Lil Yachty
Setting The World On Fire	Kenny Chesney Featuring P!nk
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Work	Rihanna Featuring Drake
Gold	Kiiara
Stressed Out	twenty one pilots
7 Years	Lukas Graham
Low Life	Future Featuring The Weeknd
No Shopping	French Montana Featuring Drake
Tiimmy Turner	Desiigner
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Love Yourself	Justin Bieber
Hymn For The Weekend	Coldplay
Cake By The Ocean	DNCE
Sorry	Beyonce
Rise	Katy Perry
My House	Flo Rida
Sorry	Justin Bieber
Luv	Tory Lanez
Let It Go	James Bay
Dangerous Woman	Ariana Grande
Wicked	Future
Record Year	Eric Church
THat Part	ScHoolboy Q Featuring Kanye West
Make You Miss Me	Sam Hunt
From The Ground Up	Dan + Shay
My PYT	Wale
Kill Em With Kindness	Selena Gomez
American Country Love Song	Jake Owen
Peter Pan	Kelsea Ballerini
Toothbrush	DNCE
Head Over Boots	Jon Pardi
Unsteady	X Ambassadors
Different For Girls	Dierks Bentley Featuring Elle King
Sit Still, Look Pretty	Daya
No Limit	Usher Featuring Young Thug
Close	Nick Jonas Featuring Tove Lo
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Church Bells	Carrie Underwood
Make Me...	Britney Spears Featuring G-Eazy
Fix	Chris Lane
She's Got A Way With Words	Blake Shelton
Money Longer	Lil Uzi Vert
Vice	Miranda Lambert
Uber Everywhere	MadeinTYO
Lockjaw	French Montana Featuring Kodak Black
Lights Come On	Jason Aldean
Lush Life	Zara Larsson
Wat U Mean (Aye, Aye, Aye)	Dae Dae
This Girl	Kungs vs Cookin' On 3 Burners
You & Me	Marc E. Bassy Featuring G-Eazy
With You Tonight / Hasta El Amanecer	Nicky Jam
Wake Up	Fetty Wap
Mama Said	Lukas Graham
Pop Style	Drake Featuring The Throne
Father Stretch My Hands Pt. 1	Kanye West
Holy Key	DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Duele El Corazon	Enrique Iglesias Feat. Wisin or Tinashe & Javada
Brand New	Ben Rector
No Money	Galantis
Famous	Kanye West
Purple Lamborghini	Skrillex & Rick Ross
Wherever I Go	OneRepublic
Wasted Time	Keith Urban
You Was Right	Lil Uzi Vert
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
It Don't Hurt Like It Used To	Billy Currington
Starving	Hailee Steinfeld & Grey Featuring Zedd
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Come And See Me	PARTYNEXTDOOR Featuring Drake
Middle Of A Memory	Cole Swindell
