Doo Wop (That Thing)	Lauryn Hill
Lately	Divine
The First Night	Monica
One Week	Barenaked Ladies
Because Of You	98 Degrees
How Deep Is Your Love	Dru Hill Featuring Redman
Crush	Jennifer Paige
Nobody's Supposed To Be Here	Deborah Cox
This Kiss	Faith Hill
I'll Be	Edwin McCain
I Don't Want To Miss A Thing	Aerosmith
Touch It	Monifah
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
The Power Of Good-Bye	Madonna
Westside	TQ
Too Close	Next
Never Ever	All Saints
My Little Secret	Xscape
Love Me	112 Featuring Mase
I Still Love You	Next
Love Like This	Faith Evans
Trippin'	Total Featuring Missy Elliott
You're Still The One	Shania Twain
When The Lights Go Out	Five
Truly Madly Deeply	Savage Garden
The Boy Is Mine	Brandy & Monica
Just The Two Of Us	Will Smith
Time After Time	Inoj
My Way	Usher
Daydreamin'	Tatyana Ali
All The Places (I Will Kiss You)	Aaron Hall
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
Adia	Sarah McLachlan
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
So Into You	Tamia
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
SuperThug (What What)	Noreaga
Movin' On	Mya Featuring Silkk The Shocker
All My Life	K-Ci & JoJo
Hard Knock Life (Ghetto Anthem)	JAY-Z
I Can Do That	Montell Jordan
Splackavellie	Pressha
Whatcha Wanna Do?	Mia X Featuring Charlie Wilson
Wherever You Go	Voices Of Theory
Lookin' At Me	Mase Featuring Puff Daddy
Still A G Thang	Snoop Dogg
I Don't Want To Wait	Paula Cole
How's It Going To Be	Third Eye Blind
Still Not A Player	Big Punisher Featuring Joe
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Friend Of Mine	Kelly Price
Thinkin' Bout It	Gerald Levert
Everything's Gonna Be Alright	Sweetbox
Money's Just A Touch Away	Mack 10 Featuring Gerald Levert
Intergalactic	Beastie Boys
Can't Get Enough	Willie Max Featuring Raphael Saadiq
Lost In Love	Nastyboy Klick
Shimmer	Fuel
Perfect	The Smashing Pumpkins
I Had No Right	P.M. Dawn
Don't Let It Go To Your Head	Brand Nubian
Daysleeper	R.E.M.
Ray Of Light	Madonna
Better Days	WC Featuring Jon B.
Nobody Else	Tyrese
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Invasion Of The Flat Booty B*****s	Too $hort
Music Sounds Better With You	Stardust
How's It Goin' Down	DMX Featuring Faith Evans
Cruel Summer	Ace Of Base
Let The Music Heal Your Soul	BRAVO All Stars
Ooh La La	Rod Stewart
26 Cents	The Wilkinsons
Enjoy Yourself	A+
Landslide	Fleetwood Mac
It's The Things You Do	Five
Money Ain't A Thang	JD Featuring Jay-Z
Dr. Greenthumb	Cypress Hill
Yesterday	Debelah Morgan
Life Ain't Easy	Cleopatra
For You I Will	Aaron Tippin
Whenever You're Near Me	Ace Of Base
Let Me Return The Favor	Andrea Martin
Touch Me	Solo
Only When I Lose Myself	Depeche Mode
If I Can't Have You	L.F.O. (Lyte Funky Ones) (Featuring Kayo)
The Rockafeller Skank	Fatboy Slim
If I Had The Chance	Cynthia
Can't We Try	Rockell [Duet With Collage]
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
No Fool No More	En Vogue
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
If I Lost You	Travis Tritt
Wide Open Spaces	Dixie Chicks
I Should Cheat On You	J'Son
Ava Adore	The Smashing Pumpkins
Gotta Be	Jagged Edge
The Street Mix	Mag 7
