Seasons Change	Expose
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Could've Been	Tiffany
Father Figure	George Michael
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
Say You Will	Foreigner
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Never Gonna Give You Up	Rick Astley
Don't Shed A Tear	Paul Carrack
I Want To Be Your Man	Roger
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
I Get Weak	Belinda Carlisle
Pump Up The Volume	M/A/R/R/S
Need You Tonight	INXS
Hazy Shade Of Winter	The Bangles
I Found Someone	Cher
Everywhere	Fleetwood Mac
Just Like Paradise	David Lee Roth
Push It	Salt-N-Pepa
Endless Summer Nights	Richard Marx
Tunnel Of Love	Bruce Springsteen
Love Overboard	Gladys Knight And The Pips
I Live For Your Love	Natalie Cole
Out Of The Blue	Debbie Gibson
Be Still My Beating Heart	Sting
I Want Her	Keith Sweat
Man In The Mirror	Michael Jackson
Hysteria	Def Leppard
Because Of You	The Cover Girls
Pop Goes The World	Men Without Hats
(Sittin' On) The Dock Of The Bay	Michael Bolton
Rocket 2 U	The Jets
853-5937	Squeeze
Twilight World	Swing Out Sister
Get Outta My Dreams, Get Into My Car	Billy Ocean
Got My Mind Set On You	George Harrison
The Way You Make Me Feel	Michael Jackson
I Could Never Take The Place Of Your Man	Prince
Tell It To My Heart(Dub)	Taylor Dayne
Live My Life (From The Film "Hiding Out")	Boy George
Candle In The Wind	Elton John
Girlfriend	Pebbles
Never Thought (That I Could Love)	Dan Hill
When We Was Fab	George Harrison
Check It Out	John Mellencamp
Wishing Well	Terence Trent D'Arby
Some Kind Of Lover	Jody Watley
Angel	Aerosmith
Rock Of Life	Rick Springfield
Devil Inside	INXS
Never Can Say Goodbye	The Communards
Never Knew Love Like This	Alexander O'Neal Featuring Cherrelle
Honestly	Stryper
All I Want Is You	Carly Simon
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Rhythm Of Love	Yes
You Don't Know	Scarlett & Black
So Emotional	Whitney Houston
Crazy	Icehouse
How Can I Forget You	Elisa Fiorillo
Faith	George Michael
Save Your Love	Great White
Hot Thing	Prince
There's The Girl	Heart
Give Me All Your Love	Whitesnake
Don't Look Any Further	The Kane Gang
What A Wonderful World	Louis Armstrong
Electric Blue	Icehouse
It's The End Of The World As We Know It (And I Feel Fine)	R.E.M.
Talking Back To The Night	Steve Winwood
Thinking Of You	Earth, Wind & Fire
I Wish I Had A Girl	Henry Lee Summer
Prove Your Love	Taylor Dayne
Cherry Bomb	John Mellencamp
Don't You Want Me	Jody Watley
Never Let Me Down Again	Depeche Mode
You Will Know	Stevie Wonder
Is This Love	Whitesnake
Shake Your Love	Debbie Gibson
I Want You So Bad	Heart
Fishnet	Morris Day
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Lonely Won't Leave Me Alone	Glenn Medeiros
Pamela	Toto
Coming Up You	The Cars
Ever Since The World Began	Tommy Shaw
Going Back To Cali (From "Less Than Zero")	LL Cool J
In God's Country	U2
All Right Now	Pepsi & Shirlie
True Faith	New Order
Are You Sure	So
Piano In The Dark	Brenda Russell Featuring Joe Esposito
Reason To Live	KISS
Without You	Peabo Bryson & Regina Belle
I Need A Man	Eurythmics
That's What Love Is All About	Michael Bolton
The Motion Of Love	Gene Loves Jezebel
Power Of Love	Laura Branigan
Valerie	Steve Winwood
Lover's Lane	Georgio
