Cheerleader	OMI
Can't Feel My Face	The Weeknd
See You Again	Wiz Khalifa Featuring Charlie Puth
Bad Blood	Taylor Swift Featuring Kendrick Lamar
Watch Me	Silento
Trap Queen	Fetty Wap
Shut Up And Dance	WALK THE MOON
Fight Song	Rachel Platten
Lean On	Major Lazer & DJ Snake Featuring MO
The Hills	The Weeknd
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Where Are U Now	Skrillex & Diplo With Justin Bieber
Honey, I'm Good.	Andy Grammer
Worth It	Fifth Harmony Featuring Kid Ink
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Good For You	Selena Gomez Featuring A$AP Rocky
Want To Want Me	Jason Derulo
679	Fetty Wap Featuring Remy Boyz
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
Sugar	Maroon 5
Photograph	Ed Sheeran
Earned It (Fifty Shades Of Grey)	The Weeknd
B**** Better Have My Money	Rihanna
Thinking Out Loud	Ed Sheeran
Girl Crush	Little Big Town
Talking Body	Tove Lo
Classic Man	Jidenna Featuring Roman GianArthur
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Flex (Ooh Ooh Ooh)	Rich Homie Quan
You Know You Like It	DJ Snake & AlunaGeorge
Cool For The Summer	Demi Lovato
Love Me Like You Do	Ellie Goulding
Elastic Heart	Sia
Nasty Freestyle	T-Wayne
Slow Motion	Trey Songz
Uma Thurman	Fall Out Boy
Kick The Dust Up	Luke Bryan
Take Your Time	Sam Hunt
House Party	Sam Hunt
Fun	Pitbull Featuring Chris Brown
This Summer's Gonna Hurt...	Maroon 5
Sangria	Blake Shelton
Somebody	Natalie La Rose Featuring Jeremih
Be Real	Kid Ink Featuring DeJ Loaf
R.I.C.O.	Meek Mill Featuring Drake
Tonight Looks Good On You	Jason Aldean
Shake It Off	Taylor Swift
Style	Taylor Swift
Crash And Burn	Thomas Rhett
One Hell Of An Amen	Brantley Gilbert
Love You Like That	Canaan Smith
Like A Wrecking Ball	Eric Church
Buy Me A Boat	Chris Janson
The Night Is Still Young	Nicki Minaj
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Loving You Easy	Zac Brown Band
Stitches	Shawn Mendes
Renegades	X Ambassadors
Planez	Jeremih Featuring J. Cole
Kiss You In The Morning	Michael Ray
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
John Cougar, John Deere, John 3:16	Keith Urban
This Could Be Us	Rae Sremmurd
Commas	Future
Young & Crazy	Frankie Ballard
Crushin' It	Brad Paisley
Bright	Echosmith
Hell Of A Night	Dustin Lynch
Lose My Mind	Brett Eldredge
Wet Dreamz	J. Cole
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Baby Be My Love Song	Easton Corbin
Love Me Like You Mean It	Kelsea Ballerini
Ghost Town	Adam Lambert
The Matrimony	Wale Featuring Usher
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Good Thing	Sage The Gemini Featuring Nick Jonas
Real Life	Jake Owen
Kings Never Die	Eminem Featuring Gwen Stefani
Do It Again	Pia Mia Featuring Chris Brown & Tyga
Don't It	Billy Currington
Beautiful Now	Zedd Featuring Jon Bellion
Yoga	Janelle Monae & Jidenna
Sippin' On Fire	Florida Georgia Line
Little Toy Guns	Carrie Underwood
My Way	Fetty Wap Featuring Monty
Alright	Kendrick Lamar
Break Up With Him	Old Dominion
Should've Been Us	Tori Kelly
Ex's & Oh's	Elle King
Fly	Maddie & Tae
I Really Like You	Carly Rae Jepsen
Burning House	Cam
Tear In My Heart	twenty one pilots
Lord Knows	Meek Mill
I'm Comin' Over	Chris Young
Jump Out The Face	Meek Mill Featuring Future
Hood Go Crazy	Tech N9Ne Featuring 2 Chainz & B.o.B
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
