Ode To Billie Joe	Bobbie Gentry
All You Need Is Love	The Beatles
Pleasant Valley Sunday	The Monkees
Light My Fire	The Doors
Baby I Love You	Aretha Franklin
I Was Made To Love Her	Stevie Wonder
Cold Sweat - Part 1	James Brown And The Famous Flames
Reflections	Diana Ross & The Supremes
You're My Everything	The Temptations
A Whiter Shade Of Pale	Procol Harum
A Girl Like You	The Young Rascals
Heroes And Villains	The Beach Boys
Thank The Lord For The Night Time	Neil Diamond
Come Back When You Grow Up	Bobby Vee And The Strangers
Words	The Monkees
Silence Is Golden	The Tremeloes
To Love Somebody	Bee Gees
Carrie-Anne	The Hollies
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
My Mammy	The Happenings
Hypnotized	Linda Jones
Mercy, Mercy, Mercy	The Buckinghams
Fakin' It	Simon & Garfunkel
Can't Take My Eyes Off You	Frankie Valli
The Letter	The Box Tops
San Franciscan Nights	Eric Burdon & The Animals
Brown Eyed Girl	Van Morrison
(I Wanna) Testify	The Parliaments
Funky Broadway	Wilson Pickett
Let The Good Times Roll & Feel So Good	Bunny Sigler
The World We Knew (Over And Over)	Frank Sinatra
The Sweetest Thing This Side Of Heaven	Chris Bartley
The Windows Of The World	Dionne Warwick
Windy	The Association
More Love	Smokey Robinson & The Miracles
There Is A Mountain	Donovan
You Know What I Mean	The Turtles
Soul Finger	Bar-Kays
Everybody Needs Love	Gladys Knight And The Pips
White Rabbit	Jefferson Airplane
Baby You're A Rich Man	The Beatles
I Take It Back	Sandy Posey
Groovin'	Booker T. & The MG's
Shoot Your Shot	Jr. Walker & The All Stars
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Little Bit O' Soul	The Music Explosion
Things I Should Have Said	The Grass Roots
I Dig Rock And Roll Music	Peter, Paul & Mary
Don't Let The Rain Fall Down On Me	The Critters
Ha Ha Said The Clown	The Yardbirds
Blue's Theme	Davie Allan And The Arrows
Zip Code	The Five Americans
Cry Softly Lonely One	Roy Orbison
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
I Want To Love You For What You Are	Ronnie Dove
Gimme Little Sign	Brenton Wood
Jill	Gary Lewis And The Playboys
Happy	The Sunshine Company
Little Ole Wine Drinker, Me	Dean Martin
It's The Little Things	Sonny & Cher
Bluebird	Buffalo Springfield
Out & About	Tommy Boyce & Bobby Hart
A Woman's Hands	Joe Tex
The River Is Wide	The Forum
Funky Broadway Part I	Dyke And The Blazers
Run, Run, Run	The Third Rail
A Little Bit Now	The Dave Clark Five
Sixteen Tons	Tom Jones
Making Every Minute Count	Spanky And Our Gang
Slim Jenkin's Place	Booker T. & The MG's
You've Got To Pay The Price	Al Kent
Twelve Thirty (Young Girls Are Coming To The Canyon)	The Mamas & The Papas
Knock On Wood	Otis & Carla
Laura, What's He Got That I Ain't Got	Frankie Laine
Gettin' Together	Tommy James And The Shondells
Turn On Your Love Light	Oscar Toney, Jr.
Anything Goes	Harpers Bizarre
Museum	Herman's Hermits
Love Bug Leave My Heart Alone	Martha & The Vandellas
Get On Up	The Esquires
I Feel Good (I Feel Bad)	The Lewis & Clarke Expedition
Lady Friend	The Byrds
Never My Love	The Association
Put Your Mind At Ease	Every Mothers' Son
Laura (Tell Me What He's Got That I Ain't Got)	Brook Benton
Turn The World Around	Eddy Arnold
It Could Be We're In Love	The Cryan' Shames
Memphis Soul Stew	King Curtis
In The Heat Of The Night	Ray Charles
There's Always Me	Elvis Presley With The Jordanaires
Tell Him	Patti Drew
Stout-Hearted Men	Barbra Streisand
I Make A Fool Of Myself	Frankie Valli
Purple Haze	The Jimi Hendrix Experience
Casonova (Your Playing Days Are Over)	Ruby Andrews
How Can You Mistreat The One You Love	Jean & The Darlings
Love Is A Doggone Good Thing	Eddie Floyd
Come On Sock It To Me	Syl Johnson
Last Minute Miracle	The Shirelles
Drums	Jon & Robin
