Telstar	The Tornadoes
Go Away Little Girl	Steve Lawrence
Limbo Rock	Chubby Checker
Bobby's Girl	Marcie Blane
Big Girls Don't Cry	The 4 Seasons
Hotel Happiness	Brook Benton
Pepino The Italian Mouse	Lou Monte
Return To Sender	Elvis Presley With The Jordanaires
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Tell Him	The Exciters
My Dad	Paul Petersen
You Are My Sunshine	Ray Charles
Release Me	Esther Phillips "Little Esther"
The Night Has A Thousand Eyes	Bobby Vee
Two Lovers	Mary Wells
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Dear Lonely Hearts	Nat King Cole
Chains	The Cookies
Keep Your Hands Off My Baby	Little Eva
It's Up To You	Rick Nelson
Don't Hang Up	The Orlons
Up On The Roof	The Drifters
Wiggle Wobble	Les Cooper and the Soul Rockers
Love Came To Me	Dion
I Saw Linda Yesterday	Dickey Lee
Everybody Loves A Lover	The Shirelles
Ruby Ann	Marty Robbins
Shutters And Boards	Jerry Wallace
Half Heaven - Half Heartache	Gene Pitney
Monsters' Holiday	Bobby "Boris" Pickett And The Crypt-Kickers
Ride!	Dee Dee Sharp
Don't Make Me Over	Dionne Warwick
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
Trouble Is My Middle Name	Bobby Vinton
Loop De Loop	Johnny Thunder
Your Cheating Heart	Ray Charles
See See Rider	LaVern Baker
Rumors	Johnny Crawford
I'm Gonna' Be Warm This Winter	Connie Francis
Let's Go (pony)	The Routers
Desafinado	Stan Getz/Charlie Byrd
Remember Then	The Earls
Let's Kiss And Make Up	Bobby Vinton
Some Kinda Fun	Chris Montez
Comin' Home Baby	Mel Torme
You've Really Got A Hold On Me	The Miracles
The Love Of A Boy	Timi Yuro
My Coloring Book	Kitty Kallen
Ten Little Indians	The Beach Boys
The Push And Kick	Mark Valentino
Coney Island Baby	The Excellents
He's A Rebel	The Crystals
Hey Paula	Paul and Paula
Lovesick Blues	Frank Ifield
That's Life (That's Tough)	Gabriel And The Angels
The Ballad Of Jed Clampett	Flatt & Scruggs
My Wife Can't Cook	Lonnie Russ
My Coloring Book	Sandy Stewart
You Threw A Lucky Punch	Gene Chandler
All Alone Am I	Brenda Lee
Strange I Know	The Marvelettes
Spanish Lace	Gene McDaniels
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
Java	Floyd Cramer
You're Gonna Need Me	Barbara Lynn
Shake Sherry	The Contours
From A Jack To A King	Ned Miller
Shake Me I Rattle (Squeeze Me I Cry)	Marion Worth
I May Not Live To See Tomorrow	Brian Hyland
Cast Your Fate To The Wind	Vince Guaraldi Trio
Walk Right In	The Rooftop Singers
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
Me And My Shadow	Frank Sinatra & Sammy Davis Jr.
He's Sure The Boy I Love	The Crystals
I'm A Woman	Peggy Lee
Wild Weekend	The Rebels
Rainbow At Midnight	Jimmie Rodgers
Little Town Flirt	Del Shannon
Call On Me	Bobby Bland
Echo	The Emotions
All About My Girl	Jimmy McGriff
Molly	Bobby Goldsboro
Bossa Nova U.S.A.	The Dave Brubeck Quartet
I Need You	Rick Nelson
Little Tin Soldier	The Toy Dolls
Darkest Street In Town	Jimmy Clanton
Proud	Johnny Crawford
Red Pepper I	Roosevelt Fountain And Pens Of Rhythm
Gonna Raise A Rukus Tonight	Jimmy Dean
Al Di La	Connie Francis
The Gypsy Cried	Lou Christie
Every Day I Have To Cry	Steve Alaimo
Trouble In Mind	Aretha Franklin
I Will Live My Life For You	Tony Bennett
Jellybread	Booker T. & The MG's
Sam's Song	Dean Martin & Sammy Davis Jr.
The (Bossa Nova) Bird	The Dells
Mama Didn't Lie	Jan Bradley
How Much Is That Doggie In The Window	Baby Jane & The Rockabyes
Let Me Entertain You	Ray Anthony
