Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Every Little Thing She Does Is Magic	The Police
Oh No	Commodores
Here I Am (Just When I Thought I Was Over You)	Air Supply
Private Eyes	Daryl Hall John Oates
Let's Groove	Earth, Wind & Fire
Young Turks	Rod Stewart
Why Do Fools Fall In Love	Diana Ross
Start Me Up	The Rolling Stones
Don't Stop Believin'	Journey
Leather And Lace	Stevie Nicks With Don Henley
Trouble	Lindsey Buckingham
Harden My Heart	Quarterflash
The Old Songs	Barry Manilow
Yesterday's Songs	Neil Diamond
Arthur's Theme (Best That You Can Do)	Christopher Cross
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Comin' In And Out Of Your Life	Barbra Streisand
The Sweetest Thing (I've Ever Known)	Juice Newton
Our Lips Are Sealed	Go-Go's
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Turn Your Love Around	George Benson
My Girl (Gone, Gone, Gone)	Chilliwack
Cool Night	Paul Davis
Heart Like A Wheel	The Steve Miller Band
Hooked On Classics	Royal Philharmonic Orchestra
Steal The Night	Stevie Woods
No Reply At All	Genesis
Centerfold	The J. Geils Band
Tryin' To Live My Life Without You	Bob Seger
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Never Too Much	Luther Vandross
Poor Man's Son	Survivor
The Night Owls	Little River Band
I Wouldn't Have Missed It For The World	Ronnie Milsap
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Twilight	Electric Light Orchestra
Wrack My Brain	Ringo Starr
Under Pressure	Queen & David Bowie
I've Done Everything For You	Rick Springfield
Just Once	Quincy Jones Featuring James Ingram
Shake It Up	The Cars
Castles In The Air	Don McLean
Living Eyes	Bee Gees
More Than Just The Two Of Us	Sneaker
I Want You, I Need You	Chris Christian
When She Was My Girl	Four Tops
We're In This Love Together	Al Jarreau
Sausalito Summernight	Diesel
For Your Eyes Only	Sheena Easton
She's Got A Way	Billy Joel
Hard To Say	Dan Fogelberg
Endless Love	Diana Ross & Lionel Richie
Working For The Weekend	Loverboy
Super Freak (Part I)	Rick James
Say Goodbye To Hollywood	Billy Joel
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Step By Step	Eddie Rabbitt
Atlanta Lady (Something About Your Love)	Marty Balin
I'm Just Too Shy	Jermaine Jackson
Come Go With Me	The Beach Boys
Love In The First Degree	Alabama
Key Largo	Bertie Higgins
Talking Out Of Turn	The Moody Blues
Let Me Love You Once	Greg Lake
If I Were You	Lulu
Blaze Of Glory	Kenny Rogers
You Could Have Been With Me	Sheena Easton
Waiting On A Friend	The Rolling Stones
Leader Of The Band	Dan Fogelberg
Falling In Love	Balance
My Kinda Lover	Billy Squier
Promises In The Dark	Pat Benatar
Share Your Love With Me	Kenny Rogers
Controversy	Prince
Stop Draggin' My Heart Around	Stevie Nicks With Tom Petty And The Heartbreakers
The Cowboy And The Lady	John Denver
I Heard It Through The Grapevine (Part 1)	Roger
Anyone Can See	Irene Cara
Breakin' Away	Al Jarreau
Take It Easy On Me	Little River Band
Magic Power	Triumph
Love Is Alright Tonite	Rick Springfield
Wkrp In Cincinnati	Steve Carlisle
Walking Into Sunshine	Central Line
The Woman In Me	Crystal Gayle
Could It Be Love	Jennifer Warnes
Little Darlin'	Sheila
Runaway Rita	Leif Garrett
Who's Crying Now	Journey
Sharing The Love	Rufus With Chaka Khan
I'm Your Superman	All Sports Band
Bet Your Heart On Me	Johnny Lee
Alien	Atlanta Rhythm Section
Urgent	Foreigner
Better Things	The Kinks
Snap Shot	Slave
When She Dances	Joey Scarbury
Sweet Merilee	Donnie Iris
