Freak Me	Silk
That's The Way Love Goes	Janet Jackson
Informer	Snow
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
I Have Nothing	Whitney Houston
Nuthin' But A "G" Thang	Dr. Dre
Don't Walk Away	Jade
I'm So Into You	SWV
Looking Through Patient Eyes	P.M. Dawn
Ditty	Paperboy
Two Princes	Spin Doctors
Knockin' Da Boots	H-Town
Comforter	Shai
Hip Hop Hooray	Naughty By Nature
Who Is It	Michael Jackson
The Crying Game (From "The Crying Game")	Boy George
Cat's In The Cradle	Ugly Kid Joe
It Was A Good Day	Ice Cube
Nothin' My Love Can't Fix	Joey Lawrence
If I Ever Lose My Faith In You	Sting
Angel	Jon Secada
Weak	SWV
Down With The King	Run-D.M.C.
Livin' On The Edge	Aerosmith
Connected	Stereo MC's
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Three Little Pigs	Green Jelly
That's What Love Can Do	Boy Krazy
Mr. Wendal	Arrested Development
Ordinary World	Duran Duran
Show Me Love	Robin S.
Come Undone	Duran Duran
Bed Of Roses	Bon Jovi
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Simple Life	Elton John
I Got A Man	Positive K
Dedicated	R. Kelly & Public Announcement
Love U More	Sunscreem
Forever In Love	Kenny G
Dazzey Duks	Duice
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
So Alone	Men At Large
Buddy X	Neneh Cherry
Love Don't Love You	En Vogue
The Morning Papers	Prince And The New Power Generation
Tell Me What You Dream	Restless Heart Featuring Warren Hill
I'll Never Get Over You (Getting Over Me)	Expose
Have I Told You Lately	Rod Stewart
I Will Always Love You	Whitney Houston
Rhythm Is A Dancer	Snap!
I'm Gonna Get You	Bizarre Inc
Bad Boys (Theme From "Cops")	Inner Circle
Supermodel (You Better Work)	RuPaul
Sweet Thing	Mary J. Blige
Come In Out Of The Rain	Wendy Moten
Sleeping Satellite	Tasmin Archer
Touch My Light	Big Mountain
More And More	Captain Hollywood Project
I Feel You	Depeche Mode
Tap The Bottle	Young Black Teenagers
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Tonight	Def Leppard
Romeo	Dolly Parton & Friends
Let's Go Through The Motions (From "Who's The Man?")	Jodeci
That's The Way Love Is	Bobby Brown
How I'm Comin'	LL Cool J
If I Could	Regina Belle
Silence Is Broken (From "Nowhere To Run")	Damn Yankees
I See Your Smile	Gloria Estefan
What You Won't Do For Love	Go West
In These Arms	Bon Jovi
Man On The Moon	R.E.M.
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Wannagirl	Jeremy Jordan
Regret	New Order
Funky Child	Lords Of The Underground
Kiss Of Life	Sade
Six Feet Deep	Geto Boys
Every Little Thing U Do	Christopher Williams
Passin' Me By	The Pharcyde
Whoot, There It Is	95 South
No Ordinary Love	Sade
Good Ol' Days	Levert
Deeper	Boss
La La Love	Bobby Ross Avila
Alibis	Tracy Lawrence
Hat 2 Da Back	TLC
What's Up	4 Non Blondes
Hero	David Crosby & Phil Collins
It's My Life	Dr. Alban
Candy Everybody Wants	10,000 Maniacs
Lost In Your Eyes	The Jeff Healey Band
I Love The Way You Love Me	John Michael Montgomery
Bow Wow Wow	Funkdoobiest
Give Him A Love He Can Feel	Tene Williams
She's Not Cryin' Anymore	Billy Ray Cyrus
Beautiful Girl	INXS
Easy	Faith No More
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
