Ghostbusters	Ray Parker Jr.
What's Love Got To Do With It	Tina Turner
State of Shock	The Jacksons
When Doves Cry	Prince
Stuck On You	Lionel Richie
I Can Dream About You	Dan Hartman
Missing You	John Waite
Sad Songs (say So Much)	Elton John
Sunglasses At Night	Corey Hart
If Ever You're In My Arms Again	Peabo Bryson
Infatuation	Rod Stewart
Dancing In The Dark	Bruce Springsteen
Panama	Van Halen
Round And Round	Ratt
She Bop	Cyndi Lauper
If This Is It	Huey Lewis & The News
The Warrior	Scandal Featuring Patty Smyth
Lights Out	Peter Wolf
Rock Me Tonite	Billy Squier
Sexy Girl	Glenn Frey
She's Mine	Steve Perry
Breakin'...there's No Stopping Us	Ollie And Jerry
Let's Go Crazy	Prince And The Revolution
Legs	ZZ Top
All Of You	Julio Iglesias & Diana Ross
The Glamorous Life	Sheila E.
Drive	The Cars
Dynamite	Jermaine Jackson
Alibis	Sergio Mendes
Leave A Tender Moment Alone	Billy Joel
When You Close Your Eyes	Night Ranger
Cruel Summer	Bananarama
Jump (for My Love)	The Pointer Sisters
Eyes Without A Face	Billy Idol
Right By Your Side	Eurythmics
17	Rick James
My, Oh My	Slade
Two Sides Of Love	Sammy Hagar
We're Not Gonna Take It	Twisted Sister
Cover Me	Bruce Springsteen
Hard Habit To Break	Chicago
I'm Free (Heaven Helps The Man)	Kenny Loggins
Only When You Leave	Spandau Ballet
The Lucky One	Laura Branigan
Go Insane	Lindsey Buckingham
High On Emotion	Chris de Burgh
There Goes My Baby	Donna Summer
Torture	The Jacksons
Turn To You	Go-Go's
I'm So Excited	The Pointer Sisters
Self Control	Laura Branigan
Mama, Weer All Crazee Now	Quiet Riot
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
What The Big Girls Do	Van Stephenson
Doctor! Doctor!	Thompson Twins
Romancing The Stone	Eddy Grant
Happy Ending	Joe Jackson
I Just Called To Say I Love You	Stevie Wonder
The Only Flame In Town	Elvis Costello & The Atrractions
Are We Ourselves?	The Fixx
Dance Hall Days	Wang Chung
(what) In The Name Of Love	Naked Eyes
Hold Me	Teddy Pendergrass And Whitney Houston
Magic	The Cars
10-9-8	Face To Face
Borderline	Madonna
Bop 'til You Drop	Rick Springfield
Cleanin' Up The Town	Bus Boys
The Reflex	Duran Duran
The Heart Of Rock & Roll	Huey Lewis & The News
No Way Out	Jefferson Starship
Boys Do Fall In Love	Robin Gibb
Caribbean Queen (No More Love On The Run)	Billy Ocean
Can't Wait All Night	Juice Newton
Straight From The Heart (Into Your Life)	Coyote Sisters
The Last Time I Made Love	Joyce Kennedy & Jeffrey Osborne
I Send A Message	INXS
Just The Way You Like It	The S.O.S. Band
Jam On It	Newcleus
The More You Live, The More You Love	A Flock Of Seagulls
Next Love	Deniece Williams
Satisfy Me	Billy Satellite
Here She Comes	Bonnie Tyler
She Loves My Car	Ronnie Milsap
Stranger	Stephen Stills
On The Dark Side	John Cafferty & The Beaver Brown Band
Video	Jeff Lynne
I Didn't Mean To Turn You On	Cherelle
Taking It All Too Hard	Genesis
Rain	Dragon
Time After Time	Cyndi Lauper
Turn Around	Neil Diamond
99 1/2	Carol Lynn Townes
Stay The Night	Chicago
It's A Hard Life	Queen
Sister Christian	Night Ranger
The First Day Of Summer	Tony Carey
Oh, Sherrie	Steve Perry
You Were Made For Me	Irene Cara
Somebody Else's Guy	Jocelyn Brown
