Closer	The Chainsmokers Featuring Halsey
Cold Water	Major Lazer Featuring Justin Bieber & MO
Cheap Thrills	Sia Featuring Sean Paul
Heathens	twenty one pilots
Ride	twenty one pilots
This Is What You Came For	Calvin Harris Featuring Rihanna
Don't Let Me Down	The Chainsmokers Featuring Daya
One Dance	Drake Featuring WizKid & Kyla
Send My Love (To Your New Lover)	Adele
Treat You Better	Shawn Mendes
Needed Me	Rihanna
Can't Stop The Feeling!	Justin Timberlake
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Too Good	Drake Featuring Rihanna
Into You	Ariana Grande
Let Me Love You	DJ Snake Featuring Justin Bieber
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
For Free	DJ Khaled Featuring Drake
Broccoli	D.R.A.M. Featuring Lil Yachty
Gold	Kiiara
Luv	Tory Lanez
Panda	Desiigner
Never Be Like You	Flume Featuring Kai
Controlla	Drake
I Hate U I Love U	gnash Featuring Olivia O'Brien
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Just Like Fire	P!nk
Hymn For The Weekend	Coldplay
Sit Still, Look Pretty	Daya
H.O.L.Y.	Florida Georgia Line
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Me Too	Meghan Trainor
I Took A Pill In Ibiza	Mike Posner
Tiimmy Turner	Desiigner
This Girl	Kungs vs Cookin' On 3 Burners
No Limit	Usher Featuring Young Thug
Stressed Out	twenty one pilots
Don't Mind	Kent Jones
Work	Rihanna Featuring Drake
Unsteady	X Ambassadors
Gangsta	Kehlani
Peter Pan	Kelsea Ballerini
Low Life	Future Featuring The Weeknd
Rise	Katy Perry
Make You Miss Me	Sam Hunt
7 Years	Lukas Graham
Mama Said	Lukas Graham
Love Yourself	Justin Bieber
Cake By The Ocean	DNCE
From The Ground Up	Dan + Shay
Different For Girls	Dierks Bentley Featuring Elle King
I Got The Keys	DJ Khaled Featuring Jay Z & Future
Starving	Hailee Steinfeld & Grey Featuring Zedd
Setting The World On Fire	Kenny Chesney Featuring P!nk
Purple Lamborghini	Skrillex & Rick Ross
THat Part	ScHoolboy Q Featuring Kanye West
My PYT	Wale
Make Me...	Britney Spears Featuring G-Eazy
American Country Love Song	Jake Owen
Money Longer	Lil Uzi Vert
She's Got A Way With Words	Blake Shelton
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
You Don't Own Me	Grace Featuring G-Eazy
Wicked	Future
Middle Of A Memory	Cole Swindell
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Vice	Miranda Lambert
Sorry	Beyonce
You & Me	Marc E. Bassy Featuring G-Eazy
In The Name Of Love	Martin Garrix & Bebe Rexha
Father Stretch My Hands Pt. 1	Kanye West
No Shopping	French Montana Featuring Drake
It Don't Hurt Like It Used To	Billy Currington
Record Year	Eric Church
With You Tonight / Hasta El Amanecer	Nicky Jam
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Kill Em With Kindness	Selena Gomez
Come And See Me	PARTYNEXTDOOR Featuring Drake
Nikes	Frank Ocean
Ivy	Frank Ocean
You Look Like I Need A Drink	Justin Moore
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
Rock On	Tucker Beathard
Pink + White	Frank Ocean
Church Bells	Carrie Underwood
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
1 Night	Lil Yachty
Cool Girl	Tove Lo
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
Lockjaw	French Montana Featuring Kodak Black
Look Alive	Rae Sremmurd
Duele El Corazon	Enrique Iglesias Feat. Wisin or Tinashe & Javada
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
Mercy	Shawn Mendes
Solo	Frank Ocean
You Was Right	Lil Uzi Vert
Nights	Frank Ocean
I Met A Girl	William Michael Morgan
Move	Luke Bryan
