Livin' La Vida Loca	Ricky Martin
If You Had My Love	Jennifer Lopez
No Scrubs	TLC
Fortunate	Maxwell
Kiss Me	Sixpence None The Richer
Where My Girls At?	702
Who Dat	JT Money Featuring Sole
That Don't Impress Me Much	Shania Twain
Every Morning	Sugar Ray
808	Blaque
Chante's Got A Man	Chante Moore
Give It To You	Jordan Knight
I Want It That Way	Backstreet Boys
Believe	Cher
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Wild Wild West	Will Smith Featuring Dru Hill & Kool Mo Dee
Anywhere	112 Featuring Lil'z
Please Remember Me	Tim McGraw
What It's Like	Everlast
Slide	Goo Goo Dolls
Sweet Lady	Tyrese
Almost Doesn't Count	Brandy
The Hardest Thing	98 Degrees
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Fly Away	Lenny Kravitz
If You (Lovin' Me)	Silk
All Star	Smash Mouth
Angel Of Mine	Monica
Write This Down	George Strait
Two Teardrops	Steve Wariner
You Won't Ever Be Lonely	Andy Griggs
It's Not Right But It's Okay	Whitney Houston
Back 2 Good	matchbox 20
Man! I Feel Like A Woman!	Shania Twain
All I Have To Give	Backstreet Boys
Angel	Sarah McLachlan
Anyone Else	Collin Raye
...Baby One More Time	Britney Spears
My Favorite Girl	Dave Hollister
Holla Holla	Ja Rule
You	Jesse Powell
Praise You	Fatboy Slim
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Whatever You Say	Martina McBride
With You	Lila McCann
Ex-Factor	Lauryn Hill
Save Tonight	Eagle-Eye Cherry
Sometimes	Britney Spears
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Wish You Were Here	Mark Wills
We Like To Party!	Vengaboys
How Forever Feels	Kenny Chesney
I Will Remember You (Live)	Sarah McLachlan
Did You Ever Think	R. Kelly
Sitting Home	Total
Anything But Down	Sheryl Crow
Strong Enough	Cher
Tell Me It's Real	K-Ci & JoJo
Tonight The Heartache's On Me	Dixie Chicks
No Pigeons	Sporty Thievz Featuring Mr. Woods
My Own Worst Enemy	Lit
Nann	Trick Daddy Featuring Trina
I Still Believe	Mariah Carey
Last Kiss	Pearl Jam
Blue Monday	Orgy
A Night To Remember	Joe Diffie
One Honest Heart	Reba
What'd You Come Here For?	Trina & Tamara
Happily Ever After	Case
It's Over Now	Deborah Cox
Georgy Porgy	Eric Benet Featuring Faith Evans
Better Days (And The Bottom Drops Out)	Citizen King
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
Special	Garbage
Lesson In Leavin'	Jo Dee Messina
My First Night With You	Mya
What's So Different	Ginuwine
Little Good-Byes	SHeDAISY
Hands Of A Working Man	Ty Herndon
Millennium	Robbie Williams
Amazed	Lonestar
I'll Think Of A Reason Later	Lee Ann Womack
I Drive Myself Crazy	'N Sync
All Night Long	Faith Evans Featuring Puff Daddy
Stranger In My Mirror	Randy Travis
Single White Female	Chely Wright
Hello L.O.V.E.	John Michael Montgomery
Life	K-Ci & JoJo
Scar Tissue	Red Hot Chili Peppers
Maybe Not Tonight	Sammy Kershaw & Lorrie Morgan
One	Creed
You Were Mine	Dixie Chicks
Gone Crazy	Alan Jackson
Why Don't You Get A Job?	The Offspring
Hate Me Now	Nas Featuring Puff Daddy
Ordinary Life	Chad Brock
Hillbilly Shoes	Montgomery Gentry
Heavy	Collective Soul
She's A Bitch	Missy "Misdemeanor" Elliott
Players Holiday	T.W.D.Y. Featuring Too Short & Mac Mall
