Honky Tonk Women	The Rolling Stones
Sugar, Sugar	The Archies
A Boy Named Sue	Johnny Cash
Green River	Creedence Clearwater Revival
Get Together	The Youngbloods
I'll Never Fall In Love Again	Tom Jones
Lay Lady Lay	Bob Dylan
Easy To Be Hard	Three Dog Night
Put A Little Love In Your Heart	Jackie DeShannon
I Can't Get Next To You	The Temptations
Oh, What A Night	The Dells
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Share Your Love With Me	Aretha Franklin
Hurt So Bad	The Lettermen
I'd Wait A Million Years	The Grass Roots
Little Woman	Bobby Sherman
This Girl Is A Woman Now	Gary Puckett And The Union Gap
Jean	Oliver
The Nitty Gritty	Gladys Knight And The Pips
Your Good Thing (Is About To End)	Lou Rawls
Crystal Blue Persuasion	Tommy James And The Shondells
Keem-O-Sabe	The Electric Indian
Everybody's Talkin'	Nilsson
Laughing	The Guess Who
Soul Deep	The Box Tops
Hot Fun In The Summertime	Sly & The Family Stone
Workin' On A Groovy Thing	The 5th Dimension
Polk Salad Annie	Tony Joe White
Give Peace A Chance	Plastic Ono Band
Commotion	Creedence Clearwater Revival
That's The Way Love Is	Marvin Gaye
When I Die	Motherlode
Did You See Her Eyes	The Illusion
Birthday	Underground Sunshine
I'm Gonna Make You Mine	Lou Christie
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
Move Over	Steppenwolf
What's The Use Of Breaking Up	Jerry Butler
In The Year 2525	Zager & Evans
Nobody But You Babe	Clarence Reid
Daddy's Little Man	O.C. Smith
It's Getting Better	Mama Cass
By The Time I Get To Phoenix	Isaac Hayes
Sugar On Sunday	The Clique
Lowdown Popcorn	James Brown
You, I	The Rugbys
Carry Me Back	The Rascals
I Could Never Be President	Johnnie Taylor
I'm A Better Man	Engelbert Humperdinck
In A Moment	The Intrigues
You Got Yours And I'll Get Mine	The Delfonics
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Here I Go Again	Smokey Robinson & The Miracles
Goo Goo Barabajagal (Love Is Hot)	Donovan/Jeff Beck Group
Going In Circles	The Friends Of Distinction
Odds And Ends	Dionne Warwick
Change Of Heart	Dennis Yost And The Classics IV
Muddy Mississippi Line	Bobby Goldsboro
Sad Girl	The Intruders
We Gotta All Get Together	Paul Revere & The Raiders Featuring Mark Lindsay
Maybe The Rain Will Fall	The Cascades
I Do	The Moments
Simple Song Of Freedom	Tim Hardin
The Train	1910 Fruitgum Co.
Don't It Make You Want To Go Home	Joe South and The Believers
Máh-Ná-Mah-Ná	Piero Umiliani
Lodi	Al Wilson
No One For Me To Turn To	Spiral Starecase
The Weight	Supremes & Temptations
World (Part 1)	James Brown
One Night Affair	The O'Jays
And That Reminds Me (My Heart Reminds Me)	The 4 Seasons
Hook And Sling-Part I	Eddie Bo
I Want You To Know	The New Colony Six
Armstrong	John Stewart
Rain	Jose Feliciano
Suspicious Minds	Elvis Presley
Jealous Kind Of Fella	Garland Green
Black Berries - Pt 1	The Isley Brothers
Something In The Air	Thunderclap Newman
Make Believe	Wind
Get Off My Back Woman	B.B. King
Any Way That You Want Me	Evie Sands
Can't Find The Time	Orpheus
Runnin' Blue	The Doors
Sausalito (Is The Place To Go)	Ohio Express
Life And Death In G & A	Abaco Dream
Chains Of Love	Bobby Bland
Tracy	The Cuff Links
Baby It's You	Smith
Moonlight Sonata	Henry Mancini And His Orchestra
Walk On By	Isaac Hayes
MacArthur Park	Waylon Jennings & The Kimberlys
All I Have To Offer You (Is Me)	Charley Pride
Luna Trip	Dickie Goodman
My Balloon's Going Up	Archie Bell & The Drells
Slum Baby	Booker T. & The MG's
Love's Been Good To Me	Frank Sinatra
Love Theme From "Romeo And Juliet" (A Time For Us)	Johnny Mathis
Kool And The Gang	Kool & The Gang
