Honey	Mariah Carey
Quit Playing Games (With My Heart)	Backstreet Boys
You Make Me Wanna...	Usher
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
How Do I Live	LeAnn Rimes
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
2 Become 1	Spice Girls
Semi-Charmed Life	Third Eye Blind
Barbie Girl	Aqua
Foolish Games/You Were Meant For Me	Jewel
All For You	Sister Hazel
Up Jumps Da Boogie	Magoo And Timbaland
Invisible Man	98 Degrees
Never Make A Promise	Dru Hill
Not Tonight	Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar
Building A Mystery	Sarah McLachlan
All Cried Out	Allure Featuring 112
Sunny Came Home	Shawn Colvin
Do You Know (What It Takes)	Robyn
Bitch	Meredith Brooks
You Should Be Mine (Don't Waste Your Time)	Brian McKnight Featuring Mase
Return Of The Mack	Mark Morrison
What About Us	Total
The Freshmen	The Verve Pipe
Coco Jamboo	Mr. President
Barely Breathing	Duncan Sheik
Someone	SWV (Featuring Puff Daddy)
For You I Will (From "Space Jam")	Monica
C U When U Get There (From "Nothing To Lose")	Coolio Featuring 40 Thevz
G.H.E.T.T.O.U.T.	Changing Faces
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
Hard To Say I'm Sorry	Az Yet Featuring Peter Cetera
Do You Like This	Rome
I Miss My Homies	Master P Featuring Pimp C And The Shocker
Say You'll Be There	Spice Girls
Gotham City	R. Kelly
You Light Up My Life	LeAnn Rimes
I Say A Little Prayer	Diana King
I Care 'Bout You	Milestone
Backyard Boogie	Mack 10
ESPN Presents The Jock Jam	Various Artists
All I Want (From "GOOD Burger")	702
MMMBop	Hanson
I Want You	Savage Garden
6 Underground	Sneaker Pimps
More Than This	10,000 Maniacs
I Can Love You	Mary J. Blige
Butta Love	Next
Take It To The Streets	Rampage Featuring Billy Lawrence
On My Own	Peach Union
After 12, Before 6	Sam Salter
It's Your Love	Tim McGraw With Faith Hill
Big Bad Mamma (From "Def Jam's How To Be A Player")	Foxy Brown Featuring Dru Hill
To The Moon And Back	Savage Garden
When I Die	No Mercy
Things Just Ain't The Same	Deborah Cox
Look Into My Eyes (From "Batman & Robin")	Bone Thugs-N-Harmony
I Wanna Be There	Blessid Union Of Souls
As We Lay	Dana
Me And My Crazy World	Lost Boyz
Go The Distance (From "Hercules")	Michael Bolton
No Tengo Dinero	Los Umbrellos
Tubthumping	Chumbawamba
Have A Little Mercy	4.0
To Make You Feel My Love	Billy Joel
Around The World	Daft Punk
Hole In My Soul	Aerosmith
Avenues	Refugee Camp All Stars Featuring Pras (With Ky-mani)
Legend Of A Cowgirl	Imani Coppola
Need Your Love	Big Bub Featuring Queen Latifah & Heavy D
Don't Say	Jon B
Alone	Bee Gees
Smile	Scarface Featuring 2Pac & Johnny P
Piece Of My Heart	Shaggy (Featuring Marsha)
Jack-Ass	Beck
It's Alright	Queen Latifah
I'm Not A Fool	Immature
Down For Yours	Nastyboy Klick Featuring Roger Troutman
Fix	BLACKstreet With Special Guests Ol' Dirty Bastard & Slash
Whatever	En Vogue
Rhythm Of Love	DJ Company
You Bring Me Up	K-Ci & JoJo
Can't Let Go	Laurnea
Never, Never Gonna Give You Up	Lisa Stansfield
Men Of Steel (From "Steel")	Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One
Happy With You	Samantha Cole
We Can Get Down	Myron
Four Leaf Clover	Abra Moore
Supernatural	Wild Orchid
The Way That You Talk	Jagged Edge Featuring Da Brat & JD
When You Talk About Love	Patti LaBelle
It's No Good	Depeche Mode
Can We (From "Booty Call")	SWV
Can't Get You Out Of My Mind	Lil Suzy
Butterfly Kisses	Raybon Bros.
Free	Ultra Nate
Smokin' Me Out	Warren G Featuring Ronald Isley
In A Dream	Rockell
Drink, Swear, Steal & Lie	Michael Peterson
Thinking Of You	Tony Toni Tone
