Closer	The Chainsmokers Featuring Halsey
Starboy	The Weeknd Featuring Daft Punk
Heathens	twenty one pilots
Let Me Love You	DJ Snake Featuring Justin Bieber
Broccoli	D.R.A.M. Featuring Lil Yachty
Side To Side	Ariana Grande Featuring Nicki Minaj
24K Magic	Bruno Mars
Juju On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall
Black Beatles	Rae Sremmurd Featuring Gucci Mane
Fake Love	Drake
Don't Wanna Know	Maroon 5 Featuring Kendrick Lamar
Cold Water	Major Lazer Featuring Justin Bieber & MO
I Hate U I Love U	gnash Featuring Olivia O'Brien
Treat You Better	Shawn Mendes
Cheap Thrills	Sia Featuring Sean Paul
Gold	Kiiara
Don't Let Me Down	The Chainsmokers Featuring Daya
Starving	Hailee Steinfeld & Grey Featuring Zedd
OOOUUU	Young M.A
The Greatest	Sia Featuring Kendrick Lamar
Caroline	Amine
Can't Stop The Feeling!	Justin Timberlake
This Is What You Came For	Calvin Harris Featuring Rihanna
Scars To Your Beautiful	Alessia Cara
Blue Ain't Your Color	Keith Urban
Ride	twenty one pilots
Unsteady	X Ambassadors
Sneakin'	Drake Featuring 21 Savage
Setting The World On Fire	Kenny Chesney Featuring P!nk
One Dance	Drake Featuring WizKid & Kyla
Send My Love (To Your New Lover)	Adele
Needed Me	Rihanna
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
Luv	Tory Lanez
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Sit Still, Look Pretty	Daya
Too Good	Drake Featuring Rihanna
Tiimmy Turner	Desiigner
In The Name Of Love	Martin Garrix & Bebe Rexha
May We All	Florida Georgia Line Featuring Tim McGraw
Hymn For The Weekend	Coldplay
My Way	Calvin Harris
Panda	Desiigner
We Don't Talk Anymore	Charlie Puth Featuring Selena Gomez
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
X	21 Savage & Metro Boomin Featuring Future
Middle Of A Memory	Cole Swindell
Litty	Meek Mill Featuring Tory Lanez
Move	Luke Bryan
1 Night	Lil Yachty
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
All Time Low	Jon Bellion
Better Man	Little Big Town
A Little More Summertime	Jason Aldean
Sleep Without You	Brett Young
Million Reasons	Lady Gaga
Vice	Miranda Lambert
All We Know	The Chainsmokers Featuring Phoebe Ryan
Money Longer	Lil Uzi Vert
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
No Limit	Usher Featuring Young Thug
Come And See Me	PARTYNEXTDOOR Featuring Drake
Fade	Kanye West
This Town	Niall Horan
Song For Another Time	Old Dominion
You Was Right	Lil Uzi Vert
Froze	Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
Dirty Laundry	Carrie Underwood
Offended	Meek Mill Featuring Young Thug & 21 Savage
No Heart	21 Savage & Metro Boomin
Wanna Be That Song	Brett Eldredge
Two Birds, One Stone	Drake
Love On The Brain	Rihanna
On The Regular	Meek Mill
Key To The Streets	YFN Lucci Featuring Migos & Trouble
Hallelujah	Pentatonix
HandClap	Fitz And The Tantrums
Fresh Eyes	Andy Grammer
Mercy	Shawn Mendes
It Don't Hurt Like It Used To	Billy Currington
I Know Somebody	LOCASH
Capsize	Frenship & Emily Warren
The Difference	Meek Mill Featuring Quavo
Say You Won't Let Go	James Arthur
Shout Out To My Ex	Little Mix
All Eyez	The Game Featuring Jeremih
Star Of The Show	Thomas Rhett
How I'll Always Be	Tim McGraw
Ain't My Fault	Zara Larsson
Wishing	DJ Drama Featuring Chris Brown, Skeme & Lyquin
80s Mercedes	Maren Morris
Blue Notes	Meek Mill
My Sh*t	A Boogie Wit da Hoodie
What They Want	Russ
Chantaje	Shakira Featuring Maluma
Blessed Up	Meek Mill
Love Me Now	John Legend
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Cool Girl	Tove Lo
